資料名,編著者,標記年/刊行年,作成機関/出版者,大きさ,備考,五十年史番号,目録番号,区分1,区分2,画像注記,区分3,正副,内容注記,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcterms:creator,dcterms:date,dcterms:publisher,dcterms:extent,archiveshub:note,fnenshi:fnenshiNumber,fnenshi:catalogNumber,fnenshi:categoy1,fnenshi:categoy2,fnenshi:imageNote,fnenshi:categoy3,fnenshi:duplicate,fnenshi:contentNote,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,31437
明治文化全集 第五巻 自由民権篇,吉野作造編輯代表,昭和2年11月20日 (1927),日本評論社,222×147,,1,450,II刊本,4.その他,画像なし,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9ab4c886-5730-64cb-0be7-a39da069052b.json,9ab4c886-5730-64cb-0be7-a39da069052b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/9ab4c886-5730-64cb-0be7-a39da069052b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482016,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,1,,,,,,,0
改訂増補 維新後大年表 全,妻木忠太,大正3年3月4日 (1914),有朋堂,188×128,,7,439,II刊本,4.その他,画像なし,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/db63e375-15c4-28c1-9023-1b5a57cb963a.json,db63e375-15c4-28c1-9023-1b5a57cb963a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/db63e375-15c4-28c1-9023-1b5a57cb963a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482025,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,10,,,,,,,0
開成所稽古規則書覚書  [元治元年],,元治元年11月~元治元年11月 (1864~1864),開成所,218×155,重要文化財,62,1,I史料,1.東京大学関係,,1-1 東京大学前史,正本,木版刷刊本。(末記)元治 元子年十一月改  開成所」,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8615a882-7a78-47f4-8d58-edc3a8a84523.json,8615a882-7a78-47f4-8d58-edc3a8a84523,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/8615a882-7a78-47f4-8d58-edc3a8a84523,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e3bb1056aadcaefe766371ab2bf3a9ed8757f9b4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482054,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,102,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8615a882-7a78-47f4-8d58-edc3a8a84523/manifest,,,,,10
大学南校生徒心得  [明治三年],,明治3年2月~明治3年2月 (1870~1870),大学南校,224×155,重要文化財,65,13,I史料,1.東京大学関係,,1-1 東京大学前史,正本,木版刷刊本,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4746b4b8-9865-a1d4-0e4f-046588072d8d.json,4746b4b8-9865-a1d4-0e4f-046588072d8d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/4746b4b8-9865-a1d4-0e4f-046588072d8d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/55c9c1cd6fc2665ded629e86c143b11a745859b5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482055,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,105,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4746b4b8-9865-a1d4-0e4f-046588072d8d/manifest,,,,,12
田中近江大掾,田中近江翁顕彰会,昭和6年12月15日 (1931),田中近江翁顕彰会,222×148,,8,457,II刊本,4.その他,画像なし,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a9f068f8-94a7-491a-071d-e71b6ba70972.json,a9f068f8-94a7-491a-071d-e71b6ba70972,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/a9f068f8-94a7-491a-071d-e71b6ba70972,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482026,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,11,,,,,,,0
工学校小学校大学校略則  [明治五年],,明治5年2月~明治5年2月 (1872~1872),,222×155,重要文化財,70,304,I史料,2.包摂校関係,,2-1 工部省工学寮、農商務省駒場農学校,正本,木版刷刊本。 (刊記)「壬申3 月」。,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/41f76d1a-55ea-66ac-0604-d39345e785fe.json,41f76d1a-55ea-66ac-0604-d39345e785fe,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/41f76d1a-55ea-66ac-0604-d39345e785fe,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ed5292e44038783c44951c1912b577c3fd8649fa.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482056,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,110,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/41f76d1a-55ea-66ac-0604-d39345e785fe/manifest,,,,,13
種痘亀鑑,久我克明,明治4年5月 (1871),,224×155,,71,408,II刊本,4.その他,画像なし,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/98a9dc72-696b-56d3-76d7-a44a0cb252b5.json,98a9dc72-696b-56d3-76d7-a44a0cb252b5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/98a9dc72-696b-56d3-76d7-a44a0cb252b5,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482057,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,111,,,,,,,0
明治国民教育史,町田則文,昭和3年3月20日 (1928),昭和出版社,224×148,,9,452,II刊本,4.その他,画像なし,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0ba4b750-8eb5-52c8-3da2-91a9c9e30212.json,0ba4b750-8eb5-52c8-3da2-91a9c9e30212,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/0ba4b750-8eb5-52c8-3da2-91a9c9e30212,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482027,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,12,,,,,,,0
含要類纂  巻之二  達掛合之部  明治元辰年従九月到十二月,,明治元年9月~明治元年12月 (1868~1868),開成学校,256×183,重要文化財,83-1,2,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/dd146166-19d7-2721-47f4-a56f87831192.json,dd146166-19d7-2721-47f4-a56f87831192,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/dd146166-19d7-2721-47f4-a56f87831192,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c495de4a096c562408a2b40e6c4df1ce3a1fe71a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482058,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,142,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dd146166-19d7-2721-47f4-a56f87831192/manifest,,,,,50
含要類纂  巻之五  身分留  起明治元年十一月終同二年十二月,,明治元年11月~明治2年12月 (1868~1869),開成学校,256×183,重要文化財,83-2,3,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1c39f60c-629d-877e-325e-1ee734ff9d10.json,1c39f60c-629d-877e-325e-1ee734ff9d10,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/1c39f60c-629d-877e-325e-1ee734ff9d10,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cdfec1675638e2867ebf432d5ad7d9610eb19be6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482059,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,143,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1c39f60c-629d-877e-325e-1ee734ff9d10/manifest,,,,,153
含要類纂  巻之六  建言之部  明治九年従十月至二年十一月,,明治元年10月~明治2年11月 (1868~1869),開成学校,256×183,重要文化財,83-3,4,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b48efcc3-49bc-3077-11f6-d0bc770c5bc3.json,b48efcc3-49bc-3077-11f6-d0bc770c5bc3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/b48efcc3-49bc-3077-11f6-d0bc770c5bc3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ccc39593dc3ee5c369d680ae40860ba988b9d3fb.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482060,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,144,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b48efcc3-49bc-3077-11f6-d0bc770c5bc3/manifest,,,,,41
含要類纂  巻之拾一  諸達掛合之部  明治二年自正月至六月,,明治2年正月~明治2年6月 (1869~1869),開成学校,254×183,重要文化財,84,8,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4317c3b1-a25a-8b03-3976-92c1635b0350.json,4317c3b1-a25a-8b03-3976-92c1635b0350,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/4317c3b1-a25a-8b03-3976-92c1635b0350,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bb5377cf9325022cd82001788aca1f84218ffe9c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482061,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,145,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4317c3b1-a25a-8b03-3976-92c1635b0350/manifest,,,,,127
含要類纂  巻之拾五  達懸合之部  明治三年正月ヨ リ七月迄,,明治3年正月~明治3年7月 (1870~1870),大学南校,255×183,重要文化財,85-1,14,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f1e32f4f-210d-36a6-64cf-ce6081289948.json,f1e32f4f-210d-36a6-64cf-ce6081289948,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/f1e32f4f-210d-36a6-64cf-ce6081289948,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/39a0e0e43e685d39d10c135a7c013e33e5a6259d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482062,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,146,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f1e32f4f-210d-36a6-64cf-ce6081289948/manifest,,,,,220
含要類纂  巻之拾六  諸達之部  明治三庚午年,,明治3年閏10月~明治3年12月 (1870~1870),大学南校,255×183,重要文化財,85-2,15,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ec90b5a3-406c-203d-526a-d28d8aae328d.json,ec90b5a3-406c-203d-526a-d28d8aae328d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/ec90b5a3-406c-203d-526a-d28d8aae328d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c950a231a5272448da29fde9aa9c43e80a705884.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482063,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,147,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ec90b5a3-406c-203d-526a-d28d8aae328d/manifest,,,,,62
含要類纂  巻之拾七  賞罰之部附建言  明治三庚 午年,,明治3年10月~明治4年5月 (1870~1871),大学南校,255×183,重要文化財,85-3,16,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/292ca10c-15d1-66ed-0e5b-c3c504b17212.json,292ca10c-15d1-66ed-0e5b-c3c504b17212,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/292ca10c-15d1-66ed-0e5b-c3c504b17212,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b526aa2ba0d2789c95ab69ceaec17211d7b5a3d6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482064,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,148,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/292ca10c-15d1-66ed-0e5b-c3c504b17212/manifest,,,,,89
含要類纂  巻之拾八  職務進退之部  [明治三年],,明治3年10月~明治3年12月 (1870~1870),大学南校,255×183,重要文化財,85-4,17,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9d4e22eb-83a5-1265-0324-0cd06ed54025.json,9d4e22eb-83a5-1265-0324-0cd06ed54025,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/9d4e22eb-83a5-1265-0324-0cd06ed54025,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/814f4b27017f1c40d5c6abce816b4f554dbc12b2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482065,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,149,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9d4e22eb-83a5-1265-0324-0cd06ed54025/manifest,,,,,30
日本教育史,文部省,明治43年10月9日 (1910),弘道館,222×148,,12,438,II刊本,4.その他,画像なし,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a644e94e-1670-21d7-8e15-690ec05b2f6a.json,a644e94e-1670-21d7-8e15-690ec05b2f6a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/a644e94e-1670-21d7-8e15-690ec05b2f6a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482028,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,15,,,,,,,0
含要類纂  巻之二十    外国教師護衛之部  明治三庚午年,,明治3年12月~明治3年12月 (1870~1870),大学南校,255×183,重要文化財,85-5,18,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f1cad363-65ba-61e0-72f9-43fed66a5644.json,f1cad363-65ba-61e0-72f9-43fed66a5644,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/f1cad363-65ba-61e0-72f9-43fed66a5644,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/36a2b50d5eff486e6989bcbeeb5bbd7521220a79.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482066,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,150,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f1cad363-65ba-61e0-72f9-43fed66a5644/manifest,,,,,20
含要類纂  巻之二十一  教師ニ付諸向往復之部 明治三庚午年,,明治3年閏10月~明治4年1月 (1870~1871),大学南校,255×183,重要文化財,85-6,19,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e239034c-8a9c-86e8-8b7e-ad2aaa2c67d8.json,e239034c-8a9c-86e8-8b7e-ad2aaa2c67d8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/e239034c-8a9c-86e8-8b7e-ad2aaa2c67d8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/21c13a4285e20c9501d709fc89caeb2309781074.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482067,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,151,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e239034c-8a9c-86e8-8b7e-ad2aaa2c67d8/manifest,,,,,26
含要類纂  巻之二十二  英人疵傷諸向往復之部 明治三庚午年,,明治3年11月~明治3年12月 (1870~1870),大学南校,255×183,重要文化財,85-7,20,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0cf89366-47ac-3292-3ea5-803b27c66726.json,0cf89366-47ac-3292-3ea5-803b27c66726,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/0cf89366-47ac-3292-3ea5-803b27c66726,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7c92fb549aa510c913aef61298ddcdb9da0718bc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482068,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,152,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0cf89366-47ac-3292-3ea5-803b27c66726/manifest,,,,,44
含要類纂  巻之二十四  明治三庚午年,,明治3年閏10月~明治3年12月 (1870~1870),大学南校,255×183,重要文化財,85-8,21,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ece2d6f7-2759-8ed2-86b5-b16bcc079cc0.json,ece2d6f7-2759-8ed2-86b5-b16bcc079cc0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/ece2d6f7-2759-8ed2-86b5-b16bcc079cc0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5a2e88141407dd69b9a363e57139a94774ba1303.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482069,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,153,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ece2d6f7-2759-8ed2-86b5-b16bcc079cc0/manifest,,,,,26
含要類纂  巻之二十七  弁官及本省往復之部  明治四年一月ヨリ十二月ニ至ル,,明治4年1月~明治4年12月 (1871~1871),南校,260×192,重要文化財,86-1,28,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/911b6538-680d-9d3f-0f3b-38b366812b4a.json,911b6538-680d-9d3f-0f3b-38b366812b4a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/911b6538-680d-9d3f-0f3b-38b366812b4a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f4867cc59a4cdb4def1b5dec545a7d2bb367d57c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482070,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,154,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/911b6538-680d-9d3f-0f3b-38b366812b4a/manifest,,,,,204
含要類纂  巻之二十八  弁官本省往復之部  明治四年従正月至十二月,,明治4年正月~明治4年12月 (1871~1871),南校,252×154,重要文化財,86-2,29,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/007047d0-30b5-2e32-02c6-538c9ead6fc8.json,007047d0-30b5-2e32-02c6-538c9ead6fc8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/007047d0-30b5-2e32-02c6-538c9ead6fc8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d7b0d070e7ae144b29bdb3c9b965e54c398ace01.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482071,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,155,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/007047d0-30b5-2e32-02c6-538c9ead6fc8/manifest,,,,,174
含要類纂  巻之二十九  経伺之部  明治四年従九月至,,明治4年9月~明治4年12月 (1871~1871),南校,252×154,重要文化財,86-3,30,I史料,1.東京大学関係,,1-1 東京大学前史,副本,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c6464343-33a6-68ab-7915-f406d4ec90ec.json,c6464343-33a6-68ab-7915-f406d4ec90ec,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/50nenshi/document/c6464343-33a6-68ab-7915-f406d4ec90ec,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3a62ae387ba168e2704f5abd5196f0555fb4f3ac.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/482072,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,五十年史史料,156,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c6464343-33a6-68ab-7915-f406d4ec90ec/manifest,,,,,65
