タイトル／Title,タイトル／Title,巻号タイトル／Volume Title,作成者／Creator,公開者／Publisher,出版地・頒布地／Publication Place,出版年/Year,発行日／Issued Data,言語／Language,主題／Subject,所蔵先／Source,請求記号／Call Number,貢献者／Contributor,公開日／Date,概要,Material Type,付加的記載,装訂,請求記号,著作の構成,バージョンの成立時期,著作の時期,大きさ（縦×横）,バージョンの行字数,出所,数量,登録番号,印記,資料化の技法,バージョンの技法,データのタイトル,著作のタイトル,バージョンの成立年,著作の年,バージョンの大きさ（縦×横）,データの識別子,Series Title,状態,外題,バージョンの成立場所,参考文献,バージョンの責任,著作の責任,原簿番号,資料化の時期,資料化の年,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:alternative,dcndl:volumeTitle,dcterms:creator,dcterms:publisher,dcndl:publicationPlace,uterms:year,dcterms:issued,dcterms:language,dcterms:subject,dcterms:source,dcndl:callNumber,dcterms:contributor,dcterms:available,dcterms:description,dcndl:materialType,uparl:additionalDescription,uparl:bibliopegy,uparl:callNumber,uparl:constitutionOfTheWork,uparl:dateOfTheVersion,uparl:dateOfTheWork,uparl:dimensions,uparl:linageOfTheVersion,uparl:provenance,uparl:quantity,uparl:registrationNumber,uparl:seal,uparl:techniqueOfTheMaterialization,uparl:techniqueOfTheVersion,uparl:titleOfTheData,uparl:titleOfTheWork,uparl:yearOfTheVersion,uparl:yearOfTheWork,uparl:dimensionsOfTheVersion,uparl:identifierOfTheData,dcndl:seriesTitle,uparl:condition,uparl:externalTitle,uparl:placeOfTheVersion,uparl:reference,uparl:responsibilityOfTheVersion,uparl:responsibilityOfTheWork,uparl:ledgerNumber,uparl:dateOfTheMaterialization,uparl:yearOfTheMaterialization,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,20214
忠義水滸全傳 120囘 [L_D_6_2-06],,,,,,,,中国語,,,,,,中国明代末に刊刻された『水滸伝』。,漢籍,首冊は忠義水滸全書を底本とする鋪鈔、第二冊は一百回容与堂刻本後修本および李氏焚書にもとづく補鈔、第三冊は一百回和刻本による補配。朱墨の書き入れあり。版心に虫損あり。第一帙、第二帙、第三帙内側に「醉竹軒」による筆記、第四帙内側に神山閏次「水滸傳諸本」の中国語訳文貼付さる。,"線装,四針眼釘法",漢籍D:6:2,120回,(中国)明末,明後期,25.7×16.6,毎半葉10行、行22字,"神山閏次旧蔵, 東京大学文学部中国思想文化学研究室所蔵(漢籍コーナー配架)",32冊,"4803130501,4803130519,4803130527,4803130535,4803130543,4803130550,4803130568,4803130576,4803130584,4803130592,4803130600,4803130618,4803130626,4803130634,4803130642,4803130659,4803130667,4803130675,4803130683,4803130691,4803130709,4803130717,4803130725,4803130733,4803130741,4803130758,4803130766,4803130774,4803130782,4803130790,4803130808,4803130816","東京帝国大学図書印,山閏之印",印本,木版,忠義水滸全傳一百二十回 Zhongyi Shuihu quanzhuan 120hui  忠義水滸全伝一百二十回    忠义水浒全書一百二十回,"(巻首題)忠義水滸全傳,(版心題)水滸全傳,(目首題)忠義水滸全書,(引首首題)李卓吾先生批點忠義水滸全傳,(発凡首題)出像評點忠義水滸全書,(封面題)水滸四傳全書",1628-1644年,1567-1644,"(内框)20.1×13.9cm,",,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/dcce7652-469f-3cae-6d1c-f997e6cd5963.json,dcce7652-469f-3cae-6d1c-f997e6cd5963,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/dcce7652-469f-3cae-6d1c-f997e6cd5963,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/93cf0334b9ee1b0cb8934e17f51ee6ba0a48d586.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1370794,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,水滸伝コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dcce7652-469f-3cae-6d1c-f997e6cd5963/manifest,,,,,60
忠義水滸全傳 120囘 [L_D_6_2-08],,,,,,,,中国語,,,,,,中国明代末に刊刻された『水滸伝』。,漢籍,首冊は忠義水滸全書を底本とする鋪鈔、第二冊は一百回容与堂刻本後修本および李氏焚書にもとづく補鈔、第三冊は一百回和刻本による補配。朱墨の書き入れあり。版心に虫損あり。第一帙、第二帙、第三帙内側に「醉竹軒」による筆記、第四帙内側に神山閏次「水滸傳諸本」の中国語訳文貼付さる。,"線装,四針眼釘法",漢籍D:6:2,120回,(中国)明末,明後期,25.7×16.6,毎半葉10行、行22字,"神山閏次旧蔵, 東京大学文学部中国思想文化学研究室所蔵(漢籍コーナー配架)",32冊,"4803130501,4803130519,4803130527,4803130535,4803130543,4803130550,4803130568,4803130576,4803130584,4803130592,4803130600,4803130618,4803130626,4803130634,4803130642,4803130659,4803130667,4803130675,4803130683,4803130691,4803130709,4803130717,4803130725,4803130733,4803130741,4803130758,4803130766,4803130774,4803130782,4803130790,4803130808,4803130816","東京帝国大学図書印,山閏之印",印本,木版,忠義水滸全傳一百二十回 Zhongyi Shuihu quanzhuan 120hui  忠義水滸全伝一百二十回    忠义水浒全書一百二十回,"(巻首題)忠義水滸全傳,(版心題)水滸全傳,(目首題)忠義水滸全書,(引首首題)李卓吾先生批點忠義水滸全傳,(発凡首題)出像評點忠義水滸全書,(封面題)水滸四傳全書",1628-1644年,1567-1644,"(内框)20.1×13.9cm,",,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f251ff41-7978-79f0-11a8-9ebf862d4afc.json,f251ff41-7978-79f0-11a8-9ebf862d4afc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/f251ff41-7978-79f0-11a8-9ebf862d4afc,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/64fbf89640ba184ccce85e1a3958c1b91c9668e9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1370796,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,水滸伝コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f251ff41-7978-79f0-11a8-9ebf862d4afc/manifest,,,,,67
忠義水滸全傳 120囘 [L_D_6_2-10],,,,,,,,中国語,,,,,,中国明代末に刊刻された『水滸伝』。,漢籍,首冊は忠義水滸全書を底本とする鋪鈔、第二冊は一百回容与堂刻本後修本および李氏焚書にもとづく補鈔、第三冊は一百回和刻本による補配。朱墨の書き入れあり。版心に虫損あり。第一帙、第二帙、第三帙内側に「醉竹軒」による筆記、第四帙内側に神山閏次「水滸傳諸本」の中国語訳文貼付さる。,"線装,四針眼釘法",漢籍D:6:2,120回,(中国)明末,明後期,25.7×16.6,毎半葉10行、行22字,"神山閏次旧蔵, 東京大学文学部中国思想文化学研究室所蔵(漢籍コーナー配架)",32冊,"4803130501,4803130519,4803130527,4803130535,4803130543,4803130550,4803130568,4803130576,4803130584,4803130592,4803130600,4803130618,4803130626,4803130634,4803130642,4803130659,4803130667,4803130675,4803130683,4803130691,4803130709,4803130717,4803130725,4803130733,4803130741,4803130758,4803130766,4803130774,4803130782,4803130790,4803130808,4803130816","東京帝国大学図書印,山閏之印",印本,木版,忠義水滸全傳一百二十回 Zhongyi Shuihu quanzhuan 120hui  忠義水滸全伝一百二十回    忠义水浒全書一百二十回,"(巻首題)忠義水滸全傳,(版心題)水滸全傳,(目首題)忠義水滸全書,(引首首題)李卓吾先生批點忠義水滸全傳,(発凡首題)出像評點忠義水滸全書,(封面題)水滸四傳全書",1628-1644年,1567-1644,"(内框)20.1×13.9cm,",,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5ceaf0d2-95cd-5888-1d9d-aa780c1f6cbc.json,5ceaf0d2-95cd-5888-1d9d-aa780c1f6cbc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/5ceaf0d2-95cd-5888-1d9d-aa780c1f6cbc,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f1bccd1a39cdbe575f410cbf7695841e0af64f3d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1370798,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,水滸伝コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5ceaf0d2-95cd-5888-1d9d-aa780c1f6cbc/manifest,,,,,70
忠義水滸全傳 120囘 [L_D_6_2-12],,,,,,,,中国語,,,,,,中国明代末に刊刻された『水滸伝』。,漢籍,首冊は忠義水滸全書を底本とする鋪鈔、第二冊は一百回容与堂刻本後修本および李氏焚書にもとづく補鈔、第三冊は一百回和刻本による補配。朱墨の書き入れあり。版心に虫損あり。第一帙、第二帙、第三帙内側に「醉竹軒」による筆記、第四帙内側に神山閏次「水滸傳諸本」の中国語訳文貼付さる。,"線装,四針眼釘法",漢籍D:6:2,120回,(中国)明末,明後期,25.7×16.6,毎半葉10行、行22字,"神山閏次旧蔵, 東京大学文学部中国思想文化学研究室所蔵(漢籍コーナー配架)",32冊,"4803130501,4803130519,4803130527,4803130535,4803130543,4803130550,4803130568,4803130576,4803130584,4803130592,4803130600,4803130618,4803130626,4803130634,4803130642,4803130659,4803130667,4803130675,4803130683,4803130691,4803130709,4803130717,4803130725,4803130733,4803130741,4803130758,4803130766,4803130774,4803130782,4803130790,4803130808,4803130816","東京帝国大学図書印,山閏之印",印本,木版,忠義水滸全傳一百二十回 Zhongyi Shuihu quanzhuan 120hui  忠義水滸全伝一百二十回    忠义水浒全書一百二十回,"(巻首題)忠義水滸全傳,(版心題)水滸全傳,(目首題)忠義水滸全書,(引首首題)李卓吾先生批點忠義水滸全傳,(発凡首題)出像評點忠義水滸全書,(封面題)水滸四傳全書",1628-1644年,1567-1644,"(内框)20.1×13.9cm,",,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/919bbe84-345e-1dd9-034e-fa445c223777.json,919bbe84-345e-1dd9-034e-fa445c223777,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/919bbe84-345e-1dd9-034e-fa445c223777,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/76b9e7988ee7d33bf149dadfcd2bf7ef3697ee01.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1370800,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,水滸伝コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/919bbe84-345e-1dd9-034e-fa445c223777/manifest,,,,,53
忠義水滸全傳 120囘 [L_D_6_2-14],,,,,,,,中国語,,,,,,中国明代末に刊刻された『水滸伝』。,漢籍,首冊は忠義水滸全書を底本とする鋪鈔、第二冊は一百回容与堂刻本後修本および李氏焚書にもとづく補鈔、第三冊は一百回和刻本による補配。朱墨の書き入れあり。版心に虫損あり。第一帙、第二帙、第三帙内側に「醉竹軒」による筆記、第四帙内側に神山閏次「水滸傳諸本」の中国語訳文貼付さる。,"線装,四針眼釘法",漢籍D:6:2,120回,(中国)明末,明後期,25.7×16.6,毎半葉10行、行22字,"神山閏次旧蔵, 東京大学文学部中国思想文化学研究室所蔵(漢籍コーナー配架)",32冊,"4803130501,4803130519,4803130527,4803130535,4803130543,4803130550,4803130568,4803130576,4803130584,4803130592,4803130600,4803130618,4803130626,4803130634,4803130642,4803130659,4803130667,4803130675,4803130683,4803130691,4803130709,4803130717,4803130725,4803130733,4803130741,4803130758,4803130766,4803130774,4803130782,4803130790,4803130808,4803130816","東京帝国大学図書印,山閏之印",印本,木版,忠義水滸全傳一百二十回 Zhongyi Shuihu quanzhuan 120hui  忠義水滸全伝一百二十回    忠义水浒全書一百二十回,"(巻首題)忠義水滸全傳,(版心題)水滸全傳,(目首題)忠義水滸全書,(引首首題)李卓吾先生批點忠義水滸全傳,(発凡首題)出像評點忠義水滸全書,(封面題)水滸四傳全書",1628-1644年,1567-1644,"(内框)20.1×13.9cm,",,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4028c36c-36d0-697b-6317-947a46378d8c.json,4028c36c-36d0-697b-6317-947a46378d8c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/4028c36c-36d0-697b-6317-947a46378d8c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3e739762900e031f560bb386d2f35156c8dd2350.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1370802,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,水滸伝コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4028c36c-36d0-697b-6317-947a46378d8c/manifest,,,,,78
忠義水滸全傳 120囘 [L_D_6_2-16],,,,,,,,中国語,,,,,,中国明代末に刊刻された『水滸伝』。,漢籍,首冊は忠義水滸全書を底本とする鋪鈔、第二冊は一百回容与堂刻本後修本および李氏焚書にもとづく補鈔、第三冊は一百回和刻本による補配。朱墨の書き入れあり。版心に虫損あり。第一帙、第二帙、第三帙内側に「醉竹軒」による筆記、第四帙内側に神山閏次「水滸傳諸本」の中国語訳文貼付さる。,"線装,四針眼釘法",漢籍D:6:2,120回,(中国)明末,明後期,25.7×16.6,毎半葉10行、行22字,"神山閏次旧蔵, 東京大学文学部中国思想文化学研究室所蔵(漢籍コーナー配架)",32冊,"4803130501,4803130519,4803130527,4803130535,4803130543,4803130550,4803130568,4803130576,4803130584,4803130592,4803130600,4803130618,4803130626,4803130634,4803130642,4803130659,4803130667,4803130675,4803130683,4803130691,4803130709,4803130717,4803130725,4803130733,4803130741,4803130758,4803130766,4803130774,4803130782,4803130790,4803130808,4803130816","東京帝国大学図書印,山閏之印",印本,木版,忠義水滸全傳一百二十回 Zhongyi Shuihu quanzhuan 120hui  忠義水滸全伝一百二十回    忠义水浒全書一百二十回,"(巻首題)忠義水滸全傳,(版心題)水滸全傳,(目首題)忠義水滸全書,(引首首題)李卓吾先生批點忠義水滸全傳,(発凡首題)出像評點忠義水滸全書,(封面題)水滸四傳全書",1628-1644年,1567-1644,"(内框)20.1×13.9cm,",,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/de616970-993b-3650-7bb4-7a1f71e64c43.json,de616970-993b-3650-7bb4-7a1f71e64c43,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/de616970-993b-3650-7bb4-7a1f71e64c43,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1d1d6c32ed4afce8bc890d850a17b2e5a1bbab28.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1370804,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,水滸伝コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/de616970-993b-3650-7bb4-7a1f71e64c43/manifest,,,,,51
忠義水滸全傳 120囘 [L_D_6_2-18],,,,,,,,中国語,,,,,,中国明代末に刊刻された『水滸伝』。,漢籍,首冊は忠義水滸全書を底本とする鋪鈔、第二冊は一百回容与堂刻本後修本および李氏焚書にもとづく補鈔、第三冊は一百回和刻本による補配。朱墨の書き入れあり。版心に虫損あり。第一帙、第二帙、第三帙内側に「醉竹軒」による筆記、第四帙内側に神山閏次「水滸傳諸本」の中国語訳文貼付さる。,"線装,四針眼釘法",漢籍D:6:2,120回,(中国)明末,明後期,25.7×16.6,毎半葉10行、行22字,"神山閏次旧蔵, 東京大学文学部中国思想文化学研究室所蔵(漢籍コーナー配架)",32冊,"4803130501,4803130519,4803130527,4803130535,4803130543,4803130550,4803130568,4803130576,4803130584,4803130592,4803130600,4803130618,4803130626,4803130634,4803130642,4803130659,4803130667,4803130675,4803130683,4803130691,4803130709,4803130717,4803130725,4803130733,4803130741,4803130758,4803130766,4803130774,4803130782,4803130790,4803130808,4803130816","東京帝国大学図書印,山閏之印",印本,木版,忠義水滸全傳一百二十回 Zhongyi Shuihu quanzhuan 120hui  忠義水滸全伝一百二十回    忠义水浒全書一百二十回,"(巻首題)忠義水滸全傳,(版心題)水滸全傳,(目首題)忠義水滸全書,(引首首題)李卓吾先生批點忠義水滸全傳,(発凡首題)出像評點忠義水滸全書,(封面題)水滸四傳全書",1628-1644年,1567-1644,"(内框)20.1×13.9cm,",,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/016ac57c-975d-698e-5b31-d3e64b905adc.json,016ac57c-975d-698e-5b31-d3e64b905adc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/016ac57c-975d-698e-5b31-d3e64b905adc,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/59478ff34adaaf3fcedf89a4d521ec5d6b837f7b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1370806,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,水滸伝コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/016ac57c-975d-698e-5b31-d3e64b905adc/manifest,,,,,64
忠義水滸全傳 120囘 [L_D_6_2-20],,,,,,,,中国語,,,,,,中国明代末に刊刻された『水滸伝』。,漢籍,首冊は忠義水滸全書を底本とする鋪鈔、第二冊は一百回容与堂刻本後修本および李氏焚書にもとづく補鈔、第三冊は一百回和刻本による補配。朱墨の書き入れあり。版心に虫損あり。第一帙、第二帙、第三帙内側に「醉竹軒」による筆記、第四帙内側に神山閏次「水滸傳諸本」の中国語訳文貼付さる。,"線装,四針眼釘法",漢籍D:6:2,120回,(中国)明末,明後期,25.7×16.6,毎半葉10行、行22字,"神山閏次旧蔵, 東京大学文学部中国思想文化学研究室所蔵(漢籍コーナー配架)",32冊,"4803130501,4803130519,4803130527,4803130535,4803130543,4803130550,4803130568,4803130576,4803130584,4803130592,4803130600,4803130618,4803130626,4803130634,4803130642,4803130659,4803130667,4803130675,4803130683,4803130691,4803130709,4803130717,4803130725,4803130733,4803130741,4803130758,4803130766,4803130774,4803130782,4803130790,4803130808,4803130816","東京帝国大学図書印,山閏之印",印本,木版,忠義水滸全傳一百二十回 Zhongyi Shuihu quanzhuan 120hui  忠義水滸全伝一百二十回    忠义水浒全書一百二十回,"(巻首題)忠義水滸全傳,(版心題)水滸全傳,(目首題)忠義水滸全書,(引首首題)李卓吾先生批點忠義水滸全傳,(発凡首題)出像評點忠義水滸全書,(封面題)水滸四傳全書",1628-1644年,1567-1644,"(内框)20.1×13.9cm,",,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/936ec726-6564-4d28-180b-0074eafb432c.json,936ec726-6564-4d28-180b-0074eafb432c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/936ec726-6564-4d28-180b-0074eafb432c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0cada7ea062993c6e96196d86597ee640cc87b96.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1370808,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,水滸伝コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/936ec726-6564-4d28-180b-0074eafb432c/manifest,,,,,72
忠義水滸全傳 120囘 [L_D_6_2-22],,,,,,,,中国語,,,,,,中国明代末に刊刻された『水滸伝』。,漢籍,首冊は忠義水滸全書を底本とする鋪鈔、第二冊は一百回容与堂刻本後修本および李氏焚書にもとづく補鈔、第三冊は一百回和刻本による補配。朱墨の書き入れあり。版心に虫損あり。第一帙、第二帙、第三帙内側に「醉竹軒」による筆記、第四帙内側に神山閏次「水滸傳諸本」の中国語訳文貼付さる。,"線装,四針眼釘法",漢籍D:6:2,120回,(中国)明末,明後期,25.7×16.6,毎半葉10行、行22字,"神山閏次旧蔵, 東京大学文学部中国思想文化学研究室所蔵(漢籍コーナー配架)",32冊,"4803130501,4803130519,4803130527,4803130535,4803130543,4803130550,4803130568,4803130576,4803130584,4803130592,4803130600,4803130618,4803130626,4803130634,4803130642,4803130659,4803130667,4803130675,4803130683,4803130691,4803130709,4803130717,4803130725,4803130733,4803130741,4803130758,4803130766,4803130774,4803130782,4803130790,4803130808,4803130816","東京帝国大学図書印,山閏之印",印本,木版,忠義水滸全傳一百二十回 Zhongyi Shuihu quanzhuan 120hui  忠義水滸全伝一百二十回    忠义水浒全書一百二十回,"(巻首題)忠義水滸全傳,(版心題)水滸全傳,(目首題)忠義水滸全書,(引首首題)李卓吾先生批點忠義水滸全傳,(発凡首題)出像評點忠義水滸全書,(封面題)水滸四傳全書",1628-1644年,1567-1644,"(内框)20.1×13.9cm,",,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bb9d40f2-8b5f-9d06-02e4-b0d431601232.json,bb9d40f2-8b5f-9d06-02e4-b0d431601232,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/bb9d40f2-8b5f-9d06-02e4-b0d431601232,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d6cbe0902460a1683ae403ec8e40080926e24265.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1370810,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,水滸伝コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bb9d40f2-8b5f-9d06-02e4-b0d431601232/manifest,,,,,75
忠義水滸全傳 120囘 [L_D_6_2-24],,,,,,,,中国語,,,,,,中国明代末に刊刻された『水滸伝』。,漢籍,首冊は忠義水滸全書を底本とする鋪鈔、第二冊は一百回容与堂刻本後修本および李氏焚書にもとづく補鈔、第三冊は一百回和刻本による補配。朱墨の書き入れあり。版心に虫損あり。第一帙、第二帙、第三帙内側に「醉竹軒」による筆記、第四帙内側に神山閏次「水滸傳諸本」の中国語訳文貼付さる。,"線装,四針眼釘法",漢籍D:6:2,120回,(中国)明末,明後期,25.7×16.6,毎半葉10行、行22字,"神山閏次旧蔵, 東京大学文学部中国思想文化学研究室所蔵(漢籍コーナー配架)",32冊,"4803130501,4803130519,4803130527,4803130535,4803130543,4803130550,4803130568,4803130576,4803130584,4803130592,4803130600,4803130618,4803130626,4803130634,4803130642,4803130659,4803130667,4803130675,4803130683,4803130691,4803130709,4803130717,4803130725,4803130733,4803130741,4803130758,4803130766,4803130774,4803130782,4803130790,4803130808,4803130816","東京帝国大学図書印,山閏之印",印本,木版,忠義水滸全傳一百二十回 Zhongyi Shuihu quanzhuan 120hui  忠義水滸全伝一百二十回    忠义水浒全書一百二十回,"(巻首題)忠義水滸全傳,(版心題)水滸全傳,(目首題)忠義水滸全書,(引首首題)李卓吾先生批點忠義水滸全傳,(発凡首題)出像評點忠義水滸全書,(封面題)水滸四傳全書",1628-1644年,1567-1644,"(内框)20.1×13.9cm,",,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/42fdb11d-8f21-734d-a5dd-66f915f986a3.json,42fdb11d-8f21-734d-a5dd-66f915f986a3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/asia/document/42fdb11d-8f21-734d-a5dd-66f915f986a3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0374d44baedb81dbd8568031e74fc0fefdc99da9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1370812,"東京大学附属図書館アジア研究図書館上廣倫理財団寄付研究部門 / Uehiro Project for the Asian Research Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,水滸伝コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/42fdb11d-8f21-734d-a5dd-66f915f986a3/manifest,,,,,66
