タイトル	年月日	本文タイトル（原本）	巻頭目録タイトル（原本）	本文タイトル（標点本）	巻頭目録タイトル（標点本）	冊	巻	条	画像（開始コマ）	請求記号	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
dcterms:title	dcterms:date	koumin:titleD	koumin:titleB	koumin:titleC	koumin:titleA	bibo:numVolumes	bibo:volume	koumin:jyo	dcterms:identifier	dcndl:callNumber	bibo:identifier	dcterms:isPartOf	dcterms:relation	dcterms:rights	foaf:thumbnail	rdfs:seeAlso	sc:attributionLabel	sc:viewingDirection	sc:viewingHint	uterms:databaseLabel	uterms:sort	uterms:year	uterms:manifestUri	uterms:searchApiUri	uterms:annotedManifest	uterms:linkToTapas	uterms:rtf	3354
巻1											51e00cad-5338-4568-884d-0c67410c07fd	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/51e00cad-5338-4568-884d-0c67410c07fd	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/4c7304e1d1223b8b30a2bec6cb8591292164705a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104376	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/51e00cad-5338-4568-884d-0c67410c07fd/manifest					80
巻2											0f3b3437-9b49-46e2-aa55-1f7c32b78371	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/0f3b3437-9b49-46e2-aa55-1f7c32b78371	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/831dcd7347626a52165afac86392d7cafac584eb.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104377	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0f3b3437-9b49-46e2-aa55-1f7c32b78371/manifest					36
巻3											1cf0b8e8-4801-48e9-953c-7660928c3b7a	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/1cf0b8e8-4801-48e9-953c-7660928c3b7a	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/71ea44a8258e42681b728fa8e55614f4b99584b1.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104378	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1cf0b8e8-4801-48e9-953c-7660928c3b7a/manifest					57
巻4											f0d6821b-8005-4a74-9752-29804bb57ab2	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/f0d6821b-8005-4a74-9752-29804bb57ab2	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/1c3daadbc964f90bda303c6f8756eaa586fc8607.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104379	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f0d6821b-8005-4a74-9752-29804bb57ab2/manifest					60
巻5											ef6b3ec4-8252-4aa9-a458-99f89c58f1d8	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/ef6b3ec4-8252-4aa9-a458-99f89c58f1d8	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/b93ead410ff4acc70b7880e7008a34f8869d02eb.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104380	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ef6b3ec4-8252-4aa9-a458-99f89c58f1d8/manifest					63
巻6											515f871a-7e54-4889-804d-ee1d91b0d45c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/515f871a-7e54-4889-804d-ee1d91b0d45c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/7d29ca6043730742d62c61245efb18048705073e.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104381	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/515f871a-7e54-4889-804d-ee1d91b0d45c/manifest					67
巻7											02d160c1-a695-4cf5-89bd-954958567f90	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/02d160c1-a695-4cf5-89bd-954958567f90	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/d83751d5da2eca123cdf58b3cf50964826c75099.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104382	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/02d160c1-a695-4cf5-89bd-954958567f90/manifest					52
巻8											293c2285-2e3c-4988-9afd-200fc8c04ef4	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/293c2285-2e3c-4988-9afd-200fc8c04ef4	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/6631a1b385f23a0aecdec9da50bcb1e61d83b8bd.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104383	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/293c2285-2e3c-4988-9afd-200fc8c04ef4/manifest					66
巻9											50f1b8dd-a4af-4e0d-8e88-795a5d2e2cf8	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/50f1b8dd-a4af-4e0d-8e88-795a5d2e2cf8	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/2831680ec7ecc5abeb20be52c867f8d08d7e7283.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104384	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/50f1b8dd-a4af-4e0d-8e88-795a5d2e2cf8/manifest					45
巻10											6d0688e3-d0e4-46dc-a7a7-6eb0b6e2ca5f	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/6d0688e3-d0e4-46dc-a7a7-6eb0b6e2ca5f	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/64dc16d7f621d7abf5379eef3cf6138341f1f53f.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104385	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6d0688e3-d0e4-46dc-a7a7-6eb0b6e2ca5f/manifest					38
巻11											617b8198-1f9c-4f74-aaaf-b7a83e9bc1c9	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/617b8198-1f9c-4f74-aaaf-b7a83e9bc1c9	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/43d1f7f9a5828cc532f9b5f0c1918a49d4d1ba7f.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104386	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/617b8198-1f9c-4f74-aaaf-b7a83e9bc1c9/manifest					48
巻12											fc0e2d36-6acc-48ab-9743-736737099b27	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/fc0e2d36-6acc-48ab-9743-736737099b27	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/b708df537d24abc1d43caf83cfbf7af0165a487a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104387	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fc0e2d36-6acc-48ab-9743-736737099b27/manifest					56
巻13											1ed2601b-d9d5-4495-8e7e-f3568dad05c4	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/1ed2601b-d9d5-4495-8e7e-f3568dad05c4	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/d8c625ff24ab70f92c2ec865ade0f3d8baa093b4.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104388	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1ed2601b-d9d5-4495-8e7e-f3568dad05c4/manifest					75
巻14											eab2630d-2d11-4a43-85e0-18c9d56ba554	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/eab2630d-2d11-4a43-85e0-18c9d56ba554	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/876f27c1eb717f8868093aec8c07087bbb49c831.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104389	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/eab2630d-2d11-4a43-85e0-18c9d56ba554/manifest					44
巻15											dd4da091-6aad-4a69-9102-d95fcfb08b85	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/dd4da091-6aad-4a69-9102-d95fcfb08b85	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/a93656009507747bb05d4ab227b9f3bab0a464a2.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104390	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dd4da091-6aad-4a69-9102-d95fcfb08b85/manifest					68
巻16											2dfdc22c-d823-45ae-8f6b-e6f5cf0ee02b	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/2dfdc22c-d823-45ae-8f6b-e6f5cf0ee02b	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/e8e314bc1e49d8e3a77ef714dba5f63d90460f51.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104391	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2dfdc22c-d823-45ae-8f6b-e6f5cf0ee02b/manifest					79
巻17											92f2546c-4eb6-4af3-942a-bccbbc2e5a11	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/92f2546c-4eb6-4af3-942a-bccbbc2e5a11	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/9755fa9fed00ff72fe36ba8c4a854cf60ca6a0c3.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104392	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/92f2546c-4eb6-4af3-942a-bccbbc2e5a11/manifest					50
巻18											1037301e-3e6c-4a64-969d-12402d94fd01	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/1037301e-3e6c-4a64-969d-12402d94fd01	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/5a35863a480da8bef3a1dad94abcabdf2e33d48b.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104393	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1037301e-3e6c-4a64-969d-12402d94fd01/manifest					37
巻19											64e25707-5df1-4573-b921-47e82f8b3ff5	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/64e25707-5df1-4573-b921-47e82f8b3ff5	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/b9abdc748a4cb3b1c69fdc54952f5da2262c1672.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104394	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/64e25707-5df1-4573-b921-47e82f8b3ff5/manifest					38
巻20											570bf244-aea3-4fe3-9781-9bfe47c9434b	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/570bf244-aea3-4fe3-9781-9bfe47c9434b	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/9ec29203cb62634ebf29053e7dbac20a03dbcdfa.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104395	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/570bf244-aea3-4fe3-9781-9bfe47c9434b/manifest					62
巻21											d02edd84-064a-4abf-a02c-9367567191e3	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/d02edd84-064a-4abf-a02c-9367567191e3	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/981b917379ae7578afb93fbda7913ef2e44cfcc4.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104396	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d02edd84-064a-4abf-a02c-9367567191e3/manifest					47
巻22											98bb382a-0b0a-4c20-9432-ebc0901a4022	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/98bb382a-0b0a-4c20-9432-ebc0901a4022	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/e7a396cad7a77a9166fa28d4d0e7aae2341bbe21.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104397	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/98bb382a-0b0a-4c20-9432-ebc0901a4022/manifest					70
巻23											fd7208cb-f9ca-4b71-b8d8-42378194c66a	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/fd7208cb-f9ca-4b71-b8d8-42378194c66a	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/bb0ef974bd5fd1381c6803a33eeca59fbdeb08a6.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104398	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fd7208cb-f9ca-4b71-b8d8-42378194c66a/manifest					36
巻24											a5805e1f-9356-4e20-add4-0bc06597ac1e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/a5805e1f-9356-4e20-add4-0bc06597ac1e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/3fb2e582d0b67c5abdff1904981fff2f1f12a905.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104399	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a5805e1f-9356-4e20-add4-0bc06597ac1e/manifest					54
巻25											9aa21685-4f6a-423f-95d7-9575daa0fbf7	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/9aa21685-4f6a-423f-95d7-9575daa0fbf7	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/4bc62c0b0f9493d6c6ab47c4c194baa5434de533.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104400	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9aa21685-4f6a-423f-95d7-9575daa0fbf7/manifest					41
巻26											53117e96-ac23-4cb6-8a71-ced2313f54f8	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/53117e96-ac23-4cb6-8a71-ced2313f54f8	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/de5f0a06be03b21f212e720f25d8761dbbbe2e8d.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104401	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/53117e96-ac23-4cb6-8a71-ced2313f54f8/manifest					56
巻27											bf762dfe-4ba3-47ce-900b-2a32df76d92b	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/bf762dfe-4ba3-47ce-900b-2a32df76d92b	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/d18aec812d72acb1d78079c4ba7a19eac89cd6b4.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104402	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bf762dfe-4ba3-47ce-900b-2a32df76d92b/manifest					55
巻28											8855249a-8280-46dd-a552-f61878a3fcd0	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/8855249a-8280-46dd-a552-f61878a3fcd0	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/9c9fb0171ea00531f7bc8cf825059c6a905806ca.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104403	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8855249a-8280-46dd-a552-f61878a3fcd0/manifest					49
巻29											9e3f3ba5-7d16-40af-8e42-c91fbdf9addd	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/9e3f3ba5-7d16-40af-8e42-c91fbdf9addd	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/befef7416be238d6fa0661ba361d44b3be20375b.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104404	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9e3f3ba5-7d16-40af-8e42-c91fbdf9addd/manifest					41
巻30											7a3e1bfb-869e-43af-b9c5-4123570c175d	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/7a3e1bfb-869e-43af-b9c5-4123570c175d	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/page/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/4a78be79dacb84b9d054e493838c41226d00afd2.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/104405	東京大学総合図書館 General Library in the University of Tokyo, JAPAN			皇明條法事類纂条名目録			https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7a3e1bfb-869e-43af-b9c5-4123570c175d/manifest					50
