書名,注記,請求記号,タイトル（ヨミ）,資料番号/Barcode No.,所蔵図書館室 / Holding Library,書誌ID,巻,メモ,文庫区分,著者・編者・監修者,購入年,出版年,幅・高さ,種別,言語,書名2,出版社,分類1,分類2,解説1,第一中学本,図版番号,開成学校本,キーワード,サイズ,帝国大学本,タイトル2,東京大学本,解説2,解説3,解説4,解説5,解説6,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
本朝世紀 41 仁平二年〈正月 二月〉,21丁。,三:い:30,ホンチョウセイキ 41,,,,,,,藤原通憲,[江戸時代],[18世紀],29.7×20.5cm,和古書,日本語,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/95174811-9dd8-9948-2f99-36eeb3075ff8.json,95174811-9dd8-9948-2f99-36eeb3075ff8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko/document/95174811-9dd8-9948-2f99-36eeb3075ff8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8fc3458cc7cf743a762448181bc7bb8f64bc9a00.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/951155,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,第一高等学校旧蔵資料,honchoseiki-042,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/95174811-9dd8-9948-2f99-36eeb3075ff8/manifest,,,,,27
本朝世紀 42 仁平二年〈三月 四月〉,16丁。,三:い:30,ホンチョウセイキ 42,,,,,,,藤原通憲,[江戸時代],[18世紀],29.7×20.5cm,和古書,日本語,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f4d1f486-2c38-634f-0158-64d2bc4aa3bc.json,f4d1f486-2c38-634f-0158-64d2bc4aa3bc,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko/document/f4d1f486-2c38-634f-0158-64d2bc4aa3bc,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/773a0a1b15c0943c69667e4a7cefc9b81c1b51fd.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/951154,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,第一高等学校旧蔵資料,honchoseiki-043,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f4d1f486-2c38-634f-0158-64d2bc4aa3bc/manifest,,,,,22
本朝世紀 43 仁平二年〈五月・六月 七月・八月〉,16丁。8月16日条に文字大小に関する訂正貼紙あり、刊本はそれに従う。,三:い:30,ホンチョウセイキ 43,,,,,,,藤原通憲,[江戸時代],[18世紀],29.6×20.7cm,和古書,日本語,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8359846f-3be4-3fff-3856-f6c391be6c6b.json,8359846f-3be4-3fff-3856-f6c391be6c6b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko/document/8359846f-3be4-3fff-3856-f6c391be6c6b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/68522a61826df748bf39215ddbda89baf79ca358.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/951153,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,第一高等学校旧蔵資料,honchoseiki-044,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8359846f-3be4-3fff-3856-f6c391be6c6b/manifest,,,,,23
本朝世紀 44 仁平二年〈九月・十月 十一月・十二月〉,16丁。9月9日条に文字大小に関する訂正貼紙あり、刊本はそれに従う。,三:い:30,ホンチョウセイキ 44,,,,,,,藤原通憲,[江戸時代],[18世紀],29.6×20.8cm,和古書,日本語,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c35d8902-4446-a60e-4513-1f178ebb783e.json,c35d8902-4446-a60e-4513-1f178ebb783e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko/document/c35d8902-4446-a60e-4513-1f178ebb783e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7832545b7face5ac3f0210d0d3a513f7bcd163a8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/951152,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,第一高等学校旧蔵資料,honchoseiki-045,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c35d8902-4446-a60e-4513-1f178ebb783e/manifest,,,,,23
本朝世紀 45 仁平三年〈自正月 至三月〉,15丁。,三:い:30,ホンチョウセイキ 45,,,,,,,藤原通憲,[江戸時代],[18世紀],29.6×20.6cm,和古書,日本語,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/37098e1a-a272-0abb-02c5-614a821552ef.json,37098e1a-a272-0abb-02c5-614a821552ef,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko/document/37098e1a-a272-0abb-02c5-614a821552ef,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ff98176d2b0843026f15a43a34afc5dff5f01c83.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/951151,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,第一高等学校旧蔵資料,honchoseiki-046,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/37098e1a-a272-0abb-02c5-614a821552ef/manifest,,,,,21
本朝世紀 46 仁平三年〈四月・五月 六月〉,18丁。,三:い:30,ホンチョウセイキ 46,,,,,,,藤原通憲,[江戸時代],[18世紀],29.6×20.7cm,和古書,日本語,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5b203cc1-0d0b-271b-59a1-2d716b028387.json,5b203cc1-0d0b-271b-59a1-2d716b028387,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko/document/5b203cc1-0d0b-271b-59a1-2d716b028387,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/252ccc98a7947c149988269dab07b8a9dc11a111.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/951150,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,第一高等学校旧蔵資料,honchoseiki-047,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5b203cc1-0d0b-271b-59a1-2d716b028387/manifest,,,,,24
本朝世紀 47 仁平三年〈自七月 至十二月〉,41丁。,三:い:30,ホンチョウセイキ 47,,,,,,,藤原通憲,[江戸時代],[18世紀],29.5×20.8cm,和古書,日本語,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/138edada-a2bc-82bc-80b2-cedc049d23b0.json,138edada-a2bc-82bc-80b2-cedc049d23b0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko/document/138edada-a2bc-82bc-80b2-cedc049d23b0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/50689e80b2a3cb51ac29b5f358eae7c8f9da8225.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/951149,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,第一高等学校旧蔵資料,honchoseiki-048,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/138edada-a2bc-82bc-80b2-cedc049d23b0/manifest,,,,,47
Von West nach Ost,Von West nach Ost,IV:C:397,,3011126616,駒場図書館,3001054707,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d99de8a4-5abf-92ef-8efb-6770cce89e22.json,d99de8a4-5abf-92ef-8efb-6770cce89e22,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko/document/d99de8a4-5abf-92ef-8efb-6770cce89e22,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7ebb8ceff774aea3e6d6fb514cf26b270078058b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1228030,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",,,第一高等学校旧蔵資料,ichiko-001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d99de8a4-5abf-92ef-8efb-6770cce89e22/manifest,,,,,88
東京市火災動態地図,,十い:1:23,,,,,,,,文部省震災予防調査会編輯,大正13年11月4日,大正13年9月,1480 × 1224 mm,,,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8834c983-2249-1468-10bf-4a7e373d9e46.json,8834c983-2249-1468-10bf-4a7e373d9e46,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko/document/8834c983-2249-1468-10bf-4a7e373d9e46,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ccde5199c93c5653bab31b4507e2318d3d2684b6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1038829,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",,,第一高等学校旧蔵資料,kakezu-001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8834c983-2249-1468-10bf-4a7e373d9e46/manifest,,,,,1
間歇温泉之図,,十い:2:15,,,,,,,,,明治24年11月11日,,907 × 1188 mm,,,,,,,,,,,,,,,,,,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/fdfec447-1605-7375-0635-4d1ff4878d08.json,fdfec447-1605-7375-0635-4d1ff4878d08,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ichiko/document/fdfec447-1605-7375-0635-4d1ff4878d08,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/155c6a98916204d4890d77e23c8b2e5a172afd0f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1038828,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",,,第一高等学校旧蔵資料,kakezu-002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fdfec447-1605-7375-0635-4d1ff4878d08/manifest,,,,,1
