タイトル,資料名（ヨミ）/Title (furigana),解題／Description,編著者/ The Author ＆ Editor,書写者／Copier,校訂者／Revisor,宛先/Recipient,宛先原綴,差出1/Sender1,差出2/Sender2,差出3/Sender3,差出4/Sender4,差出5/Sender5,差出6/Sender6,差出7/Sender7,差出8/Sender8,差出9/Sender9,差出10/Sender10,請求記号/Call No.,"出版事項/Publication, Discription, etc.Area",出版地／Place of Publication,数量/Unit,日付(和暦)/Japanese Date,日付(西暦)/A.D.,コレクション4,所蔵年次/Year,所蔵巻号/Volumes,資料区分/Document Categoly,種別/Material Type,本文言語/Language,Place,備考/Comments,署判/Signature,内容/Contents,納本データ/Note:Legal Deposit Data,Format,Identifier,形態/Physical Descriptin Area,地域/Region,印記/Seal,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:titleTranscription,dcterms:description,dcterms:creator,bibo:producer,dcterms:contributor,law:atena,law:atenaGentetsu,law:sashidashinin1,law:sashidashinin2,law:sashidashinin3,law:sashidashinin4,law:sashidashinin5,law:sashidashinin6,law:sashidashinin7,law:sashidashinin8,law:sashidashinin9,law:sashidashinin10,dcndl:callNumber,dcterms:publisher,dcndl:publicationPlace,dcterms:extent,dcterms:date,law:ad,archiveshub:item,dcndl:holdingIssues,dcndl:volume,dcterms:type,dcndl:materialType,dcterms:language,dcterms:spatial,rdfs:comment,archiveshub:origination,bibo:content,dcterms:provenance,dcterms:format,dcterms:identifier,law:physicalDescriptinArea,law:region,law:seal,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,125
Auslandsrecht : Blätter für Industrie und Handel : Organ des Instituts für ausländisches Recht beim Reichsverband der deutschen Industrie,,,,,,,,,,,,,,,,,,NB::247,Leonhard Simion Nf,,6冊,,1921-1922,,1921-1922,"Nr. 1-6, 3. Jahrg.",雑誌;Serials,,ドイツ語,ドイツ連邦共和国,,,,,jpeg,3000001573,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a1a320db-682a-4846-b99f-9414f6a17a2c.json,a1a320db-682a-4846-b99f-9414f6a17a2c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/lawlib/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/lawlib/document/a1a320db-682a-4846-b99f-9414f6a17a2c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/dced11b359a295c948d42c7ac5db74cb0a0ac167.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/22146,"東京大学法学部研究室図書室 Graduate Schools for Law and Politics / Faculty of Law Library, The University of Tokyo, JAPAN",,,東京大学法学部研究室図書室所蔵コレクション,0001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a1a320db-682a-4846-b99f-9414f6a17a2c/manifest,,,,,56
浪士姓名簿,ロウシ セイメイボ,,[鵜殿鳩翁],,,,,,,,,,,,,,,乙:7:1493,,,1冊,[文久3年],[1863],,,,,和古書,日本語,,裏表紙:墨書: 「御取締役 鵜殿鳩翁」,,,,,,冊子,日本,「三宅氏圖書之印」,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/427554b3-6a83-44a5-a5eb-d611db3b5e67.json,427554b3-6a83-44a5-a5eb-d611db3b5e67,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/lawlib,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/lawlib/document/427554b3-6a83-44a5-a5eb-d611db3b5e67,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/69c784fec663d539755d7f1845f8046946190044.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1253830,"東京大学法学部研究室図書室 Graduate Schools for Law and Politics / Faculty of Law Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,東京大学法学部研究室図書室所蔵コレクション,0002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/427554b3-6a83-44a5-a5eb-d611db3b5e67/manifest,,,,,69
