タイトル	タイトル	タイトルよみ	請求番号	和暦	地域	題種・題名	題種・題名よみ	作者名	作者名よみ	書誌備考	刊写	体裁	親書誌	大分類	中分類	小分類	月	日	西暦	月日	刊記	板元	元号	劇場	内題下	演奏者	統一劇場	刊年	興行人	内題下よみ	iiif viewer	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
三世二河白道		さんぜにがびゃくどう	黒4133-0014			三世二河白道 (帙題)	さんぜにがびゃくどう			替題簽2種。宝永5年7月上旬、土佐少掾正勝序。木下甚右衛門序。関根只誠朱筆識語(見返)。奥書無。印記6顆	刊	半紙本。1冊。51丁。8行		浄瑠璃	古浄瑠璃	正本	00	00				小伝馬町三丁目 木下甚右衛門(序)						宝永5年7月序刊			http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9945289e-f032-4d36-870a-46e4c9c14c05.json	9945289e-f032-4d36-870a-46e4c9c14c05	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/9945289e-f032-4d36-870a-46e4c9c14c05	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/757f3e9679278ecd041005480243f8d2f892856f.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277459	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0007	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9945289e-f032-4d36-870a-46e4c9c14c05/manifest					55
あこぎの平次		あこぎのへいじ	黒4133-0015			あこぎの平次 (帙題)	あこぎのへいじ			替題簽。奥書有。替題簽に「山本土佐掾正本」。印記3顆	刊	半紙本。1冊。30丁。10行		浄瑠璃	古浄瑠璃	正本	00	00				京寺町通松原上ル町西側 菊屋七郎兵衛板(奥付)									http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c2f6255d-2e7a-4183-8ae8-980fff6e8401.json	c2f6255d-2e7a-4183-8ae8-980fff6e8401	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/c2f6255d-2e7a-4183-8ae8-980fff6e8401	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/68d7f802c1001d80d0f3eb1efe72ed28b91404de.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277460	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0008	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c2f6255d-2e7a-4183-8ae8-980fff6e8401/manifest					33
頼政		よりまさ	黒4133-0016			頼政(土佐節) (帙題)	よりまさ(とさぶし)			題簽欠。宝永5年7月上旬、土佐少掾正勝序。木下甚右衛門序。奥書有。印記4顆	刊	半紙本。1冊。45丁。8行		浄瑠璃	古浄瑠璃	正本	00	00				小伝馬町三丁目 木下甚右衛門刊(奥付)						宝永5年7月序刊			http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/dc9118ed-90ae-4e94-ae69-815f8fc2c61d.json	dc9118ed-90ae-4e94-ae69-815f8fc2c61d	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/dc9118ed-90ae-4e94-ae69-815f8fc2c61d	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b8302e408a327eb62df57312ffad1cb09984aeb4.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277461	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0009	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dc9118ed-90ae-4e94-ae69-815f8fc2c61d/manifest					49
小野道風記		おののとうふうき	黒4133-0017			小野道風記 (帙題)	おののとうふうき			替題簽。宝永五戊子初秋上旬土佐少掾正勝序有。木下甚右衛門序。奥書有。印記4顆	刊	半紙本。1冊。50丁。行数不定(8-9行)		浄瑠璃	古浄瑠璃	正本	00	00				小伝馬町三丁目 木下甚右衛門刊(奥付)						宝永5年7月序刊			http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d98dffb0-18ef-4bdc-85c6-83c11d209482.json	d98dffb0-18ef-4bdc-85c6-83c11d209482	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/d98dffb0-18ef-4bdc-85c6-83c11d209482	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/824e373ee089a8ed3abac0a486720b2d03b5f3cb.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277462	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0010	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d98dffb0-18ef-4bdc-85c6-83c11d209482/manifest					53
大和歌五穀色紙		やまとうたごこくのしきし	黒4133-0018			大和歌五穀色紙 (帙題)	やまとうたごこくのしきし	伊勢島 式大夫。清水 三郎兵衛		題簽破損。奥書有。奥書「宇治半大夫 宇治次郎大夫」。印記6顆	刊	半紙本。1冊。62丁。8行		浄瑠璃	古浄瑠璃	正本	00	00				二条通寺町西へ入町 山本[九兵衛](奥付)							座本:野田 若狭。名代:宇治 薩摩。		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e76ae3a9-b4ad-43cf-97a7-7b512b14164f.json	e76ae3a9-b4ad-43cf-97a7-7b512b14164f	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/e76ae3a9-b4ad-43cf-97a7-7b512b14164f	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/eb4557a27c3bd21a90a14021f15d2bc14f4b2ec8.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277463	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0011	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e76ae3a9-b4ad-43cf-97a7-7b512b14164f/manifest					65
大竹集		おおたけしゅう	黒4133-0020-00			大竹集 (帙題)	おおたけしゅう			宇治加賀掾段物集、30段。透写本。加賀掾序。奥書有。目録有。印記3顆	写	大本。1冊		浄瑠璃	古浄瑠璃	段物集	00	00			延宝九辛酉林鐘下澣/四条中島橋本町 つほや吉左衛門開板(写)	四条中島橋本町 つほや吉左衛門開板(写)						延宝9年6月下旬			http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/49902e9e-92ec-422c-bfed-af4149b98083.json	49902e9e-92ec-422c-bfed-af4149b98083	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/49902e9e-92ec-422c-bfed-af4149b98083	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c1889325c0defea98c952a3b50d362d073e104ce.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277464	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0012	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/49902e9e-92ec-422c-bfed-af4149b98083/manifest					8
-虎遁世記 四機		とらとんせいきしき	黒4133-0020-01								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1b4a5924-3456-4f0a-9ac2-1b0b731cadb3.json	1b4a5924-3456-4f0a-9ac2-1b0b731cadb3	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/1b4a5924-3456-4f0a-9ac2-1b0b731cadb3	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e5738cccaa9c817f959b01f194ab2c52d49c0006.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277465	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0013	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1b4a5924-3456-4f0a-9ac2-1b0b731cadb3/manifest					3
-虎巻 菅丞相乱曲		とらのまきかんしょうじょうらんぎょく	黒4133-0020-02								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f483bce1-89da-4df0-9b4f-fbbd30b6d7da.json	f483bce1-89da-4df0-9b4f-fbbd30b6d7da	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/f483bce1-89da-4df0-9b4f-fbbd30b6d7da	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7aaf5c430d4bf952f8a7ebf60cf52b9ddc18bc05.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277466	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0014	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f483bce1-89da-4df0-9b4f-fbbd30b6d7da/manifest					6
-十夜物語 玉鶴姫道行		じゅうやものがたりたまつるひめみちゆき	黒4133-0020-03								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/763ec22d-f704-40a6-901e-1cdff1744941.json	763ec22d-f704-40a6-901e-1cdff1744941	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/763ec22d-f704-40a6-901e-1cdff1744941	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/110327604576d0475bc3f49ecf9c2064fba7f603.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277467	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0015	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/763ec22d-f704-40a6-901e-1cdff1744941/manifest					3
-恋塚物語 為若道行		こいづかものがたりためわかみちゆき	黒4133-0020-04								写		大竹集	浄瑠璃	古浄瑠璃	段物集	00	00													http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9ecfe168-82ee-4989-8d5e-945f9c0fb070.json	9ecfe168-82ee-4989-8d5e-945f9c0fb070	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/9ecfe168-82ee-4989-8d5e-945f9c0fb070	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/92eb92f0c5f230388e188ac643efed700e938e83.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277468	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0016	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9ecfe168-82ee-4989-8d5e-945f9c0fb070/manifest					3
