タイトル	タイトル	タイトルよみ	請求番号	和暦	地域	題種・題名	題種・題名よみ	作者名	作者名よみ	書誌備考	刊写	体裁	親書誌	大分類	中分類	小分類	月	日	西暦	月日	刊記	板元	元号	劇場	内題下	演奏者	統一劇場	刊年	興行人	内題下よみ	iiif viewer	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
曽我扇八景		そがおうぎはっけい	黒4142-0053			曽我扇八景 (帙題)	そがおうぎはっけい	近松 門左衛門:作	ちかまつ もんざえもん	原題簽。奥書有。印記5顆	刊	半紙本。1冊。69丁。8行		浄瑠璃	義太夫節	院本	00	00			無刊記	山本九兵衛新板(題簽)。大坂高麗橋一丁目 山本九右衛門版 他1肆(奥付)			近松 門左衛門:作						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5549a821-e4b2-4f61-8d2f-ab78987ec65c.json	5549a821-e4b2-4f61-8d2f-ab78987ec65c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/5549a821-e4b2-4f61-8d2f-ab78987ec65c	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f5c390f7f0a0d2eab02f67a9aa0ccc7c961eecd8.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277878	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0426	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5549a821-e4b2-4f61-8d2f-ab78987ec65c/manifest					69
曽我扇八景		そがおうぎはっけい	黒4142-0054			曽我扇八景 (帙題)	そがおうぎはっけい	近松 門左衛門:作	ちかまつ もんざえもん	替題簽。奥書有。印記3顆	刊	半紙本。1冊。29丁。11行		浄瑠璃	義太夫節	院本	00	00			無刊記	山木九兵衛板(奥付)			近松 門左衛門:作						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a1e3e757-8ca2-4d2b-99bc-31b840b2e1a0.json	a1e3e757-8ca2-4d2b-99bc-31b840b2e1a0	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/a1e3e757-8ca2-4d2b-99bc-31b840b2e1a0	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ea300f142918bc279cfc3934fc97569676a4409f.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277879	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0427	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a1e3e757-8ca2-4d2b-99bc-31b840b2e1a0/manifest					33
曽我扇八景		そがおうぎはっけい	黒4142-0055			曽我扇八景 (帙題)	そがおうぎはっけい	近松 門左衛門:作	ちかまつ もんざえもん	題簽欠。巻末補写。印記3顆	刊	半紙本。1冊。29丁。11行		浄瑠璃	義太夫節	院本	00	00			無刊記	山本九兵衛板(奥付)			近松 門左衛門:作						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/744ac357-f77b-4d56-a952-268acfb8e975.json	744ac357-f77b-4d56-a952-268acfb8e975	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/744ac357-f77b-4d56-a952-268acfb8e975	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7c3821ca7e97a10138466198ea43abe47072a147.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277880	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0428	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/744ac357-f77b-4d56-a952-268acfb8e975/manifest					34
酒呑童子枕言葉		しゅてんどうじまくらのことのは	黒4142-0056			酒呑童子枕言葉 (帙題)	しゅてんどうじまくらのことのは	近松 門左衛門:作	ちかまつ もんざえもん	替題簽。印記「為永」他8顆。奥書有	刊	半紙本。1冊。83丁。7行		浄瑠璃	義太夫節	院本	00	00			無刊記	大坂高麗橋二丁目出店 山本九右衛門版 他1肆(奥付)			近松 門左衛門:作						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/969f8988-d051-45e7-a33c-4b6e12763ed4.json	969f8988-d051-45e7-a33c-4b6e12763ed4	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/969f8988-d051-45e7-a33c-4b6e12763ed4	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6542f93b341235637561c132e845c0c10d16c215.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277881	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0429	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/969f8988-d051-45e7-a33c-4b6e12763ed4/manifest					87
酒呑童子枕言葉		しゅてんどうじまくらのことのは	黒4142-0057			酒呑童子枕言葉 (帙題)	しゅてんどうじまくらのことのは	近松 門左衛門:作	ちかまつ もんざえもん	原題簽。奥書有。巻末欠。印記5顆	刊	半紙本。1冊。32丁。10行		浄瑠璃	義太夫節	院本	00	00			無刊記	京二条通寺町西江入町 正本屋 山本九兵衛版(奥付)			近松 門左衛門:作						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/84f53b3e-aa93-4d95-a832-af6130767480.json	84f53b3e-aa93-4d95-a832-af6130767480	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/84f53b3e-aa93-4d95-a832-af6130767480	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/25c2a0e6df039a675e634379953b12d433397e54.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277882	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0430	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/84f53b3e-aa93-4d95-a832-af6130767480/manifest					35
酒呑童子枕言葉		しゅてんどうじまくらのことのは	黒4142-0058			酒呑童子枕言葉 (帙題)	しゅてんどうじまくらのことのは	近松 門左衛門:作	ちかまつ もんざえもん	題簽破損。奥書破損。印記3顆	刊	半紙本。1冊。33丁。10行		浄瑠璃	義太夫節	院本	00	00			無刊記				近松 門左衛門:作						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a3dfae6c-3983-40fb-8a94-1d0a1e7458f7.json	a3dfae6c-3983-40fb-8a94-1d0a1e7458f7	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/a3dfae6c-3983-40fb-8a94-1d0a1e7458f7	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/deb74759623dc8854ced2cfa36843da04d65b6bc.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277883	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0431	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a3dfae6c-3983-40fb-8a94-1d0a1e7458f7/manifest					36
心中かさね井筒		しんじゅうかさねいづつ	黒4142-0059			心中かさね井筒 (帙題)	しんじゅうかさねいづつ	作者:近松 門左衛門	ちかまつ もんざえもん	題簽欠。外題打付。巻末九丁平出文庫本により補写。奥書も補写。印記7顆	刊	半紙本。1冊。30丁。8行		浄瑠璃	義太夫節	院本	00	00			無刊記	大坂天神橋筋泉町 正本屋七兵衛板(奥付)(写)			作者:近松 門左衛門						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/02f9b1b9-be2c-4407-891e-fa2ea30859b6.json	02f9b1b9-be2c-4407-891e-fa2ea30859b6	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/02f9b1b9-be2c-4407-891e-fa2ea30859b6	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/33eb584bbb91000fe9550f7c5befaa5b65eb2e43.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277884	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0432	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/02f9b1b9-be2c-4407-891e-fa2ea30859b6/manifest					34
傾城反魂香		けいせいはんごんこう	黒4142-0060			傾城反魂香 (帙題)	けいせいはんごんこう	近松 門左衛門:作	ちかまつ もんざえもん	原題簽。奥書有。「口上」墨書有(見返)。印記5顆	刊	半紙本。1冊。83丁。7行		浄瑠璃	義太夫節	院本	00	00			無刊記	玉水源次郎新版(題簽)。大坂北浜西横堀船町 玉水源治郎版 他3肆(奥付)			作者:近松 門左衛門:作						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c1ab3285-79e8-45b4-872b-012981a44283.json	c1ab3285-79e8-45b4-872b-012981a44283	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/c1ab3285-79e8-45b4-872b-012981a44283	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/18d9602a2124708959df6b2cf88875ef2608cf24.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277885	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0433	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ab3285-79e8-45b4-872b-012981a44283/manifest					86
丹波与作		たんばよさく	黒4142-0061			丹波与作 (帙題)	たんばよさく	近松 門左衛門:作	ちかまつ もんざえもん	替題簽。奥書無。印記「小泉庄助」他8顆	刊	半紙本。1冊。59丁。7行		浄瑠璃	義太夫節	院本	00	00			無刊記	大坂高麗橋二丁目 山本九右衛門版 他1肆(奥付)			近松 門左衛門:作						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7734abb0-e84f-4929-8175-34107bcbab2b.json	7734abb0-e84f-4929-8175-34107bcbab2b	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/7734abb0-e84f-4929-8175-34107bcbab2b	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/05a9205702b34580005438e2b6f4c9ab77141fc6.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277886	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0434	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7734abb0-e84f-4929-8175-34107bcbab2b/manifest					63
弘徽殿鵜羽産屋		こうきでんうのはのうぶや	黒4142-0068			弘徽殿鵜羽産家 (帙題)	こうきでんうのはのうぶや	近松 門左衛門:作	ちかまつ もんざえもん	替題簽。奥書有。印記「洒竹文庫」「斎藤文庫」他4顆	刊	半紙本。1冊。90丁。7行		浄瑠璃	義太夫節	院本	00	00			無刊記	大坂高麗橋二丁目出店 山本九右衛門版 他1肆(奥付)			近松 門左衛門:作						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/681d6542-5c7d-48a5-ab5e-82a19d6b3189.json	681d6542-5c7d-48a5-ab5e-82a19d6b3189	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/681d6542-5c7d-48a5-ab5e-82a19d6b3189	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c9788d19859acd190b8494005b1cecdb2677378f.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277887	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0435	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/681d6542-5c7d-48a5-ab5e-82a19d6b3189/manifest					92
<五百番之内>嫗山姥		<ごひゃくばんのうち>こもちやまんば	黒4142-0069			嫗山姥 (帙題)	こもちやまんば	近松 門左衛門:作	ちかまつ もんざえもん	原題簽。奥書有。印記3顆	刊	半紙本。1冊。76丁。7行		浄瑠璃	義太夫節	院本	00	00			無刊記	山本九兵衛新板(題簽)。大坂高麗橋二丁目出店 山本九右衛門版 他1肆(奥付)			近松 門左衛門:作						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/dabad387-bec6-492f-b973-6fa4b496e78d.json	dabad387-bec6-492f-b973-6fa4b496e78d	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/dabad387-bec6-492f-b973-6fa4b496e78d	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ee49feab471f32c11fb518d35663247fe9fefa12.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277888	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0436	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dabad387-bec6-492f-b973-6fa4b496e78d/manifest					80
天神記		てんじんき	黒4142-0070			天神記 (帙題)	てんじんき	近松 門左衛門:作	ちかまつ もんざえもん	替題簽。替表紙。奥書有。印記5顆	刊	半紙本。1冊。86丁。7行		浄瑠璃	義太夫節	院本	00	00			無刊記	大坂高麗橋二丁目出店 山本九右衛門版 他1肆(奥付)			近松 門左衛門:作						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e2acaaaa-8b87-4bb4-a59a-35f6c82b4b33.json	e2acaaaa-8b87-4bb4-a59a-35f6c82b4b33	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/e2acaaaa-8b87-4bb4-a59a-35f6c82b4b33	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/73f9776ac4e30b1d3b53924092f67fcd894f2f0c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277889	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0437	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e2acaaaa-8b87-4bb4-a59a-35f6c82b4b33/manifest					89
天神記		てんじんき	黒4142-0071			天神記 (帙題)	てんじんき	近松 門左衛門:作	ちかまつ もんざえもん	替題簽。替表紙。奥書有。印記5顆	刊	半紙本。1冊。86丁。7行		浄瑠璃	義太夫節	院本	00	00			無刊記	大坂高麗橋二丁目出店 山本九右衛門版 他1肆(奥付)			近松 門左衛門:作						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ba262bf8-461d-4e23-9aea-23b86dcdf0f4.json	ba262bf8-461d-4e23-9aea-23b86dcdf0f4	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/ba262bf8-461d-4e23-9aea-23b86dcdf0f4	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/50d16c37a216b68211ddefe398c2b6e13e92b683.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277890	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0438	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ba262bf8-461d-4e23-9aea-23b86dcdf0f4/manifest					89
天神記		てんじんき	黒4142-0072			天神記 (帙題)	てんじんき	近松 門左衛門:作	ちかまつ もんざえもん	替題簽。替表紙。奥書無。巻末補写。印記4顆	刊	半紙本。1冊。53丁。10行		浄瑠璃	義太夫節	院本	00	00			無刊記	??			近松 門左衛門:作						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c4154973-cc9d-4ae3-99c3-90cf36b18372.json	c4154973-cc9d-4ae3-99c3-90cf36b18372	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/c4154973-cc9d-4ae3-99c3-90cf36b18372	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3fc45c31d039eed5c3d9c4f3218dede8f2be9e47.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277891	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0439	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c4154973-cc9d-4ae3-99c3-90cf36b18372/manifest					56
相模入道千疋犬		さがみにゅうどうせんびきのいぬ	黒4142-0074			相模入道千疋犬 (帙題)	さがみにゅうどうせんびきのいぬ	近松 門左衛門:作	ちかまつ もんざえもん	替題簽。奥書無。一部破損・補写。印記4顆	刊	半紙本。1冊。88丁。7行		浄瑠璃	義太夫節	院本	00	00			無刊記	??			近松 門左衛門:作						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a4f18da7-133a-4c51-81dd-a45601e265d5.json	a4f18da7-133a-4c51-81dd-a45601e265d5	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/a4f18da7-133a-4c51-81dd-a45601e265d5	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/516561bead67bd685566539058c60f67e7df801b.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277892	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0440	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a4f18da7-133a-4c51-81dd-a45601e265d5/manifest					94
嵯峨天皇甘露雨		さがてんのうかんろのあめ	黒4142-0075			嵯峨天皇甘露雨 (帙題)	さがてんのうかんろのあめ	近松 門左衛門:作	ちかまつ もんざえもん	替題簽。奥書無。巻末欠。印記4顆	刊	半紙本。1冊。88丁半。7行		浄瑠璃	義太夫節	院本	00	00			無刊記(巻末欠)	??			近松 門左衛門:作						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f0c99a6c-a60e-4cc7-b33f-f367cfa83f97.json	f0c99a6c-a60e-4cc7-b33f-f367cfa83f97	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/f0c99a6c-a60e-4cc7-b33f-f367cfa83f97	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/73e901686326974a8b969cc5f206012d9fbd388e.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277893	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0441	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f0c99a6c-a60e-4cc7-b33f-f367cfa83f97/manifest					92
嵯峨天皇甘露雨		さがてんのうかんろのあめ	黒4142-0076			嵯峨天皇甘露雨 (帙題)	さがてんのうかんろのあめ	近松 門左衛門:作	ちかまつ もんざえもん	題簽欠。外題打付。奥書無。印記「霞亭文庫」他4顆	刊	半紙本。1冊。89丁。7行		浄瑠璃	義太夫節	院本	00	00			無刊記	??			近松 門左衛門:作						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7527b6a1-8073-4ba2-919c-0cdeb387c83f.json	7527b6a1-8073-4ba2-919c-0cdeb387c83f	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/7527b6a1-8073-4ba2-919c-0cdeb387c83f	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/98fcb483ae4bb020b6b37508ce886ff1021e2a88.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277894	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0442	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7527b6a1-8073-4ba2-919c-0cdeb387c83f/manifest					92
大経師昔暦		だいきょうじむかしごよみ	黒4142-0077			大経師昔暦 (帙題)	だいきょうじむかしごよみ	作者:近松 門左衛門	ちかまつ もんざえもん	替題簽。奥書有。印記「宵水文庫」他7顆。墨書書入「文政四年辛霜月中ノ八日 此中ノ巻切始」(見返)	刊	半紙本。1冊。45丁。7行		浄瑠璃	義太夫節	院本	00	00			無刊記	大坂心斎橋壱町目出店 正本屋山本九右衛門版 他1肆(奥付)			作者:近松 門左衛門						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5d82087d-ecd0-4438-8496-8463dd2da030.json	5d82087d-ecd0-4438-8496-8463dd2da030	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/5d82087d-ecd0-4438-8496-8463dd2da030	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/57ed6ee114d6f332a740c11c738e475217bc6e76.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277895	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0443	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5d82087d-ecd0-4438-8496-8463dd2da030/manifest					48
持統天皇歌軍法		じとうてんのううたぐんぽう	黒4142-0078			持統天皇歌軍法 (帙題)	じとうてんのううたぐんぽう	近松 門左衛門:作	ちかまつ もんざえもん	替題簽。奥書有。印記4顆	刊	半紙本。1冊。94丁。7行		浄瑠璃	義太夫節	院本	00	00			無刊記	大坂御堂筋北久宝寺町 正本屋仁兵衛(奥付)			近松 門左衛門:作						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c60a2fdd-332c-4b92-ba8b-4595af446125.json	c60a2fdd-332c-4b92-ba8b-4595af446125	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/c60a2fdd-332c-4b92-ba8b-4595af446125	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/04882221552ed1f82b799814c0312563db21566d.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277896	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0444	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c60a2fdd-332c-4b92-ba8b-4595af446125/manifest					97
持統天皇歌軍法		じとうてんのううたぐんぽう	黒4142-0079			持統天皇歌軍法 (帙題)	じとうてんのううたぐんぽう	近松 門左衛門:作	ちかまつ もんざえもん	原題簽。奥書有。印記3顆	刊	半紙本。1冊。32丁。11行		浄瑠璃	義太夫節	院本	00	00			無刊記	正本屋七兵衛板(題簽)。山本九兵衛板(奥付)			近松 門左衛門:作						http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4d6ad3f4-79b6-479b-95e8-f9a48ce34fbc.json	4d6ad3f4-79b6-479b-95e8-f9a48ce34fbc	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kuroki/document/4d6ad3f4-79b6-479b-95e8-f9a48ce34fbc	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c3f11519a6f8b61c215f7e8c0b20b7f37184ac0f.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/277897	東京大学大学院総合文化研究科・教養学部 Graduate School of Arts and Sciences / College of Arts and Sciences, The University of Tokyo, JAPAN				0445	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4d6ad3f4-79b6-479b-95e8-f9a48ce34fbc/manifest					35
