タイトル	資料の解説	項目	年月日	分類	出版事項等	状態	縦×横（cm）	備考	冊数	サブコレクション	年	アイテムURL	viewingDirection	ID	ソート用項目	機械可読ドキュメント	ウェブサイトURL	IIIFマニフェストURI	帰属	コレクション	サムネイル	利用条件
江戸地震方角図(仮)		災害	安政2年10月2日	かわら版		木版(墨一色)	36.5×49	05-018と同じ	01-026	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/8da4492c-f1bb-4625-ad72-cb3fe3c22e31	http://iiif.io/api/presentation/2#rightToLeftDirection	8da4492c-f1bb-4625-ad72-cb3fe3c22e31	0026	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81745	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81745/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88406/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
江戸大地しん大火場所附		災害	安政2年10月2日	かわら版		木版(墨一色)	36×51		01-027	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/1d4a87b7-00f5-4c3e-b7b8-a1712a194d54	http://iiif.io/api/presentation/2#rightToLeftDirection	1d4a87b7-00f5-4c3e-b7b8-a1712a194d54	0027	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81660	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81660/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88407/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
安政二乙卯歳十月二日夜ル四ツ時震始メ末代		災害	安政2年10月2日	かわら版		木版(墨一色)	39×52		01-028	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/9bcc55ea-0efd-46a4-8974-7dc96b39587f	http://iiif.io/api/presentation/2#rightToLeftDirection	9bcc55ea-0efd-46a4-8974-7dc96b39587f	0028	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81967	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81967/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88408/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
江戸大火の次第		災害	嘉永7年12月28日	かわら版		木版(墨一色)	36×62		01-029	石本コレクションI	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/7c973b07-ba3f-4a27-aaff-d810646ab684	http://iiif.io/api/presentation/2#rightToLeftDirection	7c973b07-ba3f-4a27-aaff-d810646ab684	0029	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81803	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81803/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88409/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
弘化四年丁未三月二十四日松代御領犀川筋地震(仮)		災害	弘化4年3月24日	かわら版		木版(墨一色)	59×64		01-030	石本コレクションI	1847	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/6829924b-15d0-4202-9b7c-01bbc312fa89	http://iiif.io/api/presentation/2#rightToLeftDirection	6829924b-15d0-4202-9b7c-01bbc312fa89	0030	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81619	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81619/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88410/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
関東類焼大地震		災害	安政2年10月2日	かわら版		木版(多色)	36×53		01-031	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/541c0118-893b-4c14-aa18-d465a4fc2ad2	http://iiif.io/api/presentation/2#rightToLeftDirection	541c0118-893b-4c14-aa18-d465a4fc2ad2	0031	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81567	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81567/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88411/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
安政二年十月二日江戸大地震大花場所鑒		災害	安政2年10月2日	かわら版		木版(墨一色)	36×50		01-032	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/0c9dc28f-4003-4820-ac40-b445c7ffcdcf	http://iiif.io/api/presentation/2#rightToLeftDirection	0c9dc28f-4003-4820-ac40-b445c7ffcdcf	0032	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81909	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81909/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88412/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
地震并津浪之説		災害	嘉永7年11月		断簡	木版(多色)	14×20		01-033	石本コレクションI	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/0cc30fa3-c885-45a1-9f8c-60fdf7484e3a	http://iiif.io/api/presentation/2#rightToLeftDirection	0cc30fa3-c885-45a1-9f8c-60fdf7484e3a	0033	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81946	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81946/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88413/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
善光寺地震関係(仮)		災害	弘化4年3月24日	かわら版		木版(墨一色)	21×54		01-034	石本コレクションI	1847	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/ef239d75-3399-4035-bec5-1793791b67d0	http://iiif.io/api/presentation/2#rightToLeftDirection	ef239d75-3399-4035-bec5-1793791b67d0	0034	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81781	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81781/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88414/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
津波(仮)		災害	嘉永7年		嘉永7年の津波[カ]、断簡	木版(多色)	14×20		01-035	石本コレクションI	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/adf85e23-8127-47c2-8a81-7b6753b69b3d	http://iiif.io/api/presentation/2#rightToLeftDirection	adf85e23-8127-47c2-8a81-7b6753b69b3d	0035	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81503	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81503/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88415/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
