タイトル	資料の解説	項目	年月日	分類	出版事項等	状態	縦×横（cm）	備考	冊数	サブコレクション	年	アイテムURL	viewingDirection	ID	ソート用項目	機械可読ドキュメント	ウェブサイトURL	IIIFマニフェストURI	帰属	コレクション	サムネイル	利用条件
村里時四郎 明烏花焼衣		災害	安政2年10月2日	鯰絵		木版(多色)	35×24.5		02-054	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/ece715e7-7773-412f-a946-37c9cd33d6d4	http://iiif.io/api/presentation/2#rightToLeftDirection	ece715e7-7773-412f-a946-37c9cd33d6d4	0101	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81711	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81711/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88481/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
鯰之讐討		災害	安政2年10月2日	鯰絵		木版(多色)	36×25		02-055	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/757801b6-502f-4faf-9fa0-fb9d9b8f989e	http://iiif.io/api/presentation/2#rightToLeftDirection	757801b6-502f-4faf-9fa0-fb9d9b8f989e	0102	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81851	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81851/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88482/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
地震よけの歌		災害	安政2年10月2日	鯰絵		木版(多色)	36×24		02-056	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/ecffabf5-624a-4fdb-9663-b65c38c5ada2	http://iiif.io/api/presentation/2#rightToLeftDirection	ecffabf5-624a-4fdb-9663-b65c38c5ada2	0103	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81571	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81571/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88483/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
まるやけ土ぞう荷		災害	安政2年10月2日	鯰絵		木版(多色)	36.5×24		02-057	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/85ffd9e6-1fe5-49be-8e82-4cc7b4dd8898	http://iiif.io/api/presentation/2#rightToLeftDirection	85ffd9e6-1fe5-49be-8e82-4cc7b4dd8898	0104	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81646	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81646/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88484/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
難義鳥		災害	安政2年10月2日	鯰絵		木版(多色)	36.5×26		02-058	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/f56f1bac-d20d-416a-abea-89b05fbd338c	http://iiif.io/api/presentation/2#rightToLeftDirection	f56f1bac-d20d-416a-abea-89b05fbd338c	0105	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81952	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81952/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88485/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
大津ぶれぶし		災害	安政2年10月2日	鯰絵		木版(多色)	35.5×25		02-059	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/2016d69f-b314-489f-aa15-88b7691bd018	http://iiif.io/api/presentation/2#rightToLeftDirection	2016d69f-b314-489f-aa15-88b7691bd018	0106	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81683	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81683/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88486/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
火用心		その他			錦絵、国芳画、版元は玉惣	木版(多色)	35.5×25		02-060	石本コレクションI		https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/e09943d6-2c71-4430-a4d1-e23c29385c37	http://iiif.io/api/presentation/2#rightToLeftDirection	e09943d6-2c71-4430-a4d1-e23c29385c37	0107	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81808	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81808/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88487/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
地震世相かるた/今にだんだん大層よくなるよ、世の中(仮)		災害	安政2年10月2日	鯰絵		木版(多色)	34×25		02-061	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/7dec37d1-65c7-456c-8653-75f77172fad4	http://iiif.io/api/presentation/2#rightToLeftDirection	7dec37d1-65c7-456c-8653-75f77172fad4	0108	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81671	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81671/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88488/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
持丸長者		災害	安政2年10月2日	鯰絵		木版(多色)	35.5×24		02-062	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/837cec6b-8d6a-42a0-9fe0-735b2de3ce41	http://iiif.io/api/presentation/2#rightToLeftDirection	837cec6b-8d6a-42a0-9fe0-735b2de3ce41	0109	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81688	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81688/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88489/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
鹿島要石真図		災害	安政2年10月2日	鯰絵		木版(多色)	36×25.5		02-063	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/f8d13bc3-ffa9-40fd-9901-96261932de81	http://iiif.io/api/presentation/2#rightToLeftDirection	f8d13bc3-ffa9-40fd-9901-96261932de81	0110	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81954	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81954/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88490/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
三職よろこび餅		災害	安政2年10月2日	鯰絵	金堂筆	木版(多色)	35.5×24	02-113	02-064	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/8ab164f5-2870-42c9-8cfa-8895e95ecfa0	http://iiif.io/api/presentation/2#rightToLeftDirection	8ab164f5-2870-42c9-8cfa-8895e95ecfa0	0111	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81891	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81891/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88491/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
泉州堺津波之絵図		災害	嘉永7年11月5日	かわら版		木版(多色)	24.5×37		02-065	石本コレクションI	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/7a473477-cba2-4ca5-abde-d20b0e2d0382	http://iiif.io/api/presentation/2#rightToLeftDirection	7a473477-cba2-4ca5-abde-d20b0e2d0382	0112	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81950	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81950/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88492/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
嘉永七年寅霜月 大坂大地震(仮)		災害	嘉永7年11月4日	かわら版	大坂	木版(多色)	35.5×48.5		02-066	石本コレクションI	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/77023529-468b-4c2c-a4e7-a8b369351901	http://iiif.io/api/presentation/2#rightToLeftDirection	77023529-468b-4c2c-a4e7-a8b369351901	0113	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81936	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81936/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88493/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
嘉永七年之寅ノ六月十四日大地震ニ付て		災害	嘉永7年6月14日	かわら版		木版(多色)	18.5×24		02-067	石本コレクションI	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/a1d3a383-b4f5-40ce-8ee6-72b37abe06c4	http://iiif.io/api/presentation/2#rightToLeftDirection	a1d3a383-b4f5-40ce-8ee6-72b37abe06c4	0114	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81516	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81516/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88494/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
本しらべ諸国大地しん大つなミ		災害	嘉永7年11月14日	かわら版		木版(多色)	16.5×24.5		02-068	石本コレクションI	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/3a65fb36-8f88-44b2-9ee6-bef3cb0d5e25	http://iiif.io/api/presentation/2#rightToLeftDirection	3a65fb36-8f88-44b2-9ee6-bef3cb0d5e25	0115	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81655	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81655/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88495/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
十一月五日の夜大津波来ル前 大坂前垂嶋に出る怪異の図(仮)		災害	嘉永7年	かわら版	次の70番と組	木版(墨一色)	35.5×24.5		02-069	石本コレクションI	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/a0d8e59f-dc62-48e1-8382-6df91600aa42	http://iiif.io/api/presentation/2#rightToLeftDirection	a0d8e59f-dc62-48e1-8382-6df91600aa42	0116	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81583	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81583/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88496/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
大坂川口新田之図		災害	嘉永7年11月5日	かわら版	前の69番と組	木版(墨一色)	35.5×24.5		02-070	石本コレクションI	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/5d3242b2-3327-4b22-b9e9-20233f385275	http://iiif.io/api/presentation/2#rightToLeftDirection	5d3242b2-3327-4b22-b9e9-20233f385275	0117	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81890	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81890/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88497/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
安政二乙卯歳十月二日夜ル四ツ時震始メ末代		災害	安政2年10月2日	かわら版		木版(多色)	37.5×51		02-071	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/7a6fbfe3-c1f2-4a71-b278-fea72c06f5c5	http://iiif.io/api/presentation/2#rightToLeftDirection	7a6fbfe3-c1f2-4a71-b278-fea72c06f5c5	0118	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81786	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81786/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88498/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
東海道大地震津浪出火次第		災害	嘉永7年11月4日	かわら版		木版(墨一色)	24.5×33		02-072	石本コレクションI	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/c3fef76f-5ad5-4c56-a22b-0830240c0e5a	http://iiif.io/api/presentation/2#rightToLeftDirection	c3fef76f-5ad5-4c56-a22b-0830240c0e5a	0119	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81723	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81723/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88499/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
上京火災町家雑具損亡考記		災害	嘉永7年4月6日	かわら版	印あり(笠にス)	木版(墨一色)	27.5×40		02-073	石本コレクションI	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/8747d4c3-1bbf-4ec9-a1d3-e7a067db26f4	http://iiif.io/api/presentation/2#rightToLeftDirection	8747d4c3-1bbf-4ec9-a1d3-e7a067db26f4	0120	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81778	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81778/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88500/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
江戸東海道東国荒珍事図		災害	安政3年8月	かわら版			×		02-074	石本コレクションI	1856	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/d314602a-5ad4-4f09-a3f7-d08c39936f78	http://iiif.io/api/presentation/2#rightToLeftDirection	d314602a-5ad4-4f09-a3f7-d08c39936f78	0121	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81579	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81579/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88501/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
諸国大阪大地震大津波細見一覧		災害	嘉永7年11月4日	かわら版		木版(多色)	37.5×50.5		02-075	石本コレクションI	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/cd9e9fe9-ea86-4bb9-841c-ca3b72671efb	http://iiif.io/api/presentation/2#rightToLeftDirection	cd9e9fe9-ea86-4bb9-841c-ca3b72671efb	0122	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81940	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81940/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88502/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
大阪大地震一覧		災害	嘉永7年6月	かわら版		木版(墨一色)	37.5×50.5	嘉永7年の地震・津波	02-076	石本コレクションI	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/b7bcabd9-1897-44b8-aabf-282d6baa505c	http://iiif.io/api/presentation/2#rightToLeftDirection	b7bcabd9-1897-44b8-aabf-282d6baa505c	0123	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81643	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81643/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88503/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
嘉永七甲寅年中珍事咄		災害	嘉永7年	かわら版		木版(墨一色)	35.5×46.5	8代目団十郎自殺など	02-077	石本コレクションI	1854	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/a024faf7-609c-4d22-9756-0413736ccee9	http://iiif.io/api/presentation/2#rightToLeftDirection	a024faf7-609c-4d22-9756-0413736ccee9	0124	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81938	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81938/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88504/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
東都珍事実録咄		災害	安政2年10月2日	かわら版		木版(多色)	37.5×50.5		02-078	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/9b34cf38-69b7-46d9-b628-7b0fb8e5f9c4	http://iiif.io/api/presentation/2#rightToLeftDirection	9b34cf38-69b7-46d9-b628-7b0fb8e5f9c4	0125	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81743	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81743/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88505/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
江戸大地震出火次第		災害	安政2年10月2日	かわら版			33×46		02-079	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/4cd87d6b-9f2f-4ac0-9f7a-8944be1b0ced	http://iiif.io/api/presentation/2#rightToLeftDirection	4cd87d6b-9f2f-4ac0-9f7a-8944be1b0ced	0126	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81714	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81714/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88506/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
鯰の子回し(仮)		災害	安政2年10月2日	鯰絵		木版(多色)	36.5×25.5	未見	02-080	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/470e2cb8-590f-44f0-afa2-229fe8a77852	http://iiif.io/api/presentation/2#rightToLeftDirection	470e2cb8-590f-44f0-afa2-229fe8a77852	0127	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81649	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81649/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88507/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
地震小咄(仮)/金貸しと鯰・鹿島大明神と鯰・芸人と鯰・職人と鯰		災害	安政2年10月2日	鯰絵		木版(多色)	35.5×24.5		02-081	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/92bf585c-9102-4a0a-a299-cae19e0fd987	http://iiif.io/api/presentation/2#rightToLeftDirection	92bf585c-9102-4a0a-a299-cae19e0fd987	0128	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81563	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81563/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88508/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
鹿島恐		災害	安政2年10月2日	鯰絵		木版(多色)	37×25.5		02-082	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/dfb28809-fb3f-408a-98f2-7d04d975a04c	http://iiif.io/api/presentation/2#rightToLeftDirection	dfb28809-fb3f-408a-98f2-7d04d975a04c	0129	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81630	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81630/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88509/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
ゑんまの子		災害	安政2年10月2日	鯰絵			36.5×24		02-083	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/e988b5db-3f06-416c-b039-adb5b09a02ad	http://iiif.io/api/presentation/2#rightToLeftDirection	e988b5db-3f06-416c-b039-adb5b09a02ad	0130	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81757	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81757/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88510/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
治る御代ひやかし鯰		災害	安政2年10月2日	鯰絵			36.5×24.5		02-084	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/572489c8-5572-4c5f-a08c-8743df6b3515	http://iiif.io/api/presentation/2#rightToLeftDirection	572489c8-5572-4c5f-a08c-8743df6b3515	0131	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81868	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81868/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88511/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
即席鯰はなし		災害	安政2年10月2日	鯰絵		木版(多色)	36×25		02-085	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/59907262-8b71-41f0-96ff-005d4b7ecf4f	http://iiif.io/api/presentation/2#rightToLeftDirection	59907262-8b71-41f0-96ff-005d4b7ecf4f	0132	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81889	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81889/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88512/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
面白くあつまる人が寄たかり(仮)		災害	安政2年10月2日	鯰絵		木版(多色)	36.5×25		02-086	石本コレクションI	1855	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/735f5106-b562-462a-a8fb-f791ed5ba3cf	http://iiif.io/api/presentation/2#rightToLeftDirection	735f5106-b562-462a-a8fb-f791ed5ba3cf	0133	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81783	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81783/manifest	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	石本コレクション	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88513/full/200,151/0/default.jpg	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse
