タイトル,資料番号,サブコレクション,内容分類,資料分類,年月日,印刷分類,出版事項等,縦×横（cm）,別タイトル,備考,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,コレクション,IIIFマニフェストURI,ソート用項目,西暦,# of media
dcterms:title,dcterms:identifier,bibo:volume,dcterms:subject,dcterms:type,dcterms:date,dcterms:format,dcterms:publisher,dcterms:extent,dcterms:alternative,archiveshub:note,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,uterms:databaseLabel,uterms:manifestUri,uterms:sort,uterms:year,772
鹿島恐,I-02-082,石本コレクションI,災害,鯰絵,安政2年10月2日,木版(多色),,37×25.5,,,dfb28809-fb3f-408a-98f2-7d04d975a04c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/dfb28809-fb3f-408a-98f2-7d04d975a04c,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88509/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81630,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dfb28809-fb3f-408a-98f2-7d04d975a04c/manifest,0129,1855,1
ゑんまの子,I-02-083,石本コレクションI,災害,鯰絵,安政2年10月2日,,,36.5×24,,,e988b5db-3f06-416c-b039-adb5b09a02ad,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/e988b5db-3f06-416c-b039-adb5b09a02ad,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88510/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81757,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e988b5db-3f06-416c-b039-adb5b09a02ad/manifest,0130,1855,1
治る御代ひやかし鯰,I-02-084,石本コレクションI,災害,鯰絵,安政2年10月2日,,,36.5×24.5,,同資料:II-02-013,572489c8-5572-4c5f-a08c-8743df6b3515,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/572489c8-5572-4c5f-a08c-8743df6b3515,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88511/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81868,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/572489c8-5572-4c5f-a08c-8743df6b3515/manifest,0131,1855,1
即席鯰はなし,I-02-085,石本コレクションI,災害,鯰絵,安政2年10月2日,木版(多色),,36×25,,,59907262-8b71-41f0-96ff-005d4b7ecf4f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/59907262-8b71-41f0-96ff-005d4b7ecf4f,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88512/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81889,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/59907262-8b71-41f0-96ff-005d4b7ecf4f/manifest,0132,1855,1
[面白くあつまる人が寄たかり],I-02-086,石本コレクションI,災害,鯰絵,安政2年10月2日,木版(多色),,36.5×25,,,735f5106-b562-462a-a8fb-f791ed5ba3cf,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/735f5106-b562-462a-a8fb-f791ed5ba3cf,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88513/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81783,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/735f5106-b562-462a-a8fb-f791ed5ba3cf/manifest,0133,1855,1
振出し鯰薬,I-02-087,石本コレクションI,災害,鯰絵,安政2年10月2日,木版(多色),,36.5×25,,同資料:I-02-041|I-02-087の方が状態が良い,ef709343-a426-4765-a047-3de79a7bc000,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/ef709343-a426-4765-a047-3de79a7bc000,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88514/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81682,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ef709343-a426-4765-a047-3de79a7bc000/manifest,0134,1855,1
老まづ,I-02-088,石本コレクションI,災害,鯰絵,安政2年10月2日,木版(多色),,36.5×25,おなまづ,,e6d7621f-85be-43ca-82c9-73cc796655c7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/e6d7621f-85be-43ca-82c9-73cc796655c7,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88515/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81859,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e6d7621f-85be-43ca-82c9-73cc796655c7/manifest,0135,1855,1
差出し申御詫一札之事,I-02-089,石本コレクションI,災害,鯰絵,安政2年10月2日,木版(多色),,36.5×25,,,d9a5a114-2ca6-40f3-99ea-3148f2415e45,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/d9a5a114-2ca6-40f3-99ea-3148f2415e45,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88516/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81661,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d9a5a114-2ca6-40f3-99ea-3148f2415e45/manifest,0136,1855,1
[鯰に金銀を吐かされる持丸],I-02-090,石本コレクションI,災害,鯰絵,安政2年10月2日,,,37×25,,,3b1ebed2-ad63-4f25-bafa-ec6e01b837a4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/3b1ebed2-ad63-4f25-bafa-ec6e01b837a4,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88517/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81529,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3b1ebed2-ad63-4f25-bafa-ec6e01b837a4/manifest,0137,1855,1
流行たこくらべ,I-02-091,石本コレクションI,その他,役職名鑑,,木版(多色),国芳画、双印,32.5×24,,,57f3766e-7f9c-4ec7-b9b5-a8a13f0292bb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/57f3766e-7f9c-4ec7-b9b5-a8a13f0292bb,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88518/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81904,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/57f3766e-7f9c-4ec7-b9b5-a8a13f0292bb/manifest,0138,,1
