タイトル,資料番号,サブコレクション,内容分類,資料分類,年月日,印刷分類,出版事項等,縦×横（cm）,別タイトル,備考,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,コレクション,IIIFマニフェストURI,ソート用項目,西暦,# of media
dcterms:title,dcterms:identifier,bibo:volume,dcterms:subject,dcterms:type,dcterms:date,dcterms:format,dcterms:publisher,dcterms:extent,dcterms:alternative,archiveshub:note,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,uterms:databaseLabel,uterms:manifestUri,uterms:sort,uterms:year,772
早飛脚廻りにてくわしき所本しらべ大地震,I-01-001,石本コレクションI,災害,かわら版,嘉永7年6月4日,木版(多色),,35×49,,,2677072b-e4ee-4486-9132-8e3ca0ff918b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/2677072b-e4ee-4486-9132-8e3ca0ff918b,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88381/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81897,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2677072b-e4ee-4486-9132-8e3ca0ff918b/manifest,0001,1854,1
江戸大地震,I-01-002,石本コレクションI,災害,かわら版,安政2年10月2日,木版(墨一色),,45×67,,,d48c5ddf-11b3-44c7-90bb-63dd629d424d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/d48c5ddf-11b3-44c7-90bb-63dd629d424d,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88382/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81888,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d48c5ddf-11b3-44c7-90bb-63dd629d424d/manifest,0002,1855,1
関東大地震并處々出火細見,I-01-003,石本コレクションI,災害,かわら版,安政2年10月2日,木版(墨一色),,55.5×71.5,,,9b72b0d4-19d7-44f0-9c49-880d19ee1ba7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/9b72b0d4-19d7-44f0-9c49-880d19ee1ba7,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88383/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81895,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9b72b0d4-19d7-44f0-9c49-880d19ee1ba7/manifest,0003,1855,1
聞書諸国大地震并出火,I-01-004,石本コレクションI,災害,かわら版,嘉永7年6月14日,木版(墨一色),,32×41.5,,,b5a79fc7-205a-4bd5-ac4c-8d8ecb3dacee,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/b5a79fc7-205a-4bd5-ac4c-8d8ecb3dacee,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88384/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81865,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b5a79fc7-205a-4bd5-ac4c-8d8ecb3dacee/manifest,0004,1854,1
江戸大地しんの図,I-01-005,石本コレクションI,災害,かわら版,安政2年10月2日,木版(多色),,29.5×39,,,38b5238a-5527-4a46-bfd7-fa93a54b0064,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/38b5238a-5527-4a46-bfd7-fa93a54b0064,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88385/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81953,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/38b5238a-5527-4a46-bfd7-fa93a54b0064/manifest,0005,1855,1
東北海岸の海嘯,I-01-006,石本コレクションI,災害,かわら版,明治29年6月23日,木版(多色),発行人 本郷区丸山新町34 原田音十郎,24×66,,,9dde6b75-31fb-41b9-97d2-96170743a23c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/9dde6b75-31fb-41b9-97d2-96170743a23c,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88386/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81949,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9dde6b75-31fb-41b9-97d2-96170743a23c/manifest,0006,1896,1
江戸大地震出火場所附,I-01-007,石本コレクションI,災害,かわら版,安政2年10月2日,木版(墨一色),,35×43.5,,同資料:I-01-036|被害絵図・情報・お救いなど,8c503b43-1239-4247-b4a3-b0da5e89ca93,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/8c503b43-1239-4247-b4a3-b0da5e89ca93,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88387/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81761,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8c503b43-1239-4247-b4a3-b0da5e89ca93/manifest,0007,1855,2
諸国大地震之図,I-01-008,石本コレクションI,災害,かわら版,嘉永7年11月4日,木版(墨一色),,48×72,,,f918966f-69f1-48e4-a4b7-170bf9f52af1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/f918966f-69f1-48e4-a4b7-170bf9f52af1,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88388/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81527,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f918966f-69f1-48e4-a4b7-170bf9f52af1/manifest,0008,1854,1
関東江戸大地震并大火方角場所附,I-01-009,石本コレクションI,災害,かわら版,安政2年10月2日,木版(多色),,35.5×50,,同資料:I-01-025,d51d2544-51cd-4df1-9e05-d82831e3114c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/d51d2544-51cd-4df1-9e05-d82831e3114c,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88389/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81969,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d51d2544-51cd-4df1-9e05-d82831e3114c/manifest,0009,1855,1
安政五年午十一月十五日江戸大火細見図,I-01-010,石本コレクションI,災害,かわら版,安政5年11月5日,木版(多色),,36.5×49,,合羽摺,2f054b0b-a723-455c-94cf-bb70ee637c14,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/2f054b0b-a723-455c-94cf-bb70ee637c14,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88390/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81846,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2f054b0b-a723-455c-94cf-bb70ee637c14/manifest,0010,1858,1
東海道大阪辺大地震津波図,I-01-011,石本コレクションI,災害,かわら版,嘉永7年11月4日,木版(墨一色),,33×46,東海道大地震津波,附紙:東海道大地震津波(1枚),f91dd0d0-4a87-4a40-b3ec-80483a5dd7df,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/f91dd0d0-4a87-4a40-b3ec-80483a5dd7df,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88391/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81867,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f91dd0d0-4a87-4a40-b3ec-80483a5dd7df/manifest,0011,1854,1
大地震大津波末代噺 二編,I-01-012,石本コレクションI,災害,かわら版,嘉永7年11月4日,木版(多色),,33×47,,,9a9823ba-ce05-4bb6-984f-63486174bf77,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/9a9823ba-ce05-4bb6-984f-63486174bf77,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88392/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81542,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9a9823ba-ce05-4bb6-984f-63486174bf77/manifest,0012,1854,1
ゆるがぬ御代要之石寿栄,I-01-013,石本コレクションI,災害,かわら版,安政2年10月2日,木版(多色),,30×90,,同資料:II-03-009,1bcc61fa-8744-4cdd-bbd9-bf16d792288d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/1bcc61fa-8744-4cdd-bbd9-bf16d792288d,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88393/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81704,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1bcc61fa-8744-4cdd-bbd9-bf16d792288d/manifest,0013,1855,1
落涙山非常明王,I-01-014,石本コレクションI,災害,かわら版,安政2年10月2日,木版(墨一色),,34.5×46,,,0f2bf383-deb5-422f-a21a-7e8b55406ac0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/0f2bf383-deb5-422f-a21a-7e8b55406ac0,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88394/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81956,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0f2bf383-deb5-422f-a21a-7e8b55406ac0/manifest,0014,1855,1
新吉原仮宅便覧,I-01-015,石本コレクションI,名所案内,引札,,木版(多色),作者:玄魚、版元:玉屋山三郎,35×50,,,224afa9b-8df1-4483-ae1e-c51e7e97389b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/224afa9b-8df1-4483-ae1e-c51e7e97389b,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88395/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81720,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/224afa9b-8df1-4483-ae1e-c51e7e97389b/manifest,0015,,1
江戸地震類焼場所図,I-01-016,石本コレクションI,災害,かわら版,安政2年10月2日,木版(多色),,37×51,,,1afeabff-a6ab-4e7b-a1f7-d58cda7668c3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/1afeabff-a6ab-4e7b-a1f7-d58cda7668c3,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88396/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81625,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1afeabff-a6ab-4e7b-a1f7-d58cda7668c3/manifest,0016,1855,1
焼場方角附,I-01-017,石本コレクションI,災害,かわら版,安政5年10月2日,木版(多色),,35×48,,,df76465c-ca2d-4dc5-9fb9-f886512b64f4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/df76465c-ca2d-4dc5-9fb9-f886512b64f4,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88397/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81788,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/df76465c-ca2d-4dc5-9fb9-f886512b64f4/manifest,0017,1858,1
[大坂つなみ],I-01-018,石本コレクションI,災害,かわら版,嘉永7年11月4日,木版(墨一色),,50×40,,,49f4152c-427e-4125-8cbb-b848ff2c6f82,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/49f4152c-427e-4125-8cbb-b848ff2c6f82,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88398/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81915,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/49f4152c-427e-4125-8cbb-b848ff2c6f82/manifest,0018,1854,1
地震出火御救小屋施行名前附,I-01-019,石本コレクションI,災害,かわら版,安政2年10月2日,木版(墨一色),,35×55,,,faf6b999-a4eb-42b2-a362-5e9186906b88,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/faf6b999-a4eb-42b2-a362-5e9186906b88,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88399/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81893,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/faf6b999-a4eb-42b2-a362-5e9186906b88/manifest,0019,1855,1
江戸大地震場所附,I-01-020,石本コレクションI,災害,かわら版,安政2年10月2日,木版(墨一色),,35×48,,,d610d14e-1e33-4a20-9fb2-6de9e4e8a4ed,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/d610d14e-1e33-4a20-9fb2-6de9e4e8a4ed,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88400/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81918,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d610d14e-1e33-4a20-9fb2-6de9e4e8a4ed/manifest,0020,1855,1
相模国大地震,I-01-021,石本コレクションI,災害,かわら版,嘉永6年2月2日,木版(墨一色),,35×43,,,e73dfd03-5d92-42cb-a92d-f0c44060697a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/e73dfd03-5d92-42cb-a92d-f0c44060697a,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88401/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81780,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e73dfd03-5d92-42cb-a92d-f0c44060697a/manifest,0021,1853,1
古今奇事一覧,I-01-022,石本コレクションI,その他,番付,嘉永1年,木版(墨一色),,45×35,,,c04107fb-0dbd-453f-8536-3bee4635faac,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/c04107fb-0dbd-453f-8536-3bee4635faac,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88402/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81504,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c04107fb-0dbd-453f-8536-3bee4635faac/manifest,0022,1848,1
江戸大地震出火場所分,I-01-023,石本コレクションI,災害,かわら版,安政2年10月2日,木版(墨一色),,34×94,,,c753f3d3-8720-4298-a542-adba077b34a6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/c753f3d3-8720-4298-a542-adba077b34a6,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88403/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81760,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c753f3d3-8720-4298-a542-adba077b34a6/manifest,0023,1855,3
遠江駿河甲斐伊豆相模武蔵大地震之図,I-01-024,石本コレクションI,災害,,嘉永7年11月4日,木版(墨一色),,33×71,,,c0d2ef14-8f8d-4a0f-9e2e-8836cda17468,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/c0d2ef14-8f8d-4a0f-9e2e-8836cda17468,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88404/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81776,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c0d2ef14-8f8d-4a0f-9e2e-8836cda17468/manifest,0024,1854,1
関東江戸大地震并大火方角場所附,I-01-025,石本コレクションI,災害,かわら版,安政2年10月2日,木版(墨一色),,36×49,,同資料:I-01-09,48860ba6-42a7-4072-a6c5-557307f65d5e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/48860ba6-42a7-4072-a6c5-557307f65d5e,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88405/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81871,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/48860ba6-42a7-4072-a6c5-557307f65d5e/manifest,0025,1855,1
[江戸地震方角図],I-01-026,石本コレクションI,災害,かわら版,安政2年10月2日,木版(墨一色),,36.5×49,,同資料:I-05-018,8da4492c-f1bb-4625-ad72-cb3fe3c22e31,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/8da4492c-f1bb-4625-ad72-cb3fe3c22e31,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88406/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81745,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8da4492c-f1bb-4625-ad72-cb3fe3c22e31/manifest,0026,1855,1
江戸大地しん大火場所附,I-01-027,石本コレクションI,災害,かわら版,安政2年10月2日,木版(墨一色),,36×51,,,1d4a87b7-00f5-4c3e-b7b8-a1712a194d54,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/1d4a87b7-00f5-4c3e-b7b8-a1712a194d54,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88407/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81660,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1d4a87b7-00f5-4c3e-b7b8-a1712a194d54/manifest,0027,1855,1
安政二乙卯歳十月二日夜ル四ツ時震始メ末代,I-01-028,石本コレクションI,災害,かわら版,安政2年10月2日,木版(墨一色),,39×52,,,9bcc55ea-0efd-46a4-8974-7dc96b39587f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/9bcc55ea-0efd-46a4-8974-7dc96b39587f,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88408/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81967,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9bcc55ea-0efd-46a4-8974-7dc96b39587f/manifest,0028,1855,1
江戸大火の次第,I-01-029,石本コレクションI,災害,かわら版,嘉永7年12月28日,木版(墨一色),,36×62,,,7c973b07-ba3f-4a27-aaff-d810646ab684,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/7c973b07-ba3f-4a27-aaff-d810646ab684,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88409/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81803,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7c973b07-ba3f-4a27-aaff-d810646ab684/manifest,0029,1854,1
[弘化四年丁未三月二十四日松代御領犀川筋地震],I-01-030,石本コレクションI,災害,かわら版,弘化4年3月24日,木版(墨一色),,59×64,,,6829924b-15d0-4202-9b7c-01bbc312fa89,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/ishimoto/document/6829924b-15d0-4202-9b7c-01bbc312fa89,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88410/full/200,151/0/default.jpg",https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/81619,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,石本コレクション,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6829924b-15d0-4202-9b7c-01bbc312fa89/manifest,0030,1847,1
