本草綱目 52巻序目1巻圖3巻 (存54巻) ; 第27-28卷,"本草綱目 52巻序目1巻圖3巻 (存54巻) / (明) 李時珍編輯 ; (明) 錢蔚起較訂 ; 序目 - 圖卷中. -- [出版者不明], [寛文年間]. -- 40冊 ; 22.9×16.7cm.",A2:6,3002920985,,,,,,駒場図書館,006240,,ホンゾウ コウモク,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d25ce664-936c-350d-29fd-74cc1fd54adf.json,d25ce664-936c-350d-29fd-74cc1fd54adf,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/d25ce664-936c-350d-29fd-74cc1fd54adf,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/30e617a0c21f7354af26f740d92b251d6f22c42c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/683981,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d25ce664-936c-350d-29fd-74cc1fd54adf/manifest,,,,,86
本草綱目 52巻序目1巻圖3巻 (存54巻) ; 第29-30卷,"本草綱目 52巻序目1巻圖3巻 (存54巻) / (明) 李時珍編輯 ; (明) 錢蔚起較訂 ; 序目 - 圖卷中. -- [出版者不明], [寛文年間]. -- 40冊 ; 22.9×16.7cm.",A2:6,3002920993,,,,,,駒場図書館,006250,,ホンゾウ コウモク,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/644e4a24-6d16-654e-5831-7a5bc149846d.json,644e4a24-6d16-654e-5831-7a5bc149846d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/644e4a24-6d16-654e-5831-7a5bc149846d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/81ef87ec7841db8f1d9496686c5497574b6d4c60.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/683980,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/644e4a24-6d16-654e-5831-7a5bc149846d/manifest,,,,,100
本草綱目 52巻序目1巻圖3巻 (存54巻) ; 第31-33卷,"本草綱目 52巻序目1巻圖3巻 (存54巻) / (明) 李時珍編輯 ; (明) 錢蔚起較訂 ; 序目 - 圖卷中. -- [出版者不明], [寛文年間]. -- 40冊 ; 22.9×16.7cm.",A2:6,3002921009,,,,,,駒場図書館,006260,,ホンゾウ コウモク,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6360f206-94d9-24f2-7825-a90071c30cd5.json,6360f206-94d9-24f2-7825-a90071c30cd5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/6360f206-94d9-24f2-7825-a90071c30cd5,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fde1d36aec8701a41d5e1fa38316856c9f283128.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/683979,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6360f206-94d9-24f2-7825-a90071c30cd5/manifest,,,,,101
本草綱目 52巻序目1巻圖3巻 (存54巻) ; 第34卷,"本草綱目 52巻序目1巻圖3巻 (存54巻) / (明) 李時珍編輯 ; (明) 錢蔚起較訂 ; 序目 - 圖卷中. -- [出版者不明], [寛文年間]. -- 40冊 ; 22.9×16.7cm.",A2:6,3002921017,,,,,,駒場図書館,006270,,ホンゾウ コウモク,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d28f0d57-7bcc-0905-8304-c0fd65000e58.json,d28f0d57-7bcc-0905-8304-c0fd65000e58,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/d28f0d57-7bcc-0905-8304-c0fd65000e58,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e679eccabd5e983985c7c60976dc7174c2eeb5e8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/683978,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d28f0d57-7bcc-0905-8304-c0fd65000e58/manifest,,,,,71
本草綱目 52巻序目1巻圖3巻 (存54巻) ; 第35卷上-下,"本草綱目 52巻序目1巻圖3巻 (存54巻) / (明) 李時珍編輯 ; (明) 錢蔚起較訂 ; 序目 - 圖卷中. -- [出版者不明], [寛文年間]. -- 40冊 ; 22.9×16.7cm.",A2:6,3002921025,,,,,,駒場図書館,006280,,ホンゾウ コウモク,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ba3f6587-1557-6698-2bfb-4298fe03794d.json,ba3f6587-1557-6698-2bfb-4298fe03794d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/ba3f6587-1557-6698-2bfb-4298fe03794d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b78ac61bfe0c42b4a5ff4b8c046766d77eccc07b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/683977,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ba3f6587-1557-6698-2bfb-4298fe03794d/manifest,,,,,94
本草綱目 52巻序目1巻圖3巻 (存54巻) ; 第36-37卷,"本草綱目 52巻序目1巻圖3巻 (存54巻) / (明) 李時珍編輯 ; (明) 錢蔚起較訂 ; 序目 - 圖卷中. -- [出版者不明], [寛文年間]. -- 40冊 ; 22.9×16.7cm.",A2:6,3002921033,,,,,,駒場図書館,006290,,ホンゾウ コウモク,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bdd09726-34d4-a440-63ce-a3fe7be56e0e.json,bdd09726-34d4-a440-63ce-a3fe7be56e0e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/bdd09726-34d4-a440-63ce-a3fe7be56e0e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e1a194bc2f8fa35e559f937b01415d8c904c2f7c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/683976,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bdd09726-34d4-a440-63ce-a3fe7be56e0e/manifest,,,,,113
本草綱目 52巻序目1巻圖3巻 (存54巻) ; 第38-39卷,"本草綱目 52巻序目1巻圖3巻 (存54巻) / (明) 李時珍編輯 ; (明) 錢蔚起較訂 ; 序目 - 圖卷中. -- [出版者不明], [寛文年間]. -- 40冊 ; 22.9×16.7cm.",A2:6,3002921041,,,,,,駒場図書館,006300,,ホンゾウ コウモク,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4df942ed-8e42-1867-80c3-f9963687496b.json,4df942ed-8e42-1867-80c3-f9963687496b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/4df942ed-8e42-1867-80c3-f9963687496b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/66c206a9ba94348c833d8f87deb5e8c2b1d3e3ad.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/683975,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4df942ed-8e42-1867-80c3-f9963687496b/manifest,,,,,83
本草綱目 52巻序目1巻圖3巻 (存54巻) ; 第40-42卷,"本草綱目 52巻序目1巻圖3巻 (存54巻) / (明) 李時珍編輯 ; (明) 錢蔚起較訂 ; 序目 - 圖卷中. -- [出版者不明], [寛文年間]. -- 40冊 ; 22.9×16.7cm.",A2:6,3002921058,,,,,,駒場図書館,006310,,ホンゾウ コウモク,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/64be7815-3d02-867c-a264-e9e5a1006011.json,64be7815-3d02-867c-a264-e9e5a1006011,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/64be7815-3d02-867c-a264-e9e5a1006011,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7e34ff99d422bf325a2d3b9ed4084eb704baad5b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/683974,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/64be7815-3d02-867c-a264-e9e5a1006011/manifest,,,,,98
本草綱目 52巻序目1巻圖3巻 (存54巻) ; 第43-44卷,"本草綱目 52巻序目1巻圖3巻 (存54巻) / (明) 李時珍編輯 ; (明) 錢蔚起較訂 ; 序目 - 圖卷中. -- [出版者不明], [寛文年間]. -- 40冊 ; 22.9×16.7cm.",A2:6,3002921066,,,,,,駒場図書館,006320,,ホンゾウ コウモク,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/00bd4180-0a03-31b1-63f2-e0677a210862.json,00bd4180-0a03-31b1-63f2-e0677a210862,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/00bd4180-0a03-31b1-63f2-e0677a210862,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5a5763abd554f86688edc148ef2ccf925a191424.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/683973,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/00bd4180-0a03-31b1-63f2-e0677a210862/manifest,,,,,103
本草綱目 52巻序目1巻圖3巻 (存54巻) ; 第45-47卷,"本草綱目 52巻序目1巻圖3巻 (存54巻) / (明) 李時珍編輯 ; (明) 錢蔚起較訂 ; 序目 - 圖卷中. -- [出版者不明], [寛文年間]. -- 40冊 ; 22.9×16.7cm.",A2:6,3002921074,,,,,,駒場図書館,006330,,ホンゾウ コウモク,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ba13f0b8-48ab-a1b3-00f7-49c8f47e5b94.json,ba13f0b8-48ab-a1b3-00f7-49c8f47e5b94,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/ba13f0b8-48ab-a1b3-00f7-49c8f47e5b94,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0a8d3e13d28a29ed0cd0b97b2ee1fb71937905bb.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/683972,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ba13f0b8-48ab-a1b3-00f7-49c8f47e5b94/manifest,,,,,86
本草綱目 52巻序目1巻圖3巻 (存54巻) ; 第48-49卷,"本草綱目 52巻序目1巻圖3巻 (存54巻) / (明) 李時珍編輯 ; (明) 錢蔚起較訂 ; 序目 - 圖卷中. -- [出版者不明], [寛文年間]. -- 40冊 ; 22.9×16.7cm.",A2:6,3002921082,,,,,,駒場図書館,006340,,ホンゾウ コウモク,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6192738e-6312-9642-55a0-ccf169bf088c.json,6192738e-6312-9642-55a0-ccf169bf088c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/6192738e-6312-9642-55a0-ccf169bf088c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a8e8468396b6005596b57ae4e8ad3e31585e419e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/683971,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6192738e-6312-9642-55a0-ccf169bf088c/manifest,,,,,84
本草綱目 52巻序目1巻圖3巻 (存54巻) ; 第50卷上-下,"本草綱目 52巻序目1巻圖3巻 (存54巻) / (明) 李時珍編輯 ; (明) 錢蔚起較訂 ; 序目 - 圖卷中. -- [出版者不明], [寛文年間]. -- 40冊 ; 22.9×16.7cm.",A2:6,3002921090,,,,,,駒場図書館,006350,,ホンゾウ コウモク,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a8f6aa90-880d-6cfc-51f9-39d60b6f5dd0.json,a8f6aa90-880d-6cfc-51f9-39d60b6f5dd0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/a8f6aa90-880d-6cfc-51f9-39d60b6f5dd0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/baeac8814f67c4c61fee7f4a5aaa06f36b26a064.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/683970,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a8f6aa90-880d-6cfc-51f9-39d60b6f5dd0/manifest,,,,,106
本草綱目 52巻序目1巻圖3巻 (存54巻) ; 第51卷上-下,"本草綱目 52巻序目1巻圖3巻 (存54巻) / (明) 李時珍編輯 ; (明) 錢蔚起較訂 ; 序目 - 圖卷中. -- [出版者不明], [寛文年間]. -- 40冊 ; 22.9×16.7cm.",A2:6,3002921108,,,,,,駒場図書館,006360,,ホンゾウ コウモク,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/44a4fe5d-1bed-55da-0bae-c4e3c8820659.json,44a4fe5d-1bed-55da-0bae-c4e3c8820659,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/44a4fe5d-1bed-55da-0bae-c4e3c8820659,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3378536debeb29cfe8fc59ea683da8aaf765aa62.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/683969,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/44a4fe5d-1bed-55da-0bae-c4e3c8820659/manifest,,,,,104
本草綱目 52巻序目1巻圖3巻 (存54巻) ; 第52卷,"本草綱目 52巻序目1巻圖3巻 (存54巻) / (明) 李時珍編輯 ; (明) 錢蔚起較訂 ; 序目 - 圖卷中. -- [出版者不明], [寛文年間]. -- 40冊 ; 22.9×16.7cm.",A2:6,3002921116,,,,,,駒場図書館,006370,,ホンゾウ コウモク,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/51a92c5c-8d11-5440-a6a9-967bfdea0d90.json,51a92c5c-8d11-5440-a6a9-967bfdea0d90,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/51a92c5c-8d11-5440-a6a9-967bfdea0d90,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/41ef20add5e7701ba372925ff1712489e5589788.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/683968,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/51a92c5c-8d11-5440-a6a9-967bfdea0d90/manifest,,,,,52
本草綱目 52巻序目1巻圖3巻 (存54巻) ; 圖卷上,"本草綱目 52巻序目1巻圖3巻 (存54巻) / (明) 李時珍編輯 ; (明) 錢蔚起較訂 ; 序目 - 圖卷中. -- [出版者不明], [寛文年間]. -- 40冊 ; 22.9×16.7cm.",A2:6,3002921124,,,,,,駒場図書館,006380,,ホンゾウ コウモク,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/83db7a15-1cd0-655e-207d-bd6561851663.json,83db7a15-1cd0-655e-207d-bd6561851663,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/83db7a15-1cd0-655e-207d-bd6561851663,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/822f5bc0085707263abedee89fb78ad3d9886e1a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/683967,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/83db7a15-1cd0-655e-207d-bd6561851663/manifest,,,,,55
本草綱目 52巻序目1巻圖3巻 (存54巻) ; 圖卷中,"本草綱目 52巻序目1巻圖3巻 (存54巻) / (明) 李時珍編輯 ; (明) 錢蔚起較訂 ; 序目 - 圖卷中. -- [出版者不明], [寛文年間]. -- 40冊 ; 22.9×16.7cm.",A2:6,3002921132,,,,,,駒場図書館,006390,,ホンゾウ コウモク,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/49694393-a4ae-446f-1914-eb11d747485b.json,49694393-a4ae-446f-1914-eb11d747485b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/49694393-a4ae-446f-1914-eb11d747485b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6d830f6ea1fed661646cc0f231614f1168dde494.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/683966,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/49694393-a4ae-446f-1914-eb11d747485b/manifest,,,,,57
重訂本草綱目啓蒙 48巻 ; 卷1-11,重訂本草綱目啓蒙 48巻 / 小野蘭山口授 ; 小野職孝録 ; 井口望之訂 ; 卷1-11 - 卷40-48. -- 秋田屋善助 : 河内屋新治郎 : 河内屋和助 : 秋田屋太右衞門. -- 5冊 ; 25.5×17.8cm.,A2:9,3002921504,,,,,,駒場図書館,009000,,ジュウテイ ホンゾウ コウモク ケイモウ,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/126e34d1-2c6f-00cc-53fc-5e11ba95125f.json,126e34d1-2c6f-00cc-53fc-5e11ba95125f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/126e34d1-2c6f-00cc-53fc-5e11ba95125f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bbb8abc1d4914c00e90a8091f5323236a89154bd.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/683965,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/126e34d1-2c6f-00cc-53fc-5e11ba95125f/manifest,,,,,268
重訂本草綱目啓蒙 48巻 ; 卷12-17,重訂本草綱目啓蒙 48巻 / 小野蘭山口授 ; 小野職孝録 ; 井口望之訂 ; 卷1-11 - 卷40-48. -- 秋田屋善助 : 河内屋新治郎 : 河内屋和助 : 秋田屋太右衞門. -- 5冊 ; 25.5×17.8cm.,A2:9,3002921512,,,,,,駒場図書館,009010,,ジュウテイ ホンゾウ コウモク ケイモウ,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3b594e27-0a5d-4534-62a0-18e735be81ff.json,3b594e27-0a5d-4534-62a0-18e735be81ff,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/3b594e27-0a5d-4534-62a0-18e735be81ff,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a5823eee6b74f767c9bb24a7951075fdbad8345e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/683964,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3b594e27-0a5d-4534-62a0-18e735be81ff/manifest,,,,,180
重訂本草綱目啓蒙 48巻 ; 卷18-29,重訂本草綱目啓蒙 48巻 / 小野蘭山口授 ; 小野職孝録 ; 井口望之訂 ; 卷1-11 - 卷40-48. -- 秋田屋善助 : 河内屋新治郎 : 河内屋和助 : 秋田屋太右衞門. -- 5冊 ; 25.5×17.8cm.,A2:9,3002921520,,,,,,駒場図書館,009020,,ジュウテイ ホンゾウ コウモク ケイモウ,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a5ee187e-94b5-9c22-9caf-bbb7a3953341.json,a5ee187e-94b5-9c22-9caf-bbb7a3953341,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/a5ee187e-94b5-9c22-9caf-bbb7a3953341,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/abc03389b33848e6fa23d81a4d1fdfa46d7bc66d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/683963,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a5ee187e-94b5-9c22-9caf-bbb7a3953341/manifest,,,,,180
重訂本草綱目啓蒙 48巻 ; 卷30-39,重訂本草綱目啓蒙 48巻 / 小野蘭山口授 ; 小野職孝録 ; 井口望之訂 ; 卷1-11 - 卷40-48. -- 秋田屋善助 : 河内屋新治郎 : 河内屋和助 : 秋田屋太右衞門. -- 5冊 ; 25.5×17.8cm.,A2:9,3002921538,,,,,,駒場図書館,009030,,ジュウテイ ホンゾウ コウモク ケイモウ,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4f0f8276-011d-4b9b-0db9-094e01487cc4.json,4f0f8276-011d-4b9b-0db9-094e01487cc4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/honzosho/document/4f0f8276-011d-4b9b-0db9-094e01487cc4,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/eeed9f3417dd4c54b88ba4f68eb49ba15484993f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/683962,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,駒場図書館所蔵資源科学研究所本草書コレクション,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4f0f8276-011d-4b9b-0db9-094e01487cc4/manifest,,,,,219
