タイトル	書名よみ	出版	形態	他の書名	注記	分類	原本請求記号	編著者等	出版年（西暦）	ローマ字タイトル	iiif viewer	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
dcterms:title	dcndl:titleTranscription	dcterms:publisher	dcterms:extent	dcndl:alternative	dcterms:description	dcterms:subject	dcndl:callNumber	dcterms:creator	dcterms:date	uterms:roman	iiif viewer	bibo:identifier	dcterms:isPartOf	dcterms:relation	dcterms:rights	foaf:thumbnail	rdfs:seeAlso	sc:attributionLabel	sc:viewingDirection	sc:viewingHint	uterms:databaseLabel	uterms:sort	uterms:year	uterms:manifestUri	uterms:searchApiUri	uterms:annotedManifest	uterms:linkToTapas	uterms:rtf	7584
謹身往來	キンシン オウライ	[出版地不明] : [出版者不明] ; [出版年不明]	1冊(26丁) ; 22cm			往来物	P879			kinshin orai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/85f7be0b-7b44-4759-b048-e46e229f72b3.json	85f7be0b-7b44-4759-b048-e46e229f72b3	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/85f7be0b-7b44-4759-b048-e46e229f72b3	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1f2902ef18c96515e0becde8df5d898f47bbadc4.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91662	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	137		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/85f7be0b-7b44-4759-b048-e46e229f72b3/manifest					29
謹身往來 / 松陰[書]	キンシン オウライ	浅草 : 近江屋太吉 ; 天保14	1冊(32丁) ; 23cm			往来物	P880	松陰[書]	1843	kinshin orai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7359e881-c8d6-4a28-b8d5-48edf8cbcdbf.json	7359e881-c8d6-4a28-b8d5-48edf8cbcdbf	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/7359e881-c8d6-4a28-b8d5-48edf8cbcdbf	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3127bafa79b96b2b331eb3a52c5e2d4ce6f09cd4.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91663	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	138		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7359e881-c8d6-4a28-b8d5-48edf8cbcdbf/manifest					35
謹身往來	キンシン オウライ	東都 : 永寿堂 ; 天保14 再刻	1冊(32丁) ; 23cm	平仮名附謹身往来宝蔵		往来物	P881		1843再刻	kinshin orai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/be49f2f4-830d-4944-8c7a-55c9f1992c7a.json	be49f2f4-830d-4944-8c7a-55c9f1992c7a	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/be49f2f4-830d-4944-8c7a-55c9f1992c7a	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0b1e12af91239534657bfcc4a883616a6b8e2175.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91664	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	139		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/be49f2f4-830d-4944-8c7a-55c9f1992c7a/manifest					32
和漢廿四貞女傳 / 八島五岳編画	ワカン ニジュウシ テイジョデン	京都 : 吉野屋甚助 ; 嘉永4	1冊(3, 43丁) ; 26cm			伝記	P756	八島五岳編画	1851	wakan nijushi teijoden	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b0e06d6e-a171-4191-a50a-7b379b511fca.json	b0e06d6e-a171-4191-a50a-7b379b511fca	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/b0e06d6e-a171-4191-a50a-7b379b511fca	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/900f3b953694ade75230ad57da89ff96e188d74a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91541	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	14		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b0e06d6e-a171-4191-a50a-7b379b511fca/manifest					49
孝行往來 / 小川保磨[述] ; 龍章[畫]	コウコウ オウライ	京都 : 吉野屋仁兵衛 ; 天保6	1冊(37丁) ; 23cm		成立年: 天保6	往来物	P882	小川保磨[述] ; 龍章[畫]	1835	koko orai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/055c1ec3-7158-4596-9b4a-a8929f4a91d1.json	055c1ec3-7158-4596-9b4a-a8929f4a91d1	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/055c1ec3-7158-4596-9b4a-a8929f4a91d1	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/808d5d4672e352f35b418add54548318ec6bf95c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91665	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	140		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/055c1ec3-7158-4596-9b4a-a8929f4a91d1/manifest					43
文明往來 / 高見二良著	ブンメイ オウライ	大阪 : 吉田善三 ; 明治6	1冊(30丁) ; 23cm		角書: 四民必讀	往来物	P883	高見二良著	1873	bummei orai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ce01da4c-42cc-4c3e-8242-d46522d4036e.json	ce01da4c-42cc-4c3e-8242-d46522d4036e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/ce01da4c-42cc-4c3e-8242-d46522d4036e	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d07c1bb92550ea2842dcbadd1dabf05b1e0f709f.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91666	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	141		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ce01da4c-42cc-4c3e-8242-d46522d4036e/manifest					48
新幼學往來 / 文華堂著 ; 西川龍章堂書	シン ヨウガク オウライ	京都 : 吉野屋仁兵衛 ; [出版年不明]	1冊(30丁) ; 23cm	幼學必用聴用往來		往来物	P884	文華堂著 ; 西川龍章堂書		shin yogaku orai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6f54b200-7e35-4a03-9792-fa19f4fadc1e.json	6f54b200-7e35-4a03-9792-fa19f4fadc1e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/6f54b200-7e35-4a03-9792-fa19f4fadc1e	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8b5395cfdc3de2e5d3c03ad8ddaf001a648a2d5b.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91667	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	142		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6f54b200-7e35-4a03-9792-fa19f4fadc1e/manifest					33
江戸往來	エド オウライ	大坂 : 秋田屋大右衛門 ; 天保12	1冊(29丁) ; 22cm		備考: 天保2年新版, 同8年求版 ; 大坂 伏見屋嘉兵衛	往来物	P885		1841	edo orai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/661e1188-e891-4ff8-a4f4-8eea9308c0e5.json	661e1188-e891-4ff8-a4f4-8eea9308c0e5	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/661e1188-e891-4ff8-a4f4-8eea9308c0e5	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/00dc7c1a02929361584a67724d53e0fa2ebcafe5.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91668	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	143		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/661e1188-e891-4ff8-a4f4-8eea9308c0e5/manifest					33
風月往來	フウゲツ オウライ	浪華 : 河内屋茂○○ ; [出版年不明]	1冊(8丁) ; 22cm			往来物	P886			fugetsu orai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1b5a8a42-936c-4911-9060-6b1b644df90e.json	1b5a8a42-936c-4911-9060-6b1b644df90e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/1b5a8a42-936c-4911-9060-6b1b644df90e	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/849e0bc44d2530c0d959bc31e88be3d1fef783d9.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91669	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	144		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1b5a8a42-936c-4911-9060-6b1b644df90e/manifest					10
諸職往來	ショショク オウライ	阪府 : 三木平七 ; [出版年不明]	1冊(20丁) ; 22cm	御家手本平仮名附諸職往来			P887			shoshoku orai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/06681080-5c92-4313-a51c-09810db4c577.json	06681080-5c92-4313-a51c-09810db4c577	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/06681080-5c92-4313-a51c-09810db4c577	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2a7cb1fea45e67eefce86f832c1224cc973268b0.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91670	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	145		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/06681080-5c92-4313-a51c-09810db4c577/manifest					23
女用都名所	オンナヨウ ミヤコメイショ	京都 : めとぎや宗八 ; 文化12	1冊(36丁) ; 23cm	女用都名所往来	成立年: 文化12	往来物	P888		1815	onnayo miyakomeisho	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b5f2fa2b-c6ed-461d-b796-06f2ccf13673.json	b5f2fa2b-c6ed-461d-b796-06f2ccf13673	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/b5f2fa2b-c6ed-461d-b796-06f2ccf13673	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/89d7c9ce50e81bb1276ab02907eae4596e56db65.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91671	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	146		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b5f2fa2b-c6ed-461d-b796-06f2ccf13673/manifest					40
大全消息往來	タイゼン ショウソク オウライ	江戸 : 藤岡屋慶治郎 ; [出版年不明]	1冊 ; 18cm		備考: 「消息往来」, 「続消息往来」, 「消息往来講釈」を合本したもの	往来物	P889			taizen shosoku orai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/237c1cf9-35fb-4870-89ec-5cc556b7e246.json	237c1cf9-35fb-4870-89ec-5cc556b7e246	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/237c1cf9-35fb-4870-89ec-5cc556b7e246	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/218b510931bd3170477fb55c70f90a8c788672ea.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91672	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	147		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/237c1cf9-35fb-4870-89ec-5cc556b7e246/manifest					34
大全消息往來	タイゼン ショウソク オウライ	江戸 : 吉田屋清七 ; [出版年不明]	1冊(14丁) ; 19cm		角書: 真艸二體兩點. 備考: 書名は題箋による 丁付 19, 10, 20	往来物	P890			taizen shosoku orai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/18def281-198e-4049-9b49-41fe1d7ae137.json	18def281-198e-4049-9b49-41fe1d7ae137	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/18def281-198e-4049-9b49-41fe1d7ae137	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2d1e477be80a692a3834452c49f2cf6e820de18c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91673	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	148		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/18def281-198e-4049-9b49-41fe1d7ae137/manifest					53
消息往來 ; 続消息往來 ; 消息往來講釋	ショウソク オウライ ; ゾク ショウソク オウライ ; ショウソク オウライ コウシャク	[出版地不明] : [出版者不明] ; [出版年不明]	1冊 ; 18cm	文章法則大全消息往來|大全消息往來		往来物	P891			shosoku orai ; zoku shosoku orai ; shosoku orai koshaku	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bae377aa-3f43-4537-841e-deaae225b69e.json	bae377aa-3f43-4537-841e-deaae225b69e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/bae377aa-3f43-4537-841e-deaae225b69e	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/97482a344a45cdbfa39a53ab45f2181a952cce47.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91674	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	149		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bae377aa-3f43-4537-841e-deaae225b69e/manifest					50
女訓三の道 / 中村弘毅	ジョクン サン ノ ミチ	皇都 : 吉野屋仁兵衛 ; 文政9	1冊(48丁) ; 26cm			教訓	P757	中村弘毅	1826	jokun san no michi	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8ed5291b-5880-468b-9495-0077a74b22f7.json	8ed5291b-5880-468b-9495-0077a74b22f7	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/8ed5291b-5880-468b-9495-0077a74b22f7	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/092fb2e5e0bbbb0463d5e4a9695943280bcf385c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91542	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	15		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8ed5291b-5880-468b-9495-0077a74b22f7/manifest					51
消息往來	ショウソク オウライ	江戸 : 仙鶴堂鶴屋喜右衛門 ; 寛政4 再刻	1冊(16丁) ; 18cm	新撰累語消息往来|消息累語文章往来	成立年: 安永7	往来物	P892		1792再刻	shosoku orai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/301fce37-e283-4cb2-beb2-9f23c137ad3a.json	301fce37-e283-4cb2-beb2-9f23c137ad3a	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/301fce37-e283-4cb2-beb2-9f23c137ad3a	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a259475300a9614074367ade26b6030e291c70df.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91675	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	150		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/301fce37-e283-4cb2-beb2-9f23c137ad3a/manifest					18
年中時候往來 / 泉花堂三蝶述 ; 滕耕徳書	ネンジュウ ジコウ オウライ	[出版地不明] : 森治 ; 享和3	1冊(17丁) ; 18cm		角書: 享和新編. 成立年: 享和3. 備考: 出版者は題箋による	往来物	P893	泉花堂三蝶述 ; 滕耕徳書	1803	nenju jiko orai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/60c0dd8b-facb-4b4d-ad16-6bc2756da5e1.json	60c0dd8b-facb-4b4d-ad16-6bc2756da5e1	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/60c0dd8b-facb-4b4d-ad16-6bc2756da5e1	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c5df12c47f07295c61026063d369d7f4b82446e6.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91676	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	151		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/60c0dd8b-facb-4b4d-ad16-6bc2756da5e1/manifest					22
諸職往來	ショショ クオウライ	江戸 : 和泉屋市兵衛 ; 天保14	1冊(19丁) ; 18cm			往来物	P897		1843	shosho kuorai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e3ad0815-de4d-47e8-95b8-80cd9581f50d.json	e3ad0815-de4d-47e8-95b8-80cd9581f50d	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/e3ad0815-de4d-47e8-95b8-80cd9581f50d	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2d1f3f29bb9af90ccfe4413c44cbe4585ec22a35.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91677	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	155		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e3ad0815-de4d-47e8-95b8-80cd9581f50d/manifest					22
商賣往來繪字引	ショウバイ オウライ エジビキ	東都 : 大和屋喜兵衛 ; [出版年不明]	1冊 ; 18cm	畫本商売往来		往来物	P898			shobai orai ejibiki	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/405bff0d-4f18-4c1b-9697-afd22e6ccffb.json	405bff0d-4f18-4c1b-9697-afd22e6ccffb	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/405bff0d-4f18-4c1b-9697-afd22e6ccffb	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e061d275c01e7342788df0ad19c1152a297bea66.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91678	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	156		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/405bff0d-4f18-4c1b-9697-afd22e6ccffb/manifest					35
自遣往來	ジケン オウライ	江戸 : 西村屋與八 ; 文化14	1冊(19丁) ; 19cm	泰平江戸往來|廣樂江都往來		往来物	P903		1817	jiken orai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0d524578-5eeb-4ffa-b1c0-2812343b7d27.json	0d524578-5eeb-4ffa-b1c0-2812343b7d27	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/0d524578-5eeb-4ffa-b1c0-2812343b7d27	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/73572ff9d4b309bc812cf28e981bf1fe5a859b6d.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91679	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	161		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0d524578-5eeb-4ffa-b1c0-2812343b7d27/manifest					22
養蚕往來	カイコ オウライ	東都 : 藤岡屋慶次郎 ; 嘉永3	1冊(12丁) ; 18cm	新撰養蚕往來|頭書養蚕圖繪		往来物	P904		1850	kaiko orai	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/90eeca76-4b2d-419d-a058-b3fd3f8fd4de.json	90eeca76-4b2d-419d-a058-b3fd3f8fd4de	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/90eeca76-4b2d-419d-a058-b3fd3f8fd4de	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/01f2a1cf92d68266219b8d8d9803090881064cec.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91680	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	162		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/90eeca76-4b2d-419d-a058-b3fd3f8fd4de/manifest					18
文正さうし	ブンショウ ゾウシ	[出版地不明] : [出版者不明] ; [出版年不明]	1冊 ; 16x23cm	文正草紙	備考: 書名は題箋による, [おとぎ草子の内]一	室町物語	P905			bunsho zoshi	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/198865f4-6305-4d7f-a930-ae6e9674f6a6.json	198865f4-6305-4d7f-a930-ae6e9674f6a6	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/198865f4-6305-4d7f-a930-ae6e9674f6a6	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8777f4c5199c6d61649bdfbd3ce4179ecd65854d.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91681	教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		富士川文庫	163		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/198865f4-6305-4d7f-a930-ae6e9674f6a6/manifest					61
