タイトル,書名よみ,出版,形態,他の書名,注記,分類,原本請求記号,編著者等,出版年（西暦）,ローマ字タイトル,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
民間喩草 / 加藤景範(竹里翁),ミンカン サトシグサ,浪花 : 小川屋清左衛門 ; 享和元,1冊(35丁) ; 23cm,民間さとしぐさ,成立年: 享和元,教訓,P797,加藤景範(竹里翁),1801,minkan satoshigusa,1fdeece2-3703-4058-b4ff-617498add66f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/1fdeece2-3703-4058-b4ff-617498add66f,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/2f42dc0116f6c55a14d42658191f5fe17c53cf37.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91581,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,富士川文庫,55,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1fdeece2-3703-4058-b4ff-617498add66f/manifest,,,,,41
渡世肝要記 / 有喜堂主人述,トセイ カンヨウキ,名古屋 : 長谷川孫助 ; [出版年不明],1冊(41丁) ; 23cm,,角書: 諸家. 備考: 見返し「京都書林 梶川芸香堂」,心学,P798,有喜堂主人述,,tosei kanyoki,420ce134-2564-4d67-b1e2-3ab3cd827992,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/420ce134-2564-4d67-b1e2-3ab3cd827992,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/65cbfe7ace5b84e17abbf6ab5b9bba7d26a1321a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91582,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,富士川文庫,56,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/420ce134-2564-4d67-b1e2-3ab3cd827992/manifest,,,,,46
貞丈家訓 / 伊勢安齋著 ; 屋代輪池校,テイジョウ カクン,江戸 : 堀野屋儀助 ; 天保8,1冊(27丁) ; 23cm,,成立年: 宝暦13,教訓,P799,伊勢安齋著 ; 屋代輪池校,1837,teijo kakun,370e74fd-55a1-4f4b-b276-4e2f099e433f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/370e74fd-55a1-4f4b-b276-4e2f099e433f,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/8e50197dbaa45531986252271a999de35db5f872.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91583,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,富士川文庫,57,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/370e74fd-55a1-4f4b-b276-4e2f099e433f/manifest,,,,,33
鄙都言種 ; (上)(下) / 森嶌中良,ヒトコトグサ,東都 : 須原屋市兵衛 ; 寛政8,2冊(53丁) ; 23cm,教訓鄙都言種,"成立年: 寛政8. 備考: 丁付 27, 26",,P800,森嶌中良,1796,hitokotogusa,a95a344e-7222-4c8f-8365-0bbd0aa75b9b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/a95a344e-7222-4c8f-8365-0bbd0aa75b9b,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/cdf5740c9a827f1274cefdecd8e6981f718ad470.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91584,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,富士川文庫,58,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a95a344e-7222-4c8f-8365-0bbd0aa75b9b/manifest,,,,,63
繪本源頼光昔物語 ; (上)(下) / 下河邊拾水畫,エホン ミナモト ライコウ ムカシ モノガタリ,京都 : 菊屋喜兵衛 ; 天明6,2冊(16丁) ; 23cm,,"備考: 書名は題箋による 丁付 5, 5",,P801,下河邊拾水畫,1786,ehon minamoto raiko mukashi monogatari,62439780-5989-4c1a-85e8-ed1144d37f04,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/62439780-5989-4c1a-85e8-ed1144d37f04,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/2af2addfc626860623f8929310fe6eb067522a86.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91585,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,富士川文庫,59,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/62439780-5989-4c1a-85e8-ed1144d37f04/manifest,,,,,25
實語教證註 ; 童子教證註 / 振鷺亭貞居著,ジツゴキョウ ショウチュウ ; ドウジキョウ ショウチュウ,江戸 : 和泉屋金右衛門 ; [出版年不明],1冊(58丁) ; 26cm,,成立年: 文化13,教訓,P748,振鷺亭貞居著,,jitsugokyo shochu ; dojikyo shochu,9b38213c-8ab2-4ea0-9342-a054776a9d34,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/9b38213c-8ab2-4ea0-9342-a054776a9d34,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/25cd32597bdd345929e63a194ca71a0b343c0c1c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91534,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,富士川文庫,6,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9b38213c-8ab2-4ea0-9342-a054776a9d34/manifest,,,,,63
繪本源平武者揃 ; (上)(下) / 堀田里廣[畫],エホン ゲンペイ ムシャゾロエ,皇都 : 菱屋治兵衛 ; 寛政13,2冊(15丁) ; 22cm,,,黄表紙,P802,堀田里廣[畫],1801,ehon gempei mushazoroe,ba4e7f1b-54be-4913-89ba-db37118474dd,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/ba4e7f1b-54be-4913-89ba-db37118474dd,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/3d8fe40c0c44a6429fd16b02d1ae08b3df143a07.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91586,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,富士川文庫,60,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ba4e7f1b-54be-4913-89ba-db37118474dd/manifest,,,,,22
猿能山入唐獅子童子 全,サル ノ ヤマイリ カラジシ ドウジ,[出版地不明] : [出版者不明] ; [出版年不明],1冊(5丁) ; 22cm,,,,P803,,,saru no yamairi karajishi doji,24984408-8e7f-4914-bd7f-df8f93f893f1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/24984408-8e7f-4914-bd7f-df8f93f893f1,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/4381515a0eaab8185a35b678bb625d64e2340c57.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91587,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,富士川文庫,61,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/24984408-8e7f-4914-bd7f-df8f93f893f1/manifest,,,,,11
寶抓取 ; (上)(中) / 菱垣市匠橘義陳,タカラ ツカミドリ,[出版地不明] : [出版者不明] ; [出版年不明],3巻3冊(95丁) ; 23cm,,"備考: (上)(中)の合冊 ; (上)に落丁あり, 丁付 15, 20, 66",心学,P804,菱垣市匠橘義陳,,takara tsukamidori,bccad32f-8ee4-431b-b38c-3059a7035b25,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/bccad32f-8ee4-431b-b38c-3059a7035b25,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/4a3df4e64bd843679e00217b03ef4f11aab9e806.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91588,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,富士川文庫,62,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bccad32f-8ee4-431b-b38c-3059a7035b25/manifest,,,,,102
鏡袋 / 松崎祐之,カガミブクロ,皇都 : 梶川七郎兵衛 ; 文化元,1冊(27丁) ; 23cm,,成立年: 宝暦10,心学,P805,松崎祐之,1804,kagamibukuro,4910612a-52d6-4085-9792-fbbf185cec61,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/fujikawa/document/4910612a-52d6-4085-9792-fbbf185cec61,http://ikuto.p.u-tokyo.ac.jp/reuse.html,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/2dd4bddfa4f9b3f3d555a994a31801e7e6a897df.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/91589,"教育学研究科・教育学部図書室 Graduate School of Education / Faculty of Education Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,富士川文庫,63,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4910612a-52d6-4085-9792-fbbf185cec61/manifest,,,,,34
