タイトル	タイトルよみ	請求記号	形態	刊写の別	注記	iiif viewer	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
dcterms:title	dcndl:titleTranscription	dcndl:callNumber	bibo:numVolumes	dcterms:type	dcterms:description	iiif viewer	bibo:identifier	dcterms:isPartOf	dcterms:relation	dcterms:rights	foaf:thumbnail	rdfs:seeAlso	sc:attributionLabel	sc:viewingDirection	sc:viewingHint	uterms:databaseLabel	uterms:sort	uterms:year	uterms:manifestUri	uterms:searchApiUri	uterms:annotedManifest	uterms:linkToTapas	uterms:rtf	1
南贍部洲大日本国正統図	なんせんぶしゅうだいにほんこくしょうとうず		1舗	刊	青洲文庫	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d61e0a67-77af-42eb-9c14-5146372b14f1.json	d61e0a67-77af-42eb-9c14-5146372b14f1	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nansembushu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/nansembushu/document/d61e0a67-77af-42eb-9c14-5146372b14f1	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d4c051e231871690362eadb27778bcd7c9cb8d8c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/533745	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		南贍部洲大日本国正統図	10000001		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d61e0a67-77af-42eb-9c14-5146372b14f1/manifest					1
