タイトル,書名よみ,出版,形態,分類,原本請求記号,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:titleTranscription,dcterms:publisher,dcterms:extent,dcterms:subject,dcndl:callNumber,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,280
ぎやどぺかどる,ギヤドペカドル,写,[189丁] ; 大,キリスト教,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ecd1285a-42b6-4541-b640-1067b2f9fde0.json,ecd1285a-42b6-4541-b640-1067b2f9fde0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/christian,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/christian/document/ecd1285a-42b6-4541-b640-1067b2f9fde0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/26e8b61f27c184512f0457a548b7c27743203c31.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39287,東京大学総合図書館 / General Library in the University of Tokyo,http://iiif.io/api/presentation/2#rightToLeftDirection,,キリシタン写本,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ecd1285a-42b6-4541-b640-1067b2f9fde0/manifest,,,,,191
ドチリナ・キリシタン,ドチリナキリシタン,写,1冊 ; 大,キリスト教,A00:X25,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/394c6988-9bd0-4adc-8c3c-4e05cb02b6a2.json,394c6988-9bd0-4adc-8c3c-4e05cb02b6a2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/christian,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/christian/document/394c6988-9bd0-4adc-8c3c-4e05cb02b6a2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6e6d39a62e9c18bf0674ffe666522a0736f3abf3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39288,東京大学総合図書館 / General Library in the University of Tokyo,http://iiif.io/api/presentation/2#rightToLeftDirection,,キリシタン写本,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/394c6988-9bd0-4adc-8c3c-4e05cb02b6a2/manifest,,,,,89
