タイトル	タイトルヨミ	別タイトル	別タイトル（題簽題）	注記	大きさ	冊	請求記号	作成者	画像数	備考	iiif viewer	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
dcterms:title	dcndl:titleTranscription	dcterms:alternative	dcndl:alternative	archiveshub:note	archiveshub:extent	dcndl:volume	dcndl:callNumber	dcterms:creator	dcterms:extent	bibo:shortDescription	iiif viewer	bibo:identifier	dcterms:isPartOf	dcterms:relation	dcterms:rights	foaf:thumbnail	rdfs:seeAlso	sc:attributionLabel	sc:viewingDirection	sc:viewingHint	uterms:databaseLabel	uterms:sort	uterms:year	uterms:manifestUri	uterms:searchApiUri	uterms:annotedManifest	uterms:linkToTapas	uterms:rtf	2763
教草 十九 蝋一覧					38×52cm		XB10:299		3		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0941b97c-4ccf-0e2c-836d-155d972a55cd.json	0941b97c-4ccf-0e2c-836d-155d972a55cd	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/0941b97c-4ccf-0e2c-836d-155d972a55cd	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f6a8a674ebb2c76088d2f42d8ec0817fd9d2d9d0.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/534087	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		田中芳男・博物学コレクション	10000122		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0941b97c-4ccf-0e2c-836d-155d972a55cd/manifest					3
教草 二十 白柿一覧					38×52cm		XB10:299		3		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8c84a273-59fe-675d-6bfb-51c91b3a113e.json	8c84a273-59fe-675d-6bfb-51c91b3a113e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/8c84a273-59fe-675d-6bfb-51c91b3a113e	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e5702a771aac3b359729fe4c613cfaf538cbfc5c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/534088	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		田中芳男・博物学コレクション	10000123		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8c84a273-59fe-675d-6bfb-51c91b3a113e/manifest					3
教草 二一 畳表一覧					38×52cm		XB10:299		3		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b24dce19-3d0c-1ef2-a520-5620d45488c6.json	b24dce19-3d0c-1ef2-a520-5620d45488c6	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/b24dce19-3d0c-1ef2-a520-5620d45488c6	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/780fbcbcefdf87feb9beefd3082c4f9900aa2401.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/534089	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		田中芳男・博物学コレクション	10000124		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b24dce19-3d0c-1ef2-a520-5620d45488c6/manifest					3
教草 二二 香蕈一覧					38×52cm		XB10:299		3		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5762ba93-0fbd-516e-3fc4-f76800133d7e.json	5762ba93-0fbd-516e-3fc4-f76800133d7e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/5762ba93-0fbd-516e-3fc4-f76800133d7e	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/da0d9d350652b16a0db3589623ba6562e2001407.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/534090	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		田中芳男・博物学コレクション	10000125		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5762ba93-0fbd-516e-3fc4-f76800133d7e/manifest					3
教草 二四 蜂蜜一覧					38×52cm		XB10:299		3		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3ae26f29-7b20-2c20-189b-1ea94d3a30d8.json	3ae26f29-7b20-2c20-189b-1ea94d3a30d8	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/3ae26f29-7b20-2c20-189b-1ea94d3a30d8	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c85f5d5b646cdc9f5d216740670b290e12a6f65e.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/534091	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		田中芳男・博物学コレクション	10000126		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3ae26f29-7b20-2c20-189b-1ea94d3a30d8/manifest					3
教草 二五 油一覽					38×52cm		XB10:299	博覧會事務局	3		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a6846a02-30e5-2615-001c-d8f8981f48e6.json	a6846a02-30e5-2615-001c-d8f8981f48e6	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/a6846a02-30e5-2615-001c-d8f8981f48e6	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5126c7bdac1a422378071b653eb723cd38604432.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/534092	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		田中芳男・博物学コレクション	10000127		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a6846a02-30e5-2615-001c-d8f8981f48e6/manifest					3
教草 二六 臙脂一覽					38×52cm		XB10:299	博覧會事務局	3		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/767f7d22-444e-56b1-2cf6-f84b2af0146f.json	767f7d22-444e-56b1-2cf6-f84b2af0146f	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/767f7d22-444e-56b1-2cf6-f84b2af0146f	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d8cf30182233be0d287d8fde0ea743880ee2eea0.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/534093	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		田中芳男・博物学コレクション	10000128		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/767f7d22-444e-56b1-2cf6-f84b2af0146f/manifest					3
教草 二九 褐腐一覽					38×52cm		XB10:299	博覧會事務局	3		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6a7a2e16-370d-5d47-4511-c9197e8a823b.json	6a7a2e16-370d-5d47-4511-c9197e8a823b	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/6a7a2e16-370d-5d47-4511-c9197e8a823b	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d61e22504b18cbb63d8c78d3be2df5b6e5a37925.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/534094	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		田中芳男・博物学コレクション	10000129		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6a7a2e16-370d-5d47-4511-c9197e8a823b/manifest					3
教草 三十 豆腐一覽					38×52cm		XB10:299	博覧會事務局	3		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2dd0d02e-0a5a-8ff2-82de-9b459fc0a2bb.json	2dd0d02e-0a5a-8ff2-82de-9b459fc0a2bb	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/2dd0d02e-0a5a-8ff2-82de-9b459fc0a2bb	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1459139c1814523a6675ca6dc2db7eef92da5c83.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/534095	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		田中芳男・博物学コレクション	10000130		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2dd0d02e-0a5a-8ff2-82de-9b459fc0a2bb/manifest					3
台湾帖				明治四十一年十月鉄道全通式出張之際取得等	42.3×30.5cm		BA:12	田中芳男	84		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/99129f67-2420-3f1e-6eba-90448b744baf.json	99129f67-2420-3f1e-6eba-90448b744baf	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/99129f67-2420-3f1e-6eba-90448b744baf	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3ef36470f3b5a507457e05db9d1571bfa23fa5d5.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/534096	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		田中芳男・博物学コレクション	10000131		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/99129f67-2420-3f1e-6eba-90448b744baf/manifest					84
神都印刷帖附農業館掛図・絵				明治廿四年以後所集同丗七年三月貼附畢田中芳男	40.5×28.0cm		BJ:25	田中芳男	31		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1e672f8a-8c42-14fe-62ea-2c5945ce2a37.json	1e672f8a-8c42-14fe-62ea-2c5945ce2a37	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/1e672f8a-8c42-14fe-62ea-2c5945ce2a37	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a4f3ca26331f1af0edcf11ef541e8fc9741707f4.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/534097	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		田中芳男・博物学コレクション	10000132		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1e672f8a-8c42-14fe-62ea-2c5945ce2a37/manifest					31
共進会並水産博覧会帖					40.5×28.5cm		BXB:8	田中芳男	63		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8a599110-591e-9c98-a32b-99b37f160317.json	8a599110-591e-9c98-a32b-99b37f160317	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/8a599110-591e-9c98-a32b-99b37f160317	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/73dbf964676f34b8cbd87cb87392aff672d71cd7.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/534098	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		田中芳男・博物学コレクション	10000133		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8a599110-591e-9c98-a32b-99b37f160317/manifest					63
繭絲織物陶漆器共進会帖					41.0×28.0cm		BXB:9	田中芳男	241		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b7b22418-218f-25b4-8a01-cd236420774f.json	b7b22418-218f-25b4-8a01-cd236420774f	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/tanaka/document/b7b22418-218f-25b4-8a01-cd236420774f	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b280716bcdfa670e8f2177660f10b63d6cb0eb42.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/534099	東京大学総合図書館 General Library in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		田中芳男・博物学コレクション	10000134		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b7b22418-218f-25b4-8a01-cd236420774f/manifest					241
