タイトル,書名,書名ヨミ,著者,出版者,大きさ,請求記号,一般注記,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:seriesTitle,dcndl:seriesTitleTranscription,dcterms:creator,dcterms:publisher,dcterms:extent,dcndl:callNumber,dcterms:description,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,2247
桐壺,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c1ea8e6b-9403-4394-8619-96aad0ec6329.json,c1ea8e6b-9403-4394-8619-96aad0ec6329,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/c1ea8e6b-9403-4394-8619-96aad0ec6329,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/082f3475f5b03e1820688882d003ce39772ebb4c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275151,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,01,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c1ea8e6b-9403-4394-8619-96aad0ec6329/manifest,,,,,32
帚木,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4c7f22cf-9fe1-5405-1f3a-c53b39e3a45e.json,4c7f22cf-9fe1-5405-1f3a-c53b39e3a45e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/4c7f22cf-9fe1-5405-1f3a-c53b39e3a45e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/707d9c58014ca5f13e94210694e944026cae887d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275152,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,02,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4c7f22cf-9fe1-5405-1f3a-c53b39e3a45e/manifest,,,,,62
空蝉,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/48bf5555-1449-3b07-4a4e-400faea49f2f.json,48bf5555-1449-3b07-4a4e-400faea49f2f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/48bf5555-1449-3b07-4a4e-400faea49f2f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2ff5ad52ad67276e6309bf522852dffeb5ae4a65.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275153,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,03,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/48bf5555-1449-3b07-4a4e-400faea49f2f/manifest,,,,,18
夕顔,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/cbb5d028-05a6-326a-4976-d61354b5731f.json,cbb5d028-05a6-326a-4976-d61354b5731f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/cbb5d028-05a6-326a-4976-d61354b5731f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/05b2af61a788209c52093049ebcacc26928f1b16.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275154,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,04,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/cbb5d028-05a6-326a-4976-d61354b5731f/manifest,,,,,61
若紫,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3e3b8127-47f1-846e-2661-66f5c6665353.json,3e3b8127-47f1-846e-2661-66f5c6665353,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/3e3b8127-47f1-846e-2661-66f5c6665353,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ad936d2a2b341652cb1ab7e25f65cafb67ef021d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275155,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,05,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3e3b8127-47f1-846e-2661-66f5c6665353/manifest,,,,,55
末摘花,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9b019cdd-a43c-3671-3139-96c3918a356f.json,9b019cdd-a43c-3671-3139-96c3918a356f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/9b019cdd-a43c-3671-3139-96c3918a356f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/75f8470d741d1c825d32c8bd958dbebd3e0f6dfa.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275156,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,06,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9b019cdd-a43c-3671-3139-96c3918a356f/manifest,,,,,38
紅葉加(紅葉賀),源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/952541dd-7d2c-2771-11e5-8a85d2105938.json,952541dd-7d2c-2771-11e5-8a85d2105938,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/952541dd-7d2c-2771-11e5-8a85d2105938,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a6007d38d10c305c456419ba4ca2ccb4356a768e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275157,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,07,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/952541dd-7d2c-2771-11e5-8a85d2105938/manifest,,,,,36
花宴,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e3d12c86-409c-2980-0574-a1d292eb60ab.json,e3d12c86-409c-2980-0574-a1d292eb60ab,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/e3d12c86-409c-2980-0574-a1d292eb60ab,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8b5bc65b81a208f3c3c7712d942d1054a71c0271.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275158,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,08,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e3d12c86-409c-2980-0574-a1d292eb60ab/manifest,,,,,16
葵,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d9c1360e-61b5-7757-3e31-d991fa9d53a4.json,d9c1360e-61b5-7757-3e31-d991fa9d53a4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/d9c1360e-61b5-7757-3e31-d991fa9d53a4,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b0a891a07b68bfdf6c407c423356d7595dcd357e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275159,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,09,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d9c1360e-61b5-7757-3e31-d991fa9d53a4/manifest,,,,,54
"龍眼木(賢木 , 榊)",源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0590814b-938f-0f7d-4984-a6d74cce6f5f.json,0590814b-938f-0f7d-4984-a6d74cce6f5f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/0590814b-938f-0f7d-4984-a6d74cce6f5f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6b313c6102529e09385fe63f95663c673fa78a1c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275160,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,10,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0590814b-938f-0f7d-4984-a6d74cce6f5f/manifest,,,,,59
花散里,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1077d20f-07b7-2732-8a54-5b24f2cc787f.json,1077d20f-07b7-2732-8a54-5b24f2cc787f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/1077d20f-07b7-2732-8a54-5b24f2cc787f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b1f48e3a8967f8184b33d7c20deba15dde4b0508.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275161,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,11,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1077d20f-07b7-2732-8a54-5b24f2cc787f/manifest,,,,,9
須磨,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1e3ad9e7-30ca-3869-4561-e4a9ec8e74f3.json,1e3ad9e7-30ca-3869-4561-e4a9ec8e74f3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/1e3ad9e7-30ca-3869-4561-e4a9ec8e74f3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b0d53228d1a99f21f7d6fe7c3f0b597884cf146b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275162,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,12,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1e3ad9e7-30ca-3869-4561-e4a9ec8e74f3/manifest,,,,,50
赤石(明石),源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5aaa7feb-222a-2864-37fa-2c4c81f85f44.json,5aaa7feb-222a-2864-37fa-2c4c81f85f44,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/5aaa7feb-222a-2864-37fa-2c4c81f85f44,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d3c55f7743874d1c6d7501b732587fa0a565f8ca.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275163,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,13,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5aaa7feb-222a-2864-37fa-2c4c81f85f44/manifest,,,,,45
水衝石(澪標),源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e47d012e-19e0-0e31-5f80-edc931ef609f.json,e47d012e-19e0-0e31-5f80-edc931ef609f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/e47d012e-19e0-0e31-5f80-edc931ef609f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ecb674898ebb6d9eae28aad9a59a9816612ba770.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275164,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,14,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e47d012e-19e0-0e31-5f80-edc931ef609f/manifest,,,,,37
蓬生,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2575aa8b-5670-89ac-1aea-831213bd8f30.json,2575aa8b-5670-89ac-1aea-831213bd8f30,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/2575aa8b-5670-89ac-1aea-831213bd8f30,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6135de6961e457949587d4ec15b7a7f450d0ce8c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275165,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,15,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2575aa8b-5670-89ac-1aea-831213bd8f30/manifest,,,,,29
関屋,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0ae23744-1bf3-27f3-4efa-d0045cce48e6.json,0ae23744-1bf3-27f3-4efa-d0045cce48e6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/0ae23744-1bf3-27f3-4efa-d0045cce48e6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/08c0b5ddb47a13b8b38ed6d132425f04b8f1bd90.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275166,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,16,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0ae23744-1bf3-27f3-4efa-d0045cce48e6/manifest,,,,,10
絵合,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/dde16b8e-72c3-8a66-7577-c62854cd4337.json,dde16b8e-72c3-8a66-7577-c62854cd4337,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/dde16b8e-72c3-8a66-7577-c62854cd4337,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/30c83a6cc316f8a5141300402eabae777391eb08.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275167,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,17,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dde16b8e-72c3-8a66-7577-c62854cd4337/manifest,,,,,25
松風,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e0158397-9aa3-2fa3-2976-1f999cf96bf2.json,e0158397-9aa3-2fa3-2976-1f999cf96bf2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/e0158397-9aa3-2fa3-2976-1f999cf96bf2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/955586a06ad6c479f9774391052043531466e4a2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275168,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,18,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e0158397-9aa3-2fa3-2976-1f999cf96bf2/manifest,,,,,27
薄雲,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bb712378-71c3-873b-8fcf-4940d81d26c9.json,bb712378-71c3-873b-8fcf-4940d81d26c9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/bb712378-71c3-873b-8fcf-4940d81d26c9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c2ceaa81023a6a8d3c2cadc5259daa4f8e2605b3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275169,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,19,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bb712378-71c3-873b-8fcf-4940d81d26c9/manifest,,,,,38
槿,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8799a92b-04c2-8ffd-4e1d-00f0d0734c71.json,8799a92b-04c2-8ffd-4e1d-00f0d0734c71,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/8799a92b-04c2-8ffd-4e1d-00f0d0734c71,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/21acc54c731964590959b762929dc422d730b287.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275170,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,20,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8799a92b-04c2-8ffd-4e1d-00f0d0734c71/manifest,,,,,27
乙女,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6ad4f954-a6d6-7759-65f4-6afc36a0649f.json,6ad4f954-a6d6-7759-65f4-6afc36a0649f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/6ad4f954-a6d6-7759-65f4-6afc36a0649f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/79b1d4def22dfa63b5a67010cb86907e0357a275.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275171,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,21,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6ad4f954-a6d6-7759-65f4-6afc36a0649f/manifest,,,,,58
玉鬘,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/26f158f0-357f-8e76-6091-53ed289a2026.json,26f158f0-357f-8e76-6091-53ed289a2026,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/26f158f0-357f-8e76-6091-53ed289a2026,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/97183b640dd05a166e2909ecb4f3f4cf94c99dd3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275172,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,22,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/26f158f0-357f-8e76-6091-53ed289a2026/manifest,,,,,47
初音,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d3bff430-3065-6f15-a2d7-24e72cc9113b.json,d3bff430-3065-6f15-a2d7-24e72cc9113b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/d3bff430-3065-6f15-a2d7-24e72cc9113b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7b859f6f1c3a903073355d2b485ea65941c1ecd5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275173,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,23,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d3bff430-3065-6f15-a2d7-24e72cc9113b/manifest,,,,,20
