タイトル,書名,書名ヨミ,著者,出版者,大きさ,請求記号,一般注記,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
御法,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8bfc069b-9a26-787a-42ae-7e6dc24478fd.json,8bfc069b-9a26-787a-42ae-7e6dc24478fd,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/8bfc069b-9a26-787a-42ae-7e6dc24478fd,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fb85b9f7c773cb9c9974d1ac448aff2adef0d21b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275190,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,40,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8bfc069b-9a26-787a-42ae-7e6dc24478fd/manifest,,,,,24
幻,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/dec28210-05cb-16c5-9a5a-826f853c74a2.json,dec28210-05cb-16c5-9a5a-826f853c74a2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/dec28210-05cb-16c5-9a5a-826f853c74a2,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0ffc31d972b1e527913d62f91363e4f6322d2819.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275191,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,41,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dec28210-05cb-16c5-9a5a-826f853c74a2/manifest,,,,,26
匂宮,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4635b7fd-33a5-8caa-122e-9cf327ac92ab.json,4635b7fd-33a5-8caa-122e-9cf327ac92ab,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/4635b7fd-33a5-8caa-122e-9cf327ac92ab,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9b6cecc92eadf73736457951c7ac55f5f05a52f0.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275192,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,42,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4635b7fd-33a5-8caa-122e-9cf327ac92ab/manifest,,,,,20
紅梅,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9a6cc2a6-4359-11bc-554a-dbad46b74fbb.json,9a6cc2a6-4359-11bc-554a-dbad46b74fbb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/9a6cc2a6-4359-11bc-554a-dbad46b74fbb,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/76ac4cf77c30e7a70af3501377f5b8d5b151d975.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275193,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,43,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9a6cc2a6-4359-11bc-554a-dbad46b74fbb/manifest,,,,,19
竹川,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/964d5e78-1f41-92f6-54a6-444c3b2c6d95.json,964d5e78-1f41-92f6-54a6-444c3b2c6d95,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/964d5e78-1f41-92f6-54a6-444c3b2c6d95,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5cd3e1a332a4c699b8500f9b563463358522fe71.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275194,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,44,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/964d5e78-1f41-92f6-54a6-444c3b2c6d95/manifest,,,,,48
橋姫,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0fde603d-149a-6507-9834-ea736bd1326f.json,0fde603d-149a-6507-9834-ea736bd1326f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/0fde603d-149a-6507-9834-ea736bd1326f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6b3b755c5f053769540e7a41047c93ee240fc11e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275195,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,45,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0fde603d-149a-6507-9834-ea736bd1326f/manifest,,,,,42
椎本,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/de6bc095-7487-3523-0293-8dc17de66bb0.json,de6bc095-7487-3523-0293-8dc17de66bb0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/de6bc095-7487-3523-0293-8dc17de66bb0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ababba44877078d708f23c0b91ac951d4770a0ea.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275196,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,46,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/de6bc095-7487-3523-0293-8dc17de66bb0/manifest,,,,,43
総角,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b8a38f32-0428-48bd-545d-f85e95959358.json,b8a38f32-0428-48bd-545d-f85e95959358,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/b8a38f32-0428-48bd-545d-f85e95959358,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8a87a3cc23fc2c5e3568975e6d68809741086428.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275197,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,47,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b8a38f32-0428-48bd-545d-f85e95959358/manifest,,,,,92
早蕨,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/83eac5f5-5cb6-1e49-856d-892a19e037c3.json,83eac5f5-5cb6-1e49-856d-892a19e037c3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/83eac5f5-5cb6-1e49-856d-892a19e037c3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2dab7f062f1dcbdb33833b090315caabeafd01d1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275198,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,48,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/83eac5f5-5cb6-1e49-856d-892a19e037c3/manifest,,,,,22
寄生,源氏物語,ゲンジ モノガタリ,[紫式部著],[書写地不明] : [書写者不明],54冊 ; 21cm,A00:6587,"青洲文庫書名は帙題簽による
巻次は題簽による
責任表示は『日本古典籍総合目録データベース』による
朱筆書き入れあり
虫損あり
旧請求記号 E23:48",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5c412f9d-0220-8f63-64ae-ca93a2328b20.json,5c412f9d-0220-8f63-64ae-ca93a2328b20,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/genji/document/5c412f9d-0220-8f63-64ae-ca93a2328b20,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/11690e1ac57987c9a83bc1e99d716695e15631d6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/275199,,http://iiif.io/api/presentation/2#rightToLeftDirection,,,49,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5c412f9d-0220-8f63-64ae-ca93a2328b20/manifest,,,,,88
