書名,書名よみ,他の書名,責任表示,出版,注記,分類,原本請求記号,マイクロフィルム番号,形態,通番,サムネイル,マニフェストURI,ID,所蔵,コレクション名,アイテムURL,利用条件,機械可読データ,サイトURL,viewingDirection,年
潮来図誌,イタコズシ,,"二峰編 ; 郷人蘆中狂渓序 ; 青山人,","二峰蔵梓 , 天保10 [1839] (序) 刊",,地誌,A00:洒竹:268,5-10-18,1冊;小,19,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/169745/itakoz001.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169745/manifest,d8273b57-732e-160d-17b2-149b20967c70,,江戸期俳諧書,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/d8273b57-732e-160d-17b2-149b20967c70,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169745,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/,http://iiif.io/api/presentation/2#rightToLeftDirection,
頭陀にしき,ズダニシキ,,六花庵乙児等著 ; 巴雪編 ; 芙蓉十里,"京都 : 橘屋治兵衛 , 明和1 [1764] (序) 刊",,俳諧,A00:洒竹:2408,2-28-3,1冊;中,2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/169764/zudani001.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169764/manifest,b4093e0d-6e3d-2c59-43f9-07fb7ac3365a,,江戸期俳諧書,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/b4093e0d-6e3d-2c59-43f9-07fb7ac3365a,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169764,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/,http://iiif.io/api/presentation/2#rightToLeftDirection,
俳諧秘要書,ハイカイ ヒヨウショ,,,写,奥書:延享四年三月十五日誹林机墨翁授与小林鶴子丈,俳諧,A00:洒竹:1310,5-16-2,2冊;中,20,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/169740/hiyo101.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169740/manifest,2d043411-3742-4133-62f0-3307a8c22ca2,,江戸期俳諧書,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/2d043411-3742-4133-62f0-3307a8c22ca2,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169740,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/,http://iiif.io/api/presentation/2#rightToLeftDirection,
枝うつり,エダウツリ,,"東潮編, 序",元禄10 [1697] (本文) 刊,,俳諧,A00:洒竹:419,7-23-11,1冊;中,21,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/169735/eda001.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169735/manifest,559eaffd-1492-1b94-6175-fb2f6da3a5a2,,江戸期俳諧書,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/559eaffd-1492-1b94-6175-fb2f6da3a5a2,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169735,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/,http://iiif.io/api/presentation/2#rightToLeftDirection,
芋かしら,イモガシラ,,露柱庵一宇編 ; 隣●下此林序 ; 百阿,"京都 : 橘屋治兵衛 , 享保12 [1727] (跋) 刊",,俳諧,A00:洒竹:168,9-2-12,1冊;中,22,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/169742/imo001.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169742/manifest,6bc3fe2b-2cd7-7a63-5f5d-c8921e481716,,江戸期俳諧書,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/6bc3fe2b-2cd7-7a63-5f5d-c8921e481716,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169742,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/,http://iiif.io/api/presentation/2#rightToLeftDirection,
新詠華紅葉,シンエイ ハナモミジ,,桑名屋甚兵衛編,"江戸 : 誉田屋久兵衛等 , 享保14 [1729] (奥) 刊",,俳諧,A00:洒竹:591,9-18-6,1冊;中,23,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/169751/momij001.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169751/manifest,74921972-a6fb-1735-26a3-300698aa6097,,江戸期俳諧書,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/74921972-a6fb-1735-26a3-300698aa6097,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169751,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/,http://iiif.io/api/presentation/2#rightToLeftDirection,
俳諧仮名遣,ハイカイ カナヅカイ,,"高井蘭山編, 序 ; 山崎久作校","江戸 : 須原屋伊八 , 弘化4  [1847] (奥) 刊",横本,俳諧・語学,A00:洒竹:686,9-20-13,1冊;小,24,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/169738/haika001.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169738/manifest,34b8cd0d-1edc-a011-6721-dd687954576b,,江戸期俳諧書,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/34b8cd0d-1edc-a011-6721-dd687954576b,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169738,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/,http://iiif.io/api/presentation/2#rightToLeftDirection,
除元帖,ジョゲンチョウ,,花実坊長隠編,"芹沢彦七(彫) , 寛保2 [1742] (奥) 刊",,俳諧,A00:洒竹:1825,10-9-21,1冊;小,25,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/169746/jogen001.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169746/manifest,5b7803ad-8f74-0ea3-6152-6b789fbf2c4f,,江戸期俳諧書,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/5b7803ad-8f74-0ea3-6152-6b789fbf2c4f,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169746,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/,http://iiif.io/api/presentation/2#rightToLeftDirection,
富士詣,フジモウデ,,"東潮編, 序","江戸 : 志村孫七 , 元禄5 [1692] (奥) 刊",,俳諧,A00:洒竹:3216,10-16-4,1冊;中,26,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/169736/fuji001.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169736/manifest,5aa5004e-495f-367a-8154-181062d29803,,江戸期俳諧書,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/5aa5004e-495f-367a-8154-181062d29803,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169736,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/,http://iiif.io/api/presentation/2#rightToLeftDirection,
誹諧五元集,ハイカイ ゴゲンシュウ,其角附合集,"宝晋斎其角著 ; 百萬坊旨原校, 序","江戸 ; 大坂 : 河内屋喜兵衛 , 延享4 [1747] (奥) 刊",,俳諧,E32:322,5-16-1,4冊;大,27,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/square/169737/gogen101.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/169737/manifest,c633cae1-2aab-2528-630b-8ae1deb27ce5,,江戸期俳諧書,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/document/c633cae1-2aab-2528-630b-8ae1deb27ce5,https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/169737,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/haikai/,http://iiif.io/api/presentation/2#rightToLeftDirection,
