タイトル,作成日,ID,文書種類,文書記述形式,枚数,カード目録,カテゴリ,所蔵,所属,内容,備考,登録年,エンティティ（Google Cloud Vision）,軍艦,特記事項,Transcription,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
〔書翰〕寒中見舞い及び第十五号掃海艇無事進水報告      〔発〕津村 均  〔宛〕平賀 譲,1934-02-14,81620101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔昭和9/2/14〕,2007,text|font|angle|paper|product|design|black and white|brand,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ad16f21e-8b7e-4c39-85a2-7cd0733bede3.json,ad16f21e-8b7e-4c39-85a2-7cd0733bede3,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/ad16f21e-8b7e-4c39-85a2-7cd0733bede3,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b57f62dfcfdd7230dd8a28a2b90064790b6b4a3c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112149,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112149/manifest,,,,,2
〔書翰〕暑中見舞い      〔発〕津村 均  〔宛〕平賀 譲,1933-07-12,81630101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔昭和8/7/12〕,2007,text|font|paper|brand|product|black and white,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9c1c5ce8-bf9e-4c4e-aed2-71d6742a9c29.json,9c1c5ce8-bf9e-4c4e-aed2-71d6742a9c29,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/9c1c5ce8-bf9e-4c4e-aed2-71d6742a9c29,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4c7735fd66835f79375639144f0668f88a1762c2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112150,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112150/manifest,,,,,2
〔書翰〕〔近況報告〕伏見進水絵葉書2枚      〔発〕津村 均  〔宛〕平賀 譲,,81640101,封書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔不明/3/25〕,2007,font|product|paper|notebook|angle|black and white|design|brand|text|monochrome|rectangle|paper product|monochrome photography|graphics|artwork|pattern|calligraphy|drawing,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/12a3a455-bcf8-46ca-9673-0414b9bc14fd.json,12a3a455-bcf8-46ca-9673-0414b9bc14fd,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/12a3a455-bcf8-46ca-9673-0414b9bc14fd,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8dbfb88d0c32395d33ceb4a15ee79e2136a6b738.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112151,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112151/manifest,,,,,7
〔書翰〕「黒潮」進水絵葉書      〔発〕津村 均  〔宛〕平賀 譲,,81650101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔不明/10/25〕,2007,text|font|brand|angle|paper|product|black and white|monochrome|monochrome photography|picture frame|stock photography|water|notebook|paper product|document,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0aa2a7dc-72ac-4560-aa43-49d6572d997d.json,0aa2a7dc-72ac-4560-aa43-49d6572d997d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/0aa2a7dc-72ac-4560-aa43-49d6572d997d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ca25cc09089a94864dbb4a8e18cd2f61627f49ca.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112152,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112152/manifest,,,,,4
〔書翰〕書翰      〔発〕帝国学士院  〔宛〕平賀 譲,1933-02-14,81660101,封書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔昭和8/2/14〕,2007,text|font|paper|black and white|product|calligraphy|document|design|line|monochrome|pattern|angle,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/caf26105-f365-46d6-90e7-2f002b943b7a.json,caf26105-f365-46d6-90e7-2f002b943b7a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/caf26105-f365-46d6-90e7-2f002b943b7a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5e74e8478e199b959ac7de36b7113b8b78fc3ac7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112153,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112153/manifest,,,,,4
〔書翰〕〔発〕東海勇蔵  〔宛〕平賀 譲,,81670101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔不明/12/18〕,2007,text|font|drawing|paper|brand|paper product|notebook|artwork|rectangle|product,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/dd5c9fb1-bdb7-46d0-bae1-16ec878649ce.json,dd5c9fb1-bdb7-46d0-bae1-16ec878649ce,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/dd5c9fb1-bdb7-46d0-bae1-16ec878649ce,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8ab84311e70c9c6d6d43aed9c9c1b31728a61acf.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112154,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112154/manifest,,,,,2
〔書翰〕〔42.8.13〕消印 宛名 麹町永田町      〔発〕東海勇蔵  〔宛〕平賀 譲,1909-08-13,81680101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔明治42/8/13〕,2007,text|font|paper|brand|black and white|monochrome|monochrome photography|history|angle|artwork|rectangle|drawing,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/67e0c141-9615-43a6-aa8b-9baf3935c1ce.json,67e0c141-9615-43a6-aa8b-9baf3935c1ce,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/67e0c141-9615-43a6-aa8b-9baf3935c1ce,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2f9d90f55eaec5ba2913c3afceeacb62ccf64cbf.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112155,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112155/manifest,,,,,3
〔書翰〕〔発〕東海勇蔵  〔宛〕平賀 譲,,81690101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔不明/12/10〕,2007,text|font|paper|angle|brand|document|product|diagram|rectangle|photograph|black and white|photography|monochrome photography|monochrome,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ebea82c2-cd66-443b-947f-aaebb1b6bf15.json,ebea82c2-cd66-443b-947f-aaebb1b6bf15,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/ebea82c2-cd66-443b-947f-aaebb1b6bf15,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/41b147a4c72726e5d52b6334c19b197da09d6a6c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112156,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112156/manifest,,,,,2
〔書翰〕〔1910.5.2〕消印      〔発〕東海勇蔵  〔宛〕平賀 譲,1910-05-02,81700101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔明治43/5/2〕,2007,text|font|paper|document|angle|brand|rectangle|black and white|drawing|monochrome|monochrome photography,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6753c923-6d13-4d3b-ad3e-373de4373e92.json,6753c923-6d13-4d3b-ad3e-373de4373e92,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/6753c923-6d13-4d3b-ad3e-373de4373e92,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fba0739a84069319dc729a80647a4cd14e61e7b7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112157,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112157/manifest,,,,,2
〔書翰〕〔8.3.14〕消印 青山南町      〔発〕遠山光一  〔宛〕平賀 譲,,81710101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|document|angle|black and white|drawing|artwork|monochrome|monochrome photography|history,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/726d99b6-217c-4234-a62e-e7416634eded.json,726d99b6-217c-4234-a62e-e7416634eded,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/726d99b6-217c-4234-a62e-e7416634eded,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d06a47c468ce4b0ea385216e31cb8f07d1c819cd.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112158,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112158/manifest,,,,,2
〔書翰〕〔発〕徳川武定  〔宛〕平賀 譲,,81720101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔昭和/?/?〕,2007,text|font|black and white|paper|drawing|document|artwork|watercraft|monochrome|brand,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d9743b6d-b1a7-4e76-b645-275d1b145835.json,d9743b6d-b1a7-4e76-b645-275d1b145835,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/d9743b6d-b1a7-4e76-b645-275d1b145835,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7bdf5d80c0df0b7b67ebc40b135111f48cd27e2a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112159,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112159/manifest,,,,,2
〔書翰〕〔発〕徳川武定  〔宛〕平賀 譲,,81730101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|document|black and white|monochrome photography|monochrome|brand|graphics|stock photography|paper product,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7a05506f-22db-467e-9896-928ecec00089.json,7a05506f-22db-467e-9896-928ecec00089,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/7a05506f-22db-467e-9896-928ecec00089,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9531eebf8f097c350997f04db33d836f9cea4e13.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112160,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112160/manifest,,,,,2
〔書翰〕〔発〕徳川武定  〔宛〕平賀 譲,,81740101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|angle|rectangle|document|photograph|black and white|monochrome photography|monochrome|brand,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/28b579be-0336-47f7-ad52-5cfd8e54316b.json,28b579be-0336-47f7-ad52-5cfd8e54316b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/28b579be-0336-47f7-ad52-5cfd8e54316b,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1d876f20c7f9b00b58d6936b71db787d2d667b41.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112161,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112161/manifest,,,,,2
〔書翰〕〔病気見舞礼状及び快癒内祝送状〕      〔発〕徳川武定  〔宛〕平賀 譲,,81750101,封書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔不明/3/3〕,2007,font|black and white|drawing|text|calligraphy|handwriting|monochrome|line|writing|angle,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/113acfc5-25ea-4017-9dd0-98420d773a8d.json,113acfc5-25ea-4017-9dd0-98420d773a8d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/113acfc5-25ea-4017-9dd0-98420d773a8d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1d177986883a7f4a26bd59ca707766258ac015ef.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112162,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112162/manifest,,,,,4
〔書翰〕〔発〕徳川武定  〔宛〕平賀 譲,,81760101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔不明/12/3〕,2007,text|font|paper|angle|product|black and white|monochrome|monochrome photography|brand,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0c8929fd-2633-4365-8427-ef21880b421c.json,0c8929fd-2633-4365-8427-ef21880b421c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/0c8929fd-2633-4365-8427-ef21880b421c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f73e0ff9c3685127a617e765114a61b9bded5be9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112163,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112163/manifest,,,,,2
〔書翰〕〔3枚〕      〔発〕徳川武定  〔宛〕平賀 譲,,81770101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|black and white|angle|brand|product|drawing|monochrome|artwork|photograph|photography|monochrome photography|history|stock photography,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/469cbc95-477c-4afc-badf-79223ff561ca.json,469cbc95-477c-4afc-badf-79223ff561ca,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/469cbc95-477c-4afc-badf-79223ff561ca,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2686543cf63c215bad66af1615e840b5531b266f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112164,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112164/manifest,,,,,6
〔書翰〕〔2枚〕      〔発〕徳川武定  〔宛〕平賀 譲,,81780101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔不明/7/5〕,2007,text|font|line|paper|angle|music|document|pattern|photograph|black and white|photography|monochrome photography|monochrome|brand|artwork|drawing|stock photography|white|sky|picture frame,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7106f463-ccb9-4d7a-b6c0-fe4831827227.json,7106f463-ccb9-4d7a-b6c0-fe4831827227,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/7106f463-ccb9-4d7a-b6c0-fe4831827227,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2d11e4843d53fe5e8dc1831d4faacf5873482f67.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112165,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112165/manifest,,,,,4
〔書翰〕〔後切れ〕      〔発〕徳川武定  〔宛〕平賀 譲,,81790101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|angle|rectangle|product|brand|photograph|black and white|photography|monochrome photography|monochrome|picture frame|stock photography|drawing|artwork,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/70e0923d-5c34-4628-97bf-f81ccd9ece07.json,70e0923d-5c34-4628-97bf-f81ccd9ece07,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/70e0923d-5c34-4628-97bf-f81ccd9ece07,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b01da31588aa52bd610f88b7a1afad647469bebb.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112166,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112166/manifest,,,,,2
〔書翰〕孫の誕生を祝う      〔発〕徳川武定  〔宛〕平賀 譲,,81800101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔不明/3/吉日〕,2007,text|font|paper|angle|drawing|photograph|black and white|monochrome photography|monochrome|brand,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/46de5d44-38d8-473b-bc4b-4e592c4e5d43.json,46de5d44-38d8-473b-bc4b-4e592c4e5d43,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/46de5d44-38d8-473b-bc4b-4e592c4e5d43,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cdf5df12d159c1ed2124e5394684af0ae0f3f9fd.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112167,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112167/manifest,,,,,2
〔書翰〕〔後切れ?〕      〔発〕徳川武定  〔宛〕平賀 譲,,81810101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔不明/12/29〕,2007,text|font|paper|angle|photograph|black and white|monochrome photography|monochrome|artwork|brand|stock photography|paper product|drawing,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/324e166d-a6f6-4e5e-bce4-ff952ef76df5.json,324e166d-a6f6-4e5e-bce4-ff952ef76df5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/324e166d-a6f6-4e5e-bce4-ff952ef76df5,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8c047aaed4fa7d00eca2fda691df86157b94990e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112168,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112168/manifest,,,,,2
〔書翰〕〔9.7.30〕消印 暑中見舞      〔発〕徳川武定  〔宛〕平賀 譲,,81820101,葉書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,〔不明/7/29〕,2007,text|font|angle|paper|document|photograph|black and white|photography|monochrome photography|monochrome|drawing|artwork|stock photography,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3b471c7d-1770-4f28-b118-2f99ea04cea7.json,3b471c7d-1770-4f28-b118-2f99ea04cea7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/3b471c7d-1770-4f28-b118-2f99ea04cea7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a21de0701cef1e1d52166baf3fcae7ed58c33e21.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112169,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112169/manifest,,,,,2
〔書翰〕〔10.7.6〕消印 〔招待御礼〕 宛名青山南町5-45      〔発〕徳川武定  〔宛〕平賀 譲,,81830101,封書,,,書翰,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|brand|product|black and white|crane like bird|bird|beak|crane|water bird,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bd47fccf-c0db-4bb6-b5ad-b2eb5e25f52d.json,bd47fccf-c0db-4bb6-b5ad-b2eb5e25f52d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/bd47fccf-c0db-4bb6-b5ad-b2eb5e25f52d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6f128b68cff777c55743c8a64ca31ec0f2d960e2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/112170,"東京大学柏図書館 Kashiwa Library in the University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/112170/manifest,,,,,4
