タイトル,作成日,ID,文書種類,文書記述形式,枚数,カード目録,カテゴリ,所蔵,所属,内容,備考,登録年,エンティティ（Google Cloud Vision）,軍艦,特記事項,Transcription,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
昭和三年八月 日 俵万国工業会議論文委員長殿 論文委員 近藤基樹・末廣恭二・山内不二雄・平賀譲,1928-08-01,10020601,平賀(等)発書翰,タイプ,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,1928/8,2007,text|font|paper|brand|pattern|product,,,"&lt;date when=""1928-08-99""&gt;昭和三年八月 日&lt;/date&gt;
儀萬國工業會議論文委員長殿
&lt;lb/&gt;論文委員
&lt;lb/&gt;&lt;persName corresp=""#近藤基樹""&gt;近藤 基樹&lt;/persName&gt;
&lt;lb/&gt;&lt;persName corresp=""#末廣恭二""&gt;末廣 恭二&lt;/persName&gt;
&lt;lb/&gt;&lt;persName corresp=""#山内不二雄""&gt;山内 不二雄&lt;/persName&gt;
&lt;lb/&gt;&lt;persName corresp=""#平賀譲""&gt;平賀 譲&lt;/persName&gt;

&lt;lb/&gt;拜啓 船舶及舶用機關ニ關スル邦人ノ件追加トシテ小野德三郎氏ニ提
&lt;lb/&gt;出方依頼致度候間 ""Technical programme"" 及 ""Regulation"" 添附ノ上御發送被
&lt;lb/&gt;■下度此段及御依賴候 敬具",http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/17dd54b1-305b-4592-a82b-4c885fda28fe.json,17dd54b1-305b-4592-a82b-4c885fda28fe,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/17dd54b1-305b-4592-a82b-4c885fda28fe,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cbca1874f06e2f7ad85619c4e9b666a2c8895898.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107804,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/17dd54b1-305b-4592-a82b-4c885fda28fe/manifest,,,,,1
三.七.二六.,1928-07-26,10020602,送付状?,海軍罫紙ペン書き,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|product|paper|angle,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/26159557-85a7-4f81-a798-89ba5e44bed0.json,26159557-85a7-4f81-a798-89ba5e44bed0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/26159557-85a7-4f81-a798-89ba5e44bed0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/49bf504a4f3fa26a3dd46eeda3b3a4a02dcaf405.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107805,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/26159557-85a7-4f81-a798-89ba5e44bed0/manifest,,,,,1
昭和三年七月廿七日 山本造船協会主事殿 万国工業会議論文委員 近藤基樹・末廣恭二・山内不二雄・平賀譲,1928-07-27,10020603,平賀(等)発書翰,タイプ,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|pattern|product|paper|brand|angle|rectangle,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0053c825-261e-43de-9def-e783c1e59af1.json,0053c825-261e-43de-9def-e783c1e59af1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/0053c825-261e-43de-9def-e783c1e59af1,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fd3cfd77a5f081a9bda8093942cc38cb72411e15.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107806,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0053c825-261e-43de-9def-e783c1e59af1/manifest,,,,,1
昭和三年七月廿七日 殿 万国工業会議論文委員 近藤基樹・末廣恭二・山内不二雄・平賀譲,1928-07-27,10020604,平賀(等)発書翰,タイプ,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|line|design|pattern|product|paper|rectangle|angle|brand,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/df7eeaa6-d620-4faf-8468-a7e8c0f5ea18.json,df7eeaa6-d620-4faf-8468-a7e8c0f5ea18,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/df7eeaa6-d620-4faf-8468-a7e8c0f5ea18,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/477c93167839b4b65016406ec228a6111acec709.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107807,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/df7eeaa6-d620-4faf-8468-a7e8c0f5ea18/manifest,,,,,1
第二表〔人名一覧〕,,10020605,人名一覧,タイプ,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|design|line|product|pattern|paper|brand,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/554518f9-311d-49f4-8d6a-69b232beee9e.json,554518f9-311d-49f4-8d6a-69b232beee9e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/554518f9-311d-49f4-8d6a-69b232beee9e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/822cd660904d441deb0c389c7c0bf002ea41be36.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107808,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/554518f9-311d-49f4-8d6a-69b232beee9e/manifest,,,,,1
〔平賀宛書翰〕,1928-07-21,10020606,平賀宛書翰,手書き謄写版,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|black and white|paper|document|pattern,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5dccd6e1-dd7f-4a51-863f-11311062bb65.json,5dccd6e1-dd7f-4a51-863f-11311062bb65,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/5dccd6e1-dd7f-4a51-863f-11311062bb65,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6e408eba17f29eb2885a2c14c288234057d6fe90.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107809,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5dccd6e1-dd7f-4a51-863f-11311062bb65/manifest,,,,,1
昭和三年七月廿七日 俵万国工業会議論文委員長殿 論文委員 近藤基樹・末廣恭二・山内不二雄・平賀譲,1928-07-27,10020701,平賀(等)発書翰,タイプ,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,控,2007,text|font|design|paper|product|pattern|angle|brand,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5096927e-ef22-4a0e-bfa4-8eb496819007.json,5096927e-ef22-4a0e-bfa4-8eb496819007,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/5096927e-ef22-4a0e-bfa4-8eb496819007,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3a779e9c0ed2b3663b084c6681d9c93769ee8480.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107810,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5096927e-ef22-4a0e-bfa4-8eb496819007/manifest,,,,,1
昭和三年七月廿七日 殿 万国工業会議論文委員 近藤基樹・末廣恭二・山内不二雄・平賀譲,1928-07-27,10020702,平賀(等)発書翰,タイプ,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|design|pattern|product|brand|paper|rectangle,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/07158e24-ebdb-4a39-a2aa-9401412d5cab.json,07158e24-ebdb-4a39-a2aa-9401412d5cab,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/07158e24-ebdb-4a39-a2aa-9401412d5cab,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bbe2b9578b05713f2fcac36e92bf4d21d45caeee.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107811,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/07158e24-ebdb-4a39-a2aa-9401412d5cab/manifest,,,,,1
第一表,,10020703,人名一覧,タイプ,,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|design|product|pattern|brand,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f82fcdb8-bdd4-4232-8609-f90a41cb27e0.json,f82fcdb8-bdd4-4232-8609-f90a41cb27e0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/f82fcdb8-bdd4-4232-8609-f90a41cb27e0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1b63c3bd110d0684b0411f48c13b2e75d8505391.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107812,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f82fcdb8-bdd4-4232-8609-f90a41cb27e0/manifest,,,,,1
昭和三年六月十三日 俵万国工業会議論文委員長殿 論文委員 近藤基樹・末廣恭二・山内不二雄・平賀譲,1928-06-13,10020801,平賀(等)発書翰,タイプ,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|design|line|pattern|diagram|product|paper|angle|brand,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/524bfebf-b103-498b-852d-e10125cad23f.json,524bfebf-b103-498b-852d-e10125cad23f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/524bfebf-b103-498b-852d-e10125cad23f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/003800f5ab66e0bf92ebd1ca0a1617040d2e5f22.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107813,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/524bfebf-b103-498b-852d-e10125cad23f/manifest,,,,,1
"Esq.,",,10020802,書翰,英文タイプ,1枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|document|brand|black and white,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/20c04cea-0a32-4e56-9a0f-5bc00c425b05.json,20c04cea-0a32-4e56-9a0f-5bc00c425b05,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/20c04cea-0a32-4e56-9a0f-5bc00c425b05,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c6b05f8e0e34a00a6ff11c5276d839eccaba247b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107814,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/20c04cea-0a32-4e56-9a0f-5bc00c425b05/manifest,,,,,1
〔講演題目?〕,,10020803,講演題目?,タイプ,4枚,〔万国工業会議関係〕等,その他資料:日記・書翰・写真・学位記など,東京大学柏図書館,,,,2007,text|font|paper|document|product|angle|paper product|brand|black and white,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/33a77eae-a62e-41ff-8719-8eafc5f7773d.json,33a77eae-a62e-41ff-8719-8eafc5f7773d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/document/33a77eae-a62e-41ff-8719-8eafc5f7773d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c61f0e4930fbebb9874ac5ff0d6aff054373b165.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/107815,"東京大学柏図書館 Kashiwa Library in The University of Tokyo, JAPAN",,,平賀譲デジタルアーカイブ,,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/33a77eae-a62e-41ff-8719-8eafc5f7773d/manifest,,,,,4
