タイトル	請求記号	画像注記	シリーズ名	編著者	出版社	サイズ	iiif viewer	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
dcterms:title	dcndl:callNumber	archiveshub:note	dcndl:seriesTitle	dcterms:creator	dcterms:publisher	dcterms:extent	iiif viewer	bibo:identifier	dcterms:isPartOf	dcterms:relation	dcterms:rights	foaf:thumbnail	rdfs:seeAlso	sc:attributionLabel	sc:viewingDirection	sc:viewingHint	uterms:databaseLabel	uterms:sort	uterms:year	uterms:manifestUri	uterms:searchApiUri	uterms:annotedManifest	uterms:linkToTapas	uterms:rtf	8552
(長途旅行(関西2府11県)関係資料)	GP020:C56			宮武外骨		1綴 18×26cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3e1e6716-3670-4a7d-952f-814fbbde2f57.json	3e1e6716-3670-4a7d-952f-814fbbde2f57	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/3e1e6716-3670-4a7d-952f-814fbbde2f57	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d0b3fcb461dc650ee58611683fd6b21570b8b48a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72616	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	1		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3e1e6716-3670-4a7d-952f-814fbbde2f57/manifest					54
東北旅行日記	GP020:To25	画像は一部のみ。明治新聞雑誌文庫館内にて全部閲覧可。		宮武外骨		1綴 11×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a494dcdb-2361-449e-9241-bbf05e70a7c1.json	a494dcdb-2361-449e-9241-bbf05e70a7c1	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/a494dcdb-2361-449e-9241-bbf05e70a7c1	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8218279323742c6ee0a21c91a1e00c95b10ee1bc.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72624	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	10		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a494dcdb-2361-449e-9241-bbf05e70a7c1/manifest					29
切抜き	GP040:Ko44:06		古今奇語集成			2点	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a5c0bf02-8b60-473e-81f6-94495cf23c22.json	a5c0bf02-8b60-473e-81f6-94495cf23c22	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/a5c0bf02-8b60-473e-81f6-94495cf23c22	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a6ee450abd83a6a780d6e0eda3ee173bbca1e1ed.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72707	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	100		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a5c0bf02-8b60-473e-81f6-94495cf23c22/manifest					3
雑誌頁(部分)	GP040:Ko44:07		古今奇語集成			1枚 18×24cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d0bd2718-aaf8-48ac-9baa-9622cc473378.json	d0bd2718-aaf8-48ac-9baa-9622cc473378	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/d0bd2718-aaf8-48ac-9baa-9622cc473378	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e6210c8cf11bb9967931a2652cfa17a4f09cc129.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72708	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	101		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d0bd2718-aaf8-48ac-9baa-9622cc473378/manifest					1
生殖器崇拝の分布	GP040:Ko44:08		古今奇語集成			1枚 22×35cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/48565c21-80dc-4573-a06c-36dd51a9667e.json	48565c21-80dc-4573-a06c-36dd51a9667e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/48565c21-80dc-4573-a06c-36dd51a9667e	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ad2cb120c657c19884b4dcb6e862a0ca13f89e3e.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72709	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	102		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/48565c21-80dc-4573-a06c-36dd51a9667e/manifest					1
原稿	GP040:Ko44:09		古今奇語集成			2点 25×33cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ff4ac676-4e9b-4df8-a167-21e419f334d6.json	ff4ac676-4e9b-4df8-a167-21e419f334d6	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/ff4ac676-4e9b-4df8-a167-21e419f334d6	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8fa55117b8441924a077fc1a969b8f41d309acb7.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72710	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	103		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ff4ac676-4e9b-4df8-a167-21e419f334d6/manifest					3
「古今奇語集成」頁(部分)	GP040:Ko44:10		古今奇語集成			2点 22×25cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ebbce4b2-f339-4da3-ae6c-4e7924ef4e8b.json	ebbce4b2-f339-4da3-ae6c-4e7924ef4e8b	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/ebbce4b2-f339-4da3-ae6c-4e7924ef4e8b	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bdc3756760984a5aa985716baebb4b4d50b1af24.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72711	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	104		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ebbce4b2-f339-4da3-ae6c-4e7924ef4e8b/manifest					2
[石碑関係新聞雑誌切抜類]	GP040:Se28					35点 33cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/394db6dc-8cee-4bda-97c6-0f537533fea7.json	394db6dc-8cee-4bda-97c6-0f537533fea7	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/394db6dc-8cee-4bda-97c6-0f537533fea7	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b14ba22b3f240d1ab8c7de8bf7be982d753e493f.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72712	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	105		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/394db6dc-8cee-4bda-97c6-0f537533fea7/manifest					68
新案著作と講演	GP040:Sh59			宮武外骨		1綴 13×9cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a7e471f8-be89-4260-a9dc-1e613cf98a30.json	a7e471f8-be89-4260-a9dc-1e613cf98a30	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/a7e471f8-be89-4260-a9dc-1e613cf98a30	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/41567d55a07f00d71b246fce9a31b512cf19ba8b.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72713	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	106		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a7e471f8-be89-4260-a9dc-1e613cf98a30/manifest					50
新聞雑誌切抜(1)	GP040:Sh592:01					1綴 26×18cm 18丁	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/325fc71c-9aea-4fbd-a7b8-5cf97ed30a96.json	325fc71c-9aea-4fbd-a7b8-5cf97ed30a96	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/325fc71c-9aea-4fbd-a7b8-5cf97ed30a96	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/35ec13144e9ec89d4ae5d51feddcec2d14aec1e8.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72714	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	107		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/325fc71c-9aea-4fbd-a7b8-5cf97ed30a96/manifest					68
新聞雑誌切抜(2)	GP040:Sh592:02					1綴 26×36cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/97b34efa-7543-4629-8511-f8435e03e516.json	97b34efa-7543-4629-8511-f8435e03e516	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/97b34efa-7543-4629-8511-f8435e03e516	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cbfe3a1a41d09e779ddf0fd3043083f9822ae0f7.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72715	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	108		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/97b34efa-7543-4629-8511-f8435e03e516/manifest					20
渉書雑抄此花	GP040:Sh96					1綴 29×22cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4e34bdd4-6afe-4a73-b846-e7105f569c16.json	4e34bdd4-6afe-4a73-b846-e7105f569c16	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/4e34bdd4-6afe-4a73-b846-e7105f569c16	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6c3339cb1fb1faecef64c2e99f49e3bf0075affa.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72716	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	109		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4e34bdd4-6afe-4a73-b846-e7105f569c16/manifest					16
随筆・我時・雑記	GP040:Z6			宮武外骨		1綴(34丁) /形態:冊子 /24cm×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ca437859-98e0-4af7-a4fd-ac0ddf1d51d7.json	ca437859-98e0-4af7-a4fd-ac0ddf1d51d7	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/ca437859-98e0-4af7-a4fd-ac0ddf1d51d7	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/98ec2e5c4c175dfda37a9a066700fb7776f862a8.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72717	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	111		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ca437859-98e0-4af7-a4fd-ac0ddf1d51d7/manifest					99
在阪時代の投書集	GP040:Z12			宮武外骨		1綴(12丁) /形態:冊子 /12cm×30cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4db44f87-0a65-4e79-8d6b-8f592a23dcb7.json	4db44f87-0a65-4e79-8d6b-8f592a23dcb7	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/4db44f87-0a65-4e79-8d6b-8f592a23dcb7	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3274c0c80cb6d2330f9ee9c2daf261fbd7fc1cdf.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72718	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	112		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4db44f87-0a65-4e79-8d6b-8f592a23dcb7/manifest					25
郷土博物館	GP060:Ky2			宮武外骨		1綴(25丁) /形態:冊子 /12cm×8cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/86ec59ac-b4c4-413a-81db-6a8e9a9c872c.json	86ec59ac-b4c4-413a-81db-6a8e9a9c872c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/86ec59ac-b4c4-413a-81db-6a8e9a9c872c	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4d086b994edd1327c1609e527fc5b4c15047ee03.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72719	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	113		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/86ec59ac-b4c4-413a-81db-6a8e9a9c872c/manifest					21
[全国官員録一覧]	GP080:G14:01		[外骨覚書]	宮武外骨		1綴(30丁) /形態:冊子 /12cm×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f9b12318-7587-4590-a898-002efd81511f.json	f9b12318-7587-4590-a898-002efd81511f	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/f9b12318-7587-4590-a898-002efd81511f	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d103b3be1afd964d20de78e0456caa13ce5bfe7c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72720	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	114		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f9b12318-7587-4590-a898-002efd81511f/manifest					30
姑息縣舊藩飛地控	GP080:G14:02		[外骨覚書]	宮武外骨		1綴(54丁) /形態:冊子 /12cm×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4c1c7420-0a35-40a1-9d52-969253d70017.json	4c1c7420-0a35-40a1-9d52-969253d70017	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/4c1c7420-0a35-40a1-9d52-969253d70017	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/854e1d5c243e6cb31f1b0d8d3de906750b34c432.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72721	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	115		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4c1c7420-0a35-40a1-9d52-969253d70017/manifest					55
此中に有り	GP080:G14:03		[外骨覚書]	宮武外骨		1綴(81丁) /形態:冊子 /11.5cm×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e52d7770-1f38-488a-b0f2-38f34dede84e.json	e52d7770-1f38-488a-b0f2-38f34dede84e	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/e52d7770-1f38-488a-b0f2-38f34dede84e	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/85ad723f9657c29226c0e7f5a92ba39a4b79cb3b.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72722	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	116		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e52d7770-1f38-488a-b0f2-38f34dede84e/manifest					87
職業大全	GP080:G14:04		[外骨覚書]	宮武外骨		1綴(22丁) /形態:冊子 /12cm×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/51925aa4-6ae1-4ef2-9271-4bd56e7e9277.json	51925aa4-6ae1-4ef2-9271-4bd56e7e9277	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/51925aa4-6ae1-4ef2-9271-4bd56e7e9277	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a5a574c11cd85c4ea2b41401cf96645fba78317b.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72723	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	117		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/51925aa4-6ae1-4ef2-9271-4bd56e7e9277/manifest					25
新古談語	GP080:G14:05		[外骨覚書]	宮武外骨		1綴(45丁) /形態:冊子 /11.5cm×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/30666d06-dd7f-4a8d-b734-806a9e047acc.json	30666d06-dd7f-4a8d-b734-806a9e047acc	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/30666d06-dd7f-4a8d-b734-806a9e047acc	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f727ea4815593fd1d1b110d995dd4aa2c7cf537a.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72724	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	118		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/30666d06-dd7f-4a8d-b734-806a9e047acc/manifest					50
新聞雜誌-関係事實略記	GP080:G14:06		[外骨覚書]	宮武外骨		1綴(75丁) /形態:冊子 /12cm×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/edd63e57-824d-4d12-907a-fba2804d1233.json	edd63e57-824d-4d12-907a-fba2804d1233	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/edd63e57-824d-4d12-907a-fba2804d1233	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c3e082f2ab69f4b072810c133a4468a48e09b808.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72725	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	119		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/edd63e57-824d-4d12-907a-fba2804d1233/manifest					100
徳川時代 絶版圖書展覽目録	GP020:To36	画像は一部のみ。明治新聞雑誌文庫館内にて全部閲覧可。	[徳川時代絶版図書展覧会関係資料(筆禍史料 来館者)]	宮武外骨	雅俗文庫	1綴(3丁) /形態:冊子 /19cm×13cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1c8473e0-0c84-4601-a2b7-ea85bfc0e5e6.json	1c8473e0-0c84-4601-a2b7-ea85bfc0e5e6	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/1c8473e0-0c84-4601-a2b7-ea85bfc0e5e6	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bab78007c56e2aae096047f91ad25ada44711479.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72625	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	12		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1c8473e0-0c84-4601-a2b7-ea85bfc0e5e6/manifest					12
川柳學 組織案	GP080:G14:07		[外骨覚書]	宮武外骨		1綴(17丁) /形態:冊子 /11.5cm×16cm	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9eed9721-e58f-468e-b872-6ca70ce96f17.json	9eed9721-e58f-468e-b872-6ca70ce96f17	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/gaikotsu/document/9eed9721-e58f-468e-b872-6ca70ce96f17	http://www.meiji.j.u-tokyo.ac.jp/digitalarchive_reuse_meijibunko.html	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4bc107ddcf022cea239b98a1cab0306b9fd572c9.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/72726	明治新聞雑誌文庫 Meiji Shinbun Zasshi Bunko in the University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		宮武外骨蒐集資料(外骨書函パンフレット類)	120		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9eed9721-e58f-468e-b872-6ca70ce96f17/manifest					20
