タイトル,書名よみ,形態,他の書名,注記,分類,OPAC,請求記号,Source Identifier,Date,Publisher,Type,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:transcription,dcterms:extent,dcndl:alternative,archiveshub:note,dcterms:subject,dcterms:references,dcndl:callNumber,dcndl:sourceIdentifier,dcterms:date,dcterms:publisher,dcterms:type,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,50331
風流仕出男,ふうりゅうしだしおとこ,3巻合綴1冊 : 挿絵 ; 26cm,,"刊記 : 寶永三年, 伊澤一郎左衞門",西鶴本以外,,E22:776:222|A00:霞亭:222,東京大学総合図書館霞亭文庫目録222,寶永三年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9d40526b-6b22-44d0-9f88-0ffb2a4ae5bf.json,9d40526b-6b22-44d0-9f88-0ffb2a4ae5bf,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/9d40526b-6b22-44d0-9f88-0ffb2a4ae5bf,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7c82e1e3fc0cb02dd7a264a54c9e66daa748b61e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39791,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0222,1706,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9d40526b-6b22-44d0-9f88-0ffb2a4ae5bf/manifest,,,,,49
風流曲三味線 / 江島其磧作,ふうりゅうきょくじゃみせん,6巻6冊 : 挿絵 ; 13×19cm,,"刊記 : 寶永三年, 八文字屋八左衞門板",西鶴本以外,,E22:776:223|A00:霞亭:223,東京大学総合図書館霞亭文庫目録223,寶永三年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/70618b4b-100b-433c-9552-c8d1c1a23531.json,70618b4b-100b-433c-9552-c8d1c1a23531,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/70618b4b-100b-433c-9552-c8d1c1a23531,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ff40918392cafc99bd2b31358e818e7bfbf3aa52.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39792,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0223,1706,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/70618b4b-100b-433c-9552-c8d1c1a23531/manifest,,,,,261
新色三ツ巴,しんしょくみつどもえ,14丁 : 挿絵 ; 26cm,,6巻6冊中、巻一のみ|刊年 : [宝永三年],西鶴本以外,,E22:776:224|A00:霞亭:224,東京大学総合図書館霞亭文庫目録224,宝永三年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8d73d9e8-e1f4-4b11-8781-5bbde9a2eb85.json,8d73d9e8-e1f4-4b11-8781-5bbde9a2eb85,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/8d73d9e8-e1f4-4b11-8781-5bbde9a2eb85,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3e814bed6b885ea99bea14c199060d4844f9980c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39793,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0224,1706,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8d73d9e8-e1f4-4b11-8781-5bbde9a2eb85/manifest,,,,,17
風流飛鳥川,ふうりゅうあすかがわ,4冊 : 挿絵 ; 26cm,,刊年 : [宝永三年以降],西鶴本以外,,E22:776:225|A00:霞亭:225,東京大学総合図書館霞亭文庫目録225,,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b8e7a0e9-7e24-4190-99b7-fb748e647c85.json,b8e7a0e9-7e24-4190-99b7-fb748e647c85,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/b8e7a0e9-7e24-4190-99b7-fb748e647c85,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e9317c677381b38f93fe4f37547831f84e445517.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39794,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0225,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b8e7a0e9-7e24-4190-99b7-fb748e647c85/manifest,,,,,62
待宵物語,まつよいものがたり,4巻3冊 : 挿絵 ; 23cm,,巻一・巻二を合綴|刊年 : [宝永三年以降],西鶴本以外,,E22:776:226|A00:霞亭:226,東京大学総合図書館霞亭文庫目録226,,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5608c79f-5652-466a-a314-6ced7f743335.json,5608c79f-5652-466a-a314-6ced7f743335,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/5608c79f-5652-466a-a314-6ced7f743335,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0360fe2c61f7089e9e0d03b28c36aaf3e2e1380e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39795,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0226,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5608c79f-5652-466a-a314-6ced7f743335/manifest,,,,,78
色道懺悔男 / 善教寺猿算作,しきどうざんげおとこ,6巻6冊 : 挿絵 ; 26cm,大みね山上参色道懺悔男,刊記 : 于時寶永四|刊年 : 宝永四年|「大みね山上参色道懺悔男」は題簽から,西鶴本以外,,E22:776:227|A00:霞亭:227,東京大学総合図書館霞亭文庫目録227,宝永四年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8b1f2010-7937-4e92-8ae0-c0ac77ed103a.json,8b1f2010-7937-4e92-8ae0-c0ac77ed103a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/8b1f2010-7937-4e92-8ae0-c0ac77ed103a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9f488c2ab830f1ddf40d31c647a8f8826f911c94.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39796,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0227,1707,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8b1f2010-7937-4e92-8ae0-c0ac77ed103a/manifest,,,,,123
男色比翼鳥 / 東の紙子作,なんしょくひよくのとり,6巻合綴1冊 : 挿絵 ; 26cm,和漢若道鑑|衆道傳來記,"「和漢若道鑑」・「衆道傳來記」は見返しから|刊記 : 寶永四年, 東武書肆 芝神明 山田屋三四郎",西鶴本以外,,E22:776:228|A00:霞亭:228,東京大学総合図書館霞亭文庫目録228,寶永四年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a2500e9a-5af4-4eb7-bb21-8ddf58513b32.json,a2500e9a-5af4-4eb7-bb21-8ddf58513b32,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/a2500e9a-5af4-4eb7-bb21-8ddf58513b32,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2dea907718a8bdd9999bb9d5b35696434ea85051.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39797,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0228,1707,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a2500e9a-5af4-4eb7-bb21-8ddf58513b32/manifest,,,,,91
若草源氏物語 / 梅翁作,わかくさげんじものがたり,6巻6冊 : 挿絵 ; 26cm,,"刊記 : 寶永四, 須藤權兵衞壽行|刊年 : 宝永四年",西鶴本以外,,E22:776:229|A00:霞亭:229,東京大学総合図書館霞亭文庫目録229,宝永四年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/39752d44-800a-4f45-980c-003b84c27995.json,39752d44-800a-4f45-980c-003b84c27995,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/39752d44-800a-4f45-980c-003b84c27995,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d2ef9400fb2d6e1621e22f1d02d6bf8df6a21958.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39798,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0229,1707,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/39752d44-800a-4f45-980c-003b84c27995/manifest,,,,,109
諸国因果物語 / 青木鷺水作,しょこくいんがものがたり,6巻6冊 : 挿絵 ; 26cm,,"刊記 : 寶永四年, 書肆 江戸 出雲寺四良兵衞[ほか]",西鶴本以外,,E22:776:230|A00:霞亭:230,東京大学総合図書館霞亭文庫目録230,寶永四年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d97db408-2466-4a09-98fe-82639714b298.json,d97db408-2466-4a09-98fe-82639714b298,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/d97db408-2466-4a09-98fe-82639714b298,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4c10275f83b71f79b894dd2e5795affd2c2fb716.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39799,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0230,1707,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d97db408-2466-4a09-98fe-82639714b298/manifest,,,,,126
関東名残の袂 / [忍岡やつがれ]作,かんとうなごりのたもと,10丁 : 挿絵 ; 22cm,,5巻5冊中、巻四のみ|刊年 : [宝永五年],西鶴本以外,,E22:776:231|A00:霞亭:231,東京大学総合図書館霞亭文庫目録231,宝永五年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/34bc2f98-eaf1-4d1c-8195-1e169ee7d535.json,34bc2f98-eaf1-4d1c-8195-1e169ee7d535,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/34bc2f98-eaf1-4d1c-8195-1e169ee7d535,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/10c7bd27315f9507614f52ff26ed69991b2cbe77.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39800,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0231,1708,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/34bc2f98-eaf1-4d1c-8195-1e169ee7d535/manifest,,,,,13
紅白源氏物語 / 梅翁作,こうはくげんじものがたり,5巻6冊 : 挿絵 ; 27cm,,"本書は「若草源氏物語」の改題本|刊記 : 于時寶永六年, 書林 山口屋權兵衞新板",西鶴本以外,,E22:776:232|A00:霞亭:232,東京大学総合図書館霞亭文庫目録232,寶永六年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a04c8924-5ae5-4860-bb8e-db98c7c22f8e.json,a04c8924-5ae5-4860-bb8e-db98c7c22f8e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/a04c8924-5ae5-4860-bb8e-db98c7c22f8e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b2dd599f98e263caeb44439f9d6f17b2d85cb76d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39801,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0232,1709,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a04c8924-5ae5-4860-bb8e-db98c7c22f8e/manifest,,,,,94
新武者物語 / 挙堂作,しんむしゃものがたり,8巻8冊 : 挿絵 ; 26cm,新武者物語近代武家雜談,"刊記 : 寶永六年, 北尾八兵衞板行|「新武者物語近代武家雜談」は題簽から",西鶴本以外,,E22:776:233|A00:霞亭:233,東京大学総合図書館霞亭文庫目録233,寶永六年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f7cd7789-2bd6-4c17-acb2-331f057d5f1f.json,f7cd7789-2bd6-4c17-acb2-331f057d5f1f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/f7cd7789-2bd6-4c17-acb2-331f057d5f1f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/10e20925bf13ddfd941a8ef30248593cb8a30a35.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39802,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0233,1709,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f7cd7789-2bd6-4c17-acb2-331f057d5f1f/manifest,,,,,174
好色堪忍記,こうしょくかんにんき,27丁 : 挿絵 ; 11×16cm,,"5巻5冊中、巻五のみ|刊記 : 寶永六年, 岡田傳兵衞板行",西鶴本以外,,E22:776:234|A00:霞亭:234,東京大学総合図書館霞亭文庫目録234,寶永六年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e0705e23-2b33-4759-8ea1-e4d7ecf00bd4.json,e0705e23-2b33-4759-8ea1-e4d7ecf00bd4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/e0705e23-2b33-4759-8ea1-e4d7ecf00bd4,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bd95843b6526df830bca9702baf2129ac5a69e61.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39803,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0234,1709,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e0705e23-2b33-4759-8ea1-e4d7ecf00bd4/manifest,,,,,30
今様廿四孝 / 月尋堂,いまようにじゅうしこう,5冊 : 挿絵 ; 27cm,平かな繪入今様廿四孝,"6巻6冊中、巻二欠|刊記 : 寶永六年, 江戸 野田太兵衞板[ほか]|「平かな繪入今様廿四孝」は題簽から",西鶴本以外,,E22:776:235|A00:霞亭:235,東京大学総合図書館霞亭文庫目録235,寶永六年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a083cb8c-8db3-4b25-9c68-1062c94786ce.json,a083cb8c-8db3-4b25-9c68-1062c94786ce,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/a083cb8c-8db3-4b25-9c68-1062c94786ce,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ac5a89e10c26a9879dede6f7889eff81bffa10fc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39804,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0235,1709,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a083cb8c-8db3-4b25-9c68-1062c94786ce/manifest,,,,,124
子孫大黒柱 / 月尋堂作,しそんだいこくばしら,6巻6冊 : 挿絵 ; 26cm,,刊記 : 菊谷長兵衞板|刊年 : [宝永六年以後],西鶴本以外,,E22:776:236|A00:霞亭:236,東京大学総合図書館霞亭文庫目録236,,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/24614c6a-b7da-4efb-8a96-340b97007630.json,24614c6a-b7da-4efb-8a96-340b97007630,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/24614c6a-b7da-4efb-8a96-340b97007630,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b250947fc535a3fb32a67d7fd121820b1872a163.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39805,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0236,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/24614c6a-b7da-4efb-8a96-340b97007630/manifest,,,,,120
世間用心記 / 月尋堂作,せけんようじんき,5巻合綴1冊 : 挿絵 ; 13×19cm,儻偶用心記,本書は「儻偶用心記」の改題本|刊年 : [宝永六年以後],西鶴本以外,,E22:776:237|A00:霞亭:237,東京大学総合図書館霞亭文庫目録237,,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d473d739-0972-4118-95c6-7dcfebcb25b7.json,d473d739-0972-4118-95c6-7dcfebcb25b7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/d473d739-0972-4118-95c6-7dcfebcb25b7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/87a61ee6bd870d0a2b6b8bbd5ab70adbfd45faf7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39806,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0237,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d473d739-0972-4118-95c6-7dcfebcb25b7/manifest,,,,,90
傾城難波みやけ,けいせいなにわみやげ,14丁 : 挿絵 ; 13×18cm,難波みやけ,5巻5冊中、巻五のみ|刊記 : 寶永七歳|刊年 : 宝永七年|「難波みやけ」は題簽から,西鶴本以外,,E22:776:238|A00:霞亭:238,東京大学総合図書館霞亭文庫目録238,宝永七年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b710cf0b-e4e9-43d8-932b-a815b6b57c92.json,b710cf0b-e4e9-43d8-932b-a815b6b57c92,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/b710cf0b-e4e9-43d8-932b-a815b6b57c92,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d9ecc0db5aee6a4c9430eac243fd378d660c46ec.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39807,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0238,1710,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b710cf0b-e4e9-43d8-932b-a815b6b57c92/manifest,,,,,17
御入部伽羅女 / 湯漬翫水作,ごにゅうぶきゃらおんな,6巻6冊 : 挿絵 ; 27cm,,"刊記 : 于時寶永七, 板本 老松喜作兵衞|刊年 : 宝永七年",西鶴本以外,,E22:776:239|A00:霞亭:239,東京大学総合図書館霞亭文庫目録239,宝永七年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/59209c23-1e0a-4d98-a5e3-93f4984796f6.json,59209c23-1e0a-4d98-a5e3-93f4984796f6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/59209c23-1e0a-4d98-a5e3-93f4984796f6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/155c7a6563b8d83d14995e9e940178a35d45231d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39808,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0239,1710,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/59209c23-1e0a-4d98-a5e3-93f4984796f6/manifest,,,,,131
野白内証鑑 / 八文字自笑作,やはくないしょうかがみ,5巻合綴3冊 : 挿絵 ; 13×19cm,諸色見通野白内証鑑|諸色見通野白内證鏡色道ひみつ四條辻うら,刊年 : [宝永七年以後]|「諸色見通野白内証鑑 」、「諸色見通野白内證鏡色道ひみつ四條辻うら」は題簽から,西鶴本以外,,E22:776:240|A00:霞亭:240,東京大学総合図書館霞亭文庫目録240,,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ec409247-fa38-4ed6-8241-9b5cc938e45f.json,ec409247-fa38-4ed6-8241-9b5cc938e45f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/ec409247-fa38-4ed6-8241-9b5cc938e45f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4574e718f044f4fe7c088cb6d446ec0a7a49947c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39809,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0240,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ec409247-fa38-4ed6-8241-9b5cc938e45f/manifest,,,,,205
男色今鑑,なんしょくいまかがみ,5巻合綴1冊 : 挿絵 ; 24cm,男色今鑑 風流金魚袋,"「男色今鑑 風流金魚袋」は目録題から|刊記 : 寶永八年, 菱屋治兵衞梓行",西鶴本以外,,E22:776:241|A00:霞亭:241,東京大学総合図書館霞亭文庫目録241,寶永八年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8ec22227-99d7-4f86-af37-66ff6ec7c6e0.json,8ec22227-99d7-4f86-af37-66ff6ec7c6e0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/8ec22227-99d7-4f86-af37-66ff6ec7c6e0,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6aaf6ed9c99a3f5b75004f8de328391749d4c76e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39810,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0241,1711,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8ec22227-99d7-4f86-af37-66ff6ec7c6e0/manifest,,,,,104
男色今鑑,なんしょくいまかがみ,19丁 : 挿絵 ; 26cm,男色今鑑 風流金魚袋,「男色今鑑 風流金魚袋」は目録題から|刊年 : [宝永八年],西鶴本以外,,E22:776:242|A00:霞亭:242,東京大学総合図書館霞亭文庫目録242,宝永八年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/12f6fa4c-7ba3-4910-ba08-eba4ed27694f.json,12f6fa4c-7ba3-4910-ba08-eba4ed27694f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/12f6fa4c-7ba3-4910-ba08-eba4ed27694f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ca83847a65a6a76a328899a27a6362fcab52cc3e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39811,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0242,1711,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/12f6fa4c-7ba3-4910-ba08-eba4ed27694f/manifest,,,,,22
