タイトル,書名よみ,形態,他の書名,注記,分類,OPAC,請求記号,Source Identifier,Date,Publisher,Type,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:transcription,dcterms:extent,dcndl:alternative,archiveshub:note,dcterms:subject,dcterms:references,dcndl:callNumber,dcndl:sourceIdentifier,dcterms:date,dcterms:publisher,dcterms:type,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,50331
小町物かたり,こまちものがたり,2巻2冊 : 挿絵 ; 23cm,新板小町のさうし,「新板小町のさうし」は原題簽から|刊記: 鱗形屋板,御伽草子,,E22:776:11|A00:霞亭:11,東京大学総合図書館霞亭文庫目録11,,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/60a080b9-68a3-4282-bf07-1714a442e8de.json,60a080b9-68a3-4282-bf07-1714a442e8de,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/60a080b9-68a3-4282-bf07-1714a442e8de,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/88475018ae08d5c15ab2df8c963825df96a4b92e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39580,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0011,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/60a080b9-68a3-4282-bf07-1714a442e8de/manifest,,,,,22
木幡きつね,こわたぎつね,24丁半 : 挿絵 ; 16×23cm,,,御伽草子,,E22:776:12|A00:霞亭:12,東京大学総合図書館霞亭文庫目録12,,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/71aa5d86-23f6-4e1a-b6fe-424984a803d6.json,71aa5d86-23f6-4e1a-b6fe-424984a803d6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/71aa5d86-23f6-4e1a-b6fe-424984a803d6,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cd6f2c036c906539158f0b6af092250693e263e5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39581,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0012,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/71aa5d86-23f6-4e1a-b6fe-424984a803d6/manifest,,,,,28
さいき,さいき,17丁 : 挿絵 ; 17×23cm,さかき 廿,「さかき 廿」は原題簽から,御伽草子,,E22:776:13|A00:霞亭:13,東京大学総合図書館霞亭文庫目録13,,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/469c1829-fc5f-4875-9bed-4ddad15861b9.json,469c1829-fc5f-4875-9bed-4ddad15861b9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/469c1829-fc5f-4875-9bed-4ddad15861b9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/db5e156ed907d8881760419d5813fefe62e81f37.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39582,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0013,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/469c1829-fc5f-4875-9bed-4ddad15861b9/manifest,,,,,20
西行物語,さいぎょうものがたり,3巻2冊 ; 27cm,,,御伽草子,,E22:776:14|A00:霞亭:14,東京大学総合図書館霞亭文庫目録14,,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3b5dac64-85c3-4326-80ec-52489f5243d7.json,3b5dac64-85c3-4326-80ec-52489f5243d7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/3b5dac64-85c3-4326-80ec-52489f5243d7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/69f1c1dd13528240d22a1bb49be3e0b061d23b04.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39583,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0014,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3b5dac64-85c3-4326-80ec-52489f5243d7/manifest,,,,,54
さころも,さごろも,2巻2冊 : 挿絵 ; 27cm,,"刊記: 明暦三年, 開板",御伽草子,,E22:776:15|A00:霞亭:15,東京大学総合図書館霞亭文庫目録15,明暦三年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e4b92ebb-a20e-4e9b-9af3-746115ab7733.json,e4b92ebb-a20e-4e9b-9af3-746115ab7733,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/e4b92ebb-a20e-4e9b-9af3-746115ab7733,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7f959d3b29fba7b4868647dd34d0e9a5cb2c3e4a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39584,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0015,1657,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e4b92ebb-a20e-4e9b-9af3-746115ab7733/manifest,,,,,38
ささやき竹,ささやきだけ,18丁 : 挿絵 ; 18cm,さゝやき竹物語,"「さゝやき竹物語」は書題簽から|刊記: 寶永二年, うろこかたや開板",御伽草子,,E22:776:16|A00:霞亭:16,東京大学総合図書館霞亭文庫目録16,寶永二年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/adaa3475-9ae2-4800-ba0f-8c3a605d29aa.json,adaa3475-9ae2-4800-ba0f-8c3a605d29aa,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/adaa3475-9ae2-4800-ba0f-8c3a605d29aa,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7fa63f2649e5efd7d0bd98dc3498510d8ea1e45f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39585,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0016,1705,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/adaa3475-9ae2-4800-ba0f-8c3a605d29aa/manifest,,,,,21
ささやき竹,ささやきだけ,9丁 : 挿絵 ; 23cm,くらまひめ哥のゑん,「くらまひめ哥のゑん」は原題簽から,御伽草子,,E22:776:17|A00:霞亭:17,東京大学総合図書館霞亭文庫目録17,,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/56cd5c8c-be20-42ee-93bd-979c2cc0b6b5.json,56cd5c8c-be20-42ee-93bd-979c2cc0b6b5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/56cd5c8c-be20-42ee-93bd-979c2cc0b6b5,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/636b538c22fce0a6f39af7ae55c5bb49ab9b89b9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39586,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0017,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/56cd5c8c-be20-42ee-93bd-979c2cc0b6b5/manifest,,,,,12
さゝれ石,さざれいし,7丁 : 挿絵 ; 16×23cm,,,御伽草子,,E22:776:18|A00:霞亭:18,東京大学総合図書館霞亭文庫目録18,,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7e11a33d-f62c-4d4d-a436-255b4c902b59.json,7e11a33d-f62c-4d4d-a436-255b4c902b59,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/7e11a33d-f62c-4d4d-a436-255b4c902b59,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/935e3e0342f0e72385cc439fef93cca92667f83f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39587,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0018,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7e11a33d-f62c-4d4d-a436-255b4c902b59/manifest,,,,,10
さるげんじ,さるげんじ,2巻1冊 : 挿絵 ; 27cm,,"刊記: 明暦四年, 山田市良兵衞開板",御伽草子,,E22:776:19|A00:霞亭:19,東京大学総合図書館霞亭文庫目録19,明暦四年,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e1b4f396-a398-4a92-8d05-bb49f1191df8.json,e1b4f396-a398-4a92-8d05-bb49f1191df8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/e1b4f396-a398-4a92-8d05-bb49f1191df8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/89b731ec7e29122711ccad4d94641d19bb5f17cb.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39588,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0019,1658,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e1b4f396-a398-4a92-8d05-bb49f1191df8/manifest,,,,,25
さるげんじ,さるげんじ,2巻1冊 : 挿絵 ; 18cm,,刊記: 西村屋新板|刊年: [宝永頃],御伽草子,,E22:776:20|A00:霞亭:20,東京大学総合図書館霞亭文庫目録20,,(:私製),影印版,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/31f82089-2f89-4323-8a0e-5c353269e6ba.json,31f82089-2f89-4323-8a0e-5c353269e6ba,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/katei/document/31f82089-2f89-4323-8a0e-5c353269e6ba,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f5aff82991886fc086254b711ded0c0ec80fb1d1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/39589,"東京大学総合図書館 General Library in the University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,霞亭文庫,0020,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/31f82089-2f89-4323-8a0e-5c353269e6ba/manifest,,,,,21
