書名,書名ヨミ,その他の書名,請求記号,文庫整理番号,収録書総目録I-通巻番号,言語,資料種別,著者・編者,出版社,出版年,冊数,形態,備考,注記,文庫区分,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
日本国,,,A00:洒竹:2635,洒2635,1552,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/baf8e9a0-399b-82a1-9d9b-bf46fe76251d.json,baf8e9a0-399b-82a1-9d9b-bf46fe76251d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/baf8e9a0-399b-82a1-9d9b-bf46fe76251d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/885e23d4b193450426af14ce4f8635f83e4126c2.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/744991,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),1549,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/baf8e9a0-399b-82a1-9d9b-bf46fe76251d/manifest,,,,,63
庭柏,,,A00:洒竹:2639,洒2639,1553,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化|画像にあるラベル「洒竹1025」は旧番号,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/dd2ddd17-963e-2908-3066-4c1dad415a0e.json,dd2ddd17-963e-2908-3066-4c1dad415a0e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/dd2ddd17-963e-2908-3066-4c1dad415a0e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/689ac8af5c6de4cbfd213edd818b59864a8e88c5.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/744990,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),1550,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/dd2ddd17-963e-2908-3066-4c1dad415a0e/manifest,,,,,33
二百歌仙,,,A00:洒竹:2640,洒2640,1554,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化|画像にあるラベル「洒竹1018」は旧番号,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0cd2724c-a5e5-8ec8-4905-effd85201295.json,0cd2724c-a5e5-8ec8-4905-effd85201295,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/0cd2724c-a5e5-8ec8-4905-effd85201295,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2b94f7b31ddf16c9db4bcfd27a81c2a4f4679f11.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/744989,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),1551,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0cd2724c-a5e5-8ec8-4905-effd85201295/manifest,,,,,45
鳩のむかし,,,A00:洒竹:2641,洒2641,1555,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化|画像にあるラベル「洒竹1024」は旧番号,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1d0ac7bc-5e71-3278-3ea3-a1df8a460f4d.json,1d0ac7bc-5e71-3278-3ea3-a1df8a460f4d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/1d0ac7bc-5e71-3278-3ea3-a1df8a460f4d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0dfb7687d2b0a3454188e639f6f2585eb5de9fb8.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/744988,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),1552,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1d0ac7bc-5e71-3278-3ea3-a1df8a460f4d/manifest,,,,,17
柳居追善集,,,A00:洒竹:2642,洒2642,1556,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化|画像にあるラベル「洒竹1029」は旧番号,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9ee5d4c7-8e87-980d-60f7-430286787a8a.json,9ee5d4c7-8e87-980d-60f7-430286787a8a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/9ee5d4c7-8e87-980d-60f7-430286787a8a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c2341305d21784a127dad8323930faf8ed90e1bc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/744987,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),1553,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9ee5d4c7-8e87-980d-60f7-430286787a8a/manifest,,,,,37
二弟準縄,,,A00:洒竹:2643,洒2643,1557,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化|画像にあるラベル「洒竹1026」は旧番号,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/08bc6666-7938-0ba5-56f4-67685507559a.json,08bc6666-7938-0ba5-56f4-67685507559a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/08bc6666-7938-0ba5-56f4-67685507559a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/affb27355a9c18e82d9fcbfaf30ed30ef4eb7d08.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/744986,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),1554,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/08bc6666-7938-0ba5-56f4-67685507559a/manifest,,,,,18
二度の初花,,,A00:洒竹:2644,洒2644,1558,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化|画像にあるラベル「洒竹1017」は旧番号,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7bb9245a-3af8-0f24-706b-60d39ae930ba.json,7bb9245a-3af8-0f24-706b-60d39ae930ba,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/7bb9245a-3af8-0f24-706b-60d39ae930ba,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/88ebb95808831c5b57064b362eb3e58a8ed5cd4f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/744985,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),1555,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7bb9245a-3af8-0f24-706b-60d39ae930ba/manifest,,,,,57
二冊子,,,A00:洒竹:2645,洒2645,1559,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化|画像にあるラベル「洒竹850」は旧番号,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/9b92b4db-707c-6d96-853f-d2fd8983682f.json,9b92b4db-707c-6d96-853f-d2fd8983682f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/9b92b4db-707c-6d96-853f-d2fd8983682f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/796218af7924ab4f172e22ec6cd451ec8ec056a6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/744984,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),1556,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9b92b4db-707c-6d96-853f-d2fd8983682f/manifest,,,,,107
鶏ほめ,,,A00:洒竹:2646,洒2646,1560,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化|画像にあるラベル「洒竹1027」は旧番号,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/503b41de-85b7-24f4-9123-1a9d21a45893.json,503b41de-85b7-24f4-9123-1a9d21a45893,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/503b41de-85b7-24f4-9123-1a9d21a45893,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/09ba2223c9468ad67bd8aeb249a86c8f2298edd6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/744983,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),1557,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/503b41de-85b7-24f4-9123-1a9d21a45893/manifest,,,,,26
如是我聞,,,A00:洒竹:2647,洒2647,1561,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化|画像にあるラベル「酒竹1021」は旧番号,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4cc06a0f-40a2-0a75-0ce1-16fc4c1e2203.json,4cc06a0f-40a2-0a75-0ce1-16fc4c1e2203,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/4cc06a0f-40a2-0a75-0ce1-16fc4c1e2203,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7884e3aef41344535273427fca3d639ca0e07b6b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/744982,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),1558,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4cc06a0f-40a2-0a75-0ce1-16fc4c1e2203/manifest,,,,,24
