書名,書名ヨミ,その他の書名,請求記号,文庫整理番号,収録書総目録I-通巻番号,言語,資料種別,著者・編者,出版社,出版年,冊数,形態,備考,注記,文庫区分,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,西暦,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:titleTranscription,dcndl:alternative,dcndl:callNumber,dcndl:sourceIdentifier,bibo:number,dcterms:language,dcndl:materialType,dcterms:creator,dcterms:publisher,dcterms:date,bibo:numVolumes,dcterms:extent,archiveshub:note,bibo:annotates,uterms:bunko,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:year,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,243680
あふらかす,,,A00:洒竹:1,洒0001,1,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1205a0fe-83aa-67b2-1e8b-dbce61f938b9.json,1205a0fe-83aa-67b2-1e8b-dbce61f938b9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/1205a0fe-83aa-67b2-1e8b-dbce61f938b9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6738ed431ee574b0e15c6de2b96103ae42e7cd17.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746539,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0001,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1205a0fe-83aa-67b2-1e8b-dbce61f938b9/manifest,,,,,61
綾巻破邪顕正並返答両書評判,,,A00:洒竹:3,洒0003,2,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/46b37f37-52d9-94a9-65e6-5e411ab81145.json,46b37f37-52d9-94a9-65e6-5e411ab81145,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/46b37f37-52d9-94a9-65e6-5e411ab81145,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/afa4161023b752dd7825dc5834ea9fe624ba924e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746538,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0002,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/46b37f37-52d9-94a9-65e6-5e411ab81145/manifest,,,,,30
阿羅野,,,A00:洒竹:4,洒0004,3,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化|画像にあるラベル「洒竹1629」は旧番号,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/39a07d8a-47e6-0f0e-7eed-5550233b2d81.json,39a07d8a-47e6-0f0e-7eed-5550233b2d81,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/39a07d8a-47e6-0f0e-7eed-5550233b2d81,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0ea172961184d6ebf5644d325d1dea6dc346db7f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746537,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0003,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/39a07d8a-47e6-0f0e-7eed-5550233b2d81/manifest,,,,,124
あめ子,,,A00:洒竹:5,洒0005,4,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/483918e0-4db6-80a9-8300-8da86af26f6f.json,483918e0-4db6-80a9-8300-8da86af26f6f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/483918e0-4db6-80a9-8300-8da86af26f6f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fa8e65354d0437690613785862ae5093f9b4b5cf.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746536,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0004,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/483918e0-4db6-80a9-8300-8da86af26f6f/manifest,,,,,22
あしそろへ,,,A00:洒竹:6,洒0006,5,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化|画像にあるラベル「洒竹2186」は旧番号,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/32fbb9c2-3492-1ab5-7d7d-a2219da54846.json,32fbb9c2-3492-1ab5-7d7d-a2219da54846,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/32fbb9c2-3492-1ab5-7d7d-a2219da54846,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3dbc6c71921629080b98b6f7c3a7a37cda0d82a0.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746535,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0005,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/32fbb9c2-3492-1ab5-7d7d-a2219da54846/manifest,,,,,51
芦分船 夏秋,,,A00:洒竹:7,洒0007,6,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b5b668f6-569d-1e45-3215-c55e4f8f5dd9.json,b5b668f6-569d-1e45-3215-c55e4f8f5dd9,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/b5b668f6-569d-1e45-3215-c55e4f8f5dd9,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a376146522bd086d474db378844cc3bc7dc57b0b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746534,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0006,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b5b668f6-569d-1e45-3215-c55e4f8f5dd9/manifest,,,,,48
芦分船,,,A00:洒竹:8,洒0008,7,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2c5d8395-77a1-1248-6901-b37da91c1933.json,2c5d8395-77a1-1248-6901-b37da91c1933,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/2c5d8395-77a1-1248-6901-b37da91c1933,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2503e0cb7cb79349f67d6f0899ab895bc85fc972.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746533,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0007,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2c5d8395-77a1-1248-6901-b37da91c1933/manifest,,,,,90
或時集,,,A00:洒竹:9,洒0009,8,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b5b70062-5c3e-93b7-933a-b7a64b197396.json,b5b70062-5c3e-93b7-933a-b7a64b197396,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/b5b70062-5c3e-93b7-933a-b7a64b197396,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9ae54a99b3c37196913a6a89e840d05a515667e3.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746532,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0008,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b5b70062-5c3e-93b7-933a-b7a64b197396/manifest,,,,,26
有磯海,,,A00:洒竹:10,洒0010,9,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/13eeb311-8a55-31c6-226c-408c1be40ffb.json,13eeb311-8a55-31c6-226c-408c1be40ffb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/13eeb311-8a55-31c6-226c-408c1be40ffb,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/72e281f3a4932c696054218452372bdac92acd6b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746531,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0009,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/13eeb311-8a55-31c6-226c-408c1be40ffb/manifest,,,,,45
網代笠,,,A00:洒竹:12,洒0012,10,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/40887074-41c8-a15c-9e2f-0974d6d27a1c.json,40887074-41c8-a15c-9e2f-0974d6d27a1c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/40887074-41c8-a15c-9e2f-0974d6d27a1c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/09cfaecf775fbc023c6e81404df8a4ac0590012f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746530,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0010,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/40887074-41c8-a15c-9e2f-0974d6d27a1c/manifest,,,,,41
青むしろ,,,A00:洒竹:13,洒0013,11,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化|画像にあるラベル「洒竹2075」は旧番号,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b28d8212-23e1-6372-20aa-2ef78be27ab8.json,b28d8212-23e1-6372-20aa-2ef78be27ab8,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/b28d8212-23e1-6372-20aa-2ef78be27ab8,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/64c7d11c98ca9dc117f7f94fcd42576fe084954a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746529,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0011,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b28d8212-23e1-6372-20aa-2ef78be27ab8/manifest,,,,,30
青莚,,,A00:洒竹:14,洒0014,12,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c29a0237-04b1-82bf-8362-73ea40b9793e.json,c29a0237-04b1-82bf-8362-73ea40b9793e,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/c29a0237-04b1-82bf-8362-73ea40b9793e,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c4bcfe2d420acf97c37105de01051e3394b0032b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746528,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0012,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c29a0237-04b1-82bf-8362-73ea40b9793e/manifest,,,,,63
行脚戻,,,A00:洒竹:15,洒0015,13,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化|画像にあるラベル「洒竹2193」は旧番号,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/fd4069cf-8686-706c-321e-dc2e434500f7.json,fd4069cf-8686-706c-321e-dc2e434500f7,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/fd4069cf-8686-706c-321e-dc2e434500f7,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5fee67b12df5e1b0564731c9cf233716db1c2f19.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746527,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0013,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fd4069cf-8686-706c-321e-dc2e434500f7/manifest,,,,,28
青すたれ,,,A00:洒竹:16,洒0016,14,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化|画像にあるラベル「洒竹2242」は旧番号,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c49ab941-59dc-9d79-24f6-f4a9fd9a7c7a.json,c49ab941-59dc-9d79-24f6-f4a9fd9a7c7a,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/c49ab941-59dc-9d79-24f6-f4a9fd9a7c7a,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/24ee4d5de0ba6bc95725b4bbc6425c5f302cf723.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746526,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0014,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c49ab941-59dc-9d79-24f6-f4a9fd9a7c7a/manifest,,,,,39
安達太郎根 下,,,A00:洒竹:17,洒0017,15,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/190b0f36-596c-6590-42e7-15aa10409f4c.json,190b0f36-596c-6590-42e7-15aa10409f4c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/190b0f36-596c-6590-42e7-15aa10409f4c,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/dc176eb2c60d8ecd7f1c63b002c3164d5bf57f4a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746525,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0015,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/190b0f36-596c-6590-42e7-15aa10409f4c/manifest,,,,,33
なけ頭巾,,,A00:洒竹:18,洒0018,16,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/91ffc527-446d-8942-39ff-2a9ad3de1695.json,91ffc527-446d-8942-39ff-2a9ad3de1695,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/91ffc527-446d-8942-39ff-2a9ad3de1695,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1b5e06601fe49999c33b671a65f07ebcedf6535b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746524,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0016,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/91ffc527-446d-8942-39ff-2a9ad3de1695/manifest,,,,,30
あさふ,,,A00:洒竹:19,洒0019,17,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/48c2f92c-79f3-0817-781b-040c26fca77f.json,48c2f92c-79f3-0817-781b-040c26fca77f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/48c2f92c-79f3-0817-781b-040c26fca77f,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0be889af0829733feb8605b24936b422e2606206.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746523,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0017,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/48c2f92c-79f3-0817-781b-040c26fca77f/manifest,,,,,34
東六鳳,,,A00:洒竹:20,洒0020,18,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7d6b67cd-524c-94b2-920a-d72ae4a53ab1.json,7d6b67cd-524c-94b2-920a-d72ae4a53ab1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/7d6b67cd-524c-94b2-920a-d72ae4a53ab1,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7d1e6485b43cab9a3061202bd1b39e78e42aff8c.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746522,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0018,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7d6b67cd-524c-94b2-920a-d72ae4a53ab1/manifest,,,,,34
阿誰話,,,A00:洒竹:21,洒0021,19,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f00b4e68-59ac-5fd6-7f62-e70f68c51276.json,f00b4e68-59ac-5fd6-7f62-e70f68c51276,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/f00b4e68-59ac-5fd6-7f62-e70f68c51276,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/762075ba5efcdb77e0de28eda04e39c36f9793fe.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746521,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0019,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f00b4e68-59ac-5fd6-7f62-e70f68c51276/manifest,,,,,24
阿誰話,,,A00:洒竹:22,洒0022,20,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5a8ce367-6650-0d43-701d-a982efb04422.json,5a8ce367-6650-0d43-701d-a982efb04422,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/5a8ce367-6650-0d43-701d-a982efb04422,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c12a3e04a56d3f083fc529556a8b54c18bf87f07.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746520,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0020,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5a8ce367-6650-0d43-701d-a982efb04422/manifest,,,,,23
秋の暮,,,A00:洒竹:23,洒0023,21,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d1903846-1b8d-76ed-1c06-ecbeb1ea552d.json,d1903846-1b8d-76ed-1c06-ecbeb1ea552d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/d1903846-1b8d-76ed-1c06-ecbeb1ea552d,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6a93c582aff6f295f12c3d2135b50bef293e43b4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746519,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0021,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d1903846-1b8d-76ed-1c06-ecbeb1ea552d/manifest,,,,,10
在岡逸士伝,,,A00:洒竹:24,洒0024,22,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e860d8cf-5021-a792-2c65-9f620b673321.json,e860d8cf-5021-a792-2c65-9f620b673321,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/e860d8cf-5021-a792-2c65-9f620b673321,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ad0cc4069edf49339be00741da997488f8f4891b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746518,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0022,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e860d8cf-5021-a792-2c65-9f620b673321/manifest,,,,,115
綾錦,,,A00:洒竹:25,洒0025,23,,,,,,,,国文学研究資料館「歴史的典籍NW事業」によるデジタル化,,洒竹文庫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/fe526e71-19cc-4390-5d96-058b35681035.json,fe526e71-19cc-4390-5d96-058b35681035,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/renga/document/fe526e71-19cc-4390-5d96-058b35681035,https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d0a059d3ccfd3a6d1d1ea4680913d6239828bc80.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/746517,"東京大学総合図書館 General Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,連歌俳諧書集成(洒竹・竹冷・知十文庫),0023,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/fe526e71-19cc-4390-5d96-058b35681035/manifest,,,,,108
