タイトル,タイトル（ヨミ）,請求記号,刊行年月日（和暦）,刊行年（西暦）,注記,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
三刕豊川参詣旅日記(明治22年丑ノ4月13日より同14日迠),サンシュウ トヨカワ サンケイ タビ ニッキ メイジ 22ネン ウシ ノ 4ガツ 13ニチ ヨリ ドウ 14ニチ マデ,090:1:井59,明治22年丑ノ4月13日より同14日迠,1889,木谷,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6da2d75f-86ac-2547-a33b-68c67cda9a6c.json,6da2d75f-86ac-2547-a33b-68c67cda9a6c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/6da2d75f-86ac-2547-a33b-68c67cda9a6c,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fa068185fb8748b44eb7bd938a30df9247369c4e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406716,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0059,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6da2d75f-86ac-2547-a33b-68c67cda9a6c/manifest,,,,,15
日賀恵(明治23年寅1月吉日より同24年夘5月[吉日同]31日迠),ヒカエ メイジ 23ネン トラ 1ガツ キチジツ ヨリ ドウ 24ネン ウ 5ガツ キチジツ ドウ 31ニチ マデ,090:1:井60,明治23年寅1月吉日より同24年夘5月[吉日同]31日迠,1890,木谷,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f6c1b5a6-5ef3-017a-69a1-4166b2ce70b1.json,f6c1b5a6-5ef3-017a-69a1-4166b2ce70b1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/f6c1b5a6-5ef3-017a-69a1-4166b2ce70b1,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b9e70c873ab915a765d15175bf309a6db8c7eeed.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406715,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0060,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f6c1b5a6-5ef3-017a-69a1-4166b2ce70b1/manifest,,,,,291
日賀恵(明治24年夘6月1日ヨリ明治25年辰1月より10月30日迠),ヒカエ メイジ 24ネン ウ 6ガツ ツイタチ ヨリ メイジ 25ネン タツ 1ガツ ヨリ 10ガツ 30ニチ マデ,090:1:井61,明治24年夘6月1日ヨリ明治25年辰1月より10月30日迠,1891-1892,木谷長義,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a3d98f26-9ce2-84a3-1a9a-e7a82fd844cf.json,a3d98f26-9ce2-84a3-1a9a-e7a82fd844cf,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/a3d98f26-9ce2-84a3-1a9a-e7a82fd844cf,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/21d19aabc9011bd588f859efe5d127a6bf9f3b0d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406714,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0061,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a3d98f26-9ce2-84a3-1a9a-e7a82fd844cf/manifest,,,,,284
日賀恵(明治25年辰11月1日ヨリ同巳26年同午27年5月31日迠),ヒカエ メイジ 25ネン タツ11ガツ 1ニチヨリドウミ26ネン ドウウマ27ネン 5ガツ 31ニチマデ,090:1:井62,明治25年辰11月1日ヨリ同巳26年同午27年5月31日迠,1892-1894,木谷長義,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d61f502f-1db8-45de-6d21-6b80627373e1.json,d61f502f-1db8-45de-6d21-6b80627373e1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/d61f502f-1db8-45de-6d21-6b80627373e1,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/13c4432c6006e7decabe3e353c8aea43d7741e4f.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406713,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0062,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d61f502f-1db8-45de-6d21-6b80627373e1/manifest,,,,,282
日賀恵(明治27年午6月1日ヨリ同28年未1月1日ヨリ6月30日迠),ヒカエ メイジ 27ネン ウマ 6ガツ ツイタチ ヨリ ドウ 28ネン ヒツジ 1ガツ ツイタチ ヨリ 6ガツ 30ニチ マデ,090:1:井63,明治27年午6月1日ヨリ同28年未1月1日ヨリ6月30日迠,1894-1895,木谷長義,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bbb0af12-3091-3807-273c-175f949c09fb.json,bbb0af12-3091-3807-273c-175f949c09fb,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/bbb0af12-3091-3807-273c-175f949c09fb,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/9298fc48ca5f71f74dda7c3fa1ee7c4a6b9f3979.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406712,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0063,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bbb0af12-3091-3807-273c-175f949c09fb/manifest,,,,,271
日賀恵(明治28年未7月1日ヨリ同29年申10月31日迠),ヒカエ メイジ 28ネン ヒツジ 7ガツ ツイタチ ヨリ ドウ29ネン サル 10ガツ 31ニチ マデ,090:1:井64,明治28年未7月1日ヨリ同29年申10月31日迠,1895-1896,木谷長義 巻末に暦・領収書・列車時刻表の貼り込みあり,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5353d402-545f-a636-7617-8761dff47f4f.json,5353d402-545f-a636-7617-8761dff47f4f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/5353d402-545f-a636-7617-8761dff47f4f,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7fdacb2dd4b77778519adccd1cd00f55baf83099.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406711,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0064,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5353d402-545f-a636-7617-8761dff47f4f/manifest,,,,,301
日賀恵(明治29年申11月1日より同自30年酉ノ年同至31年戌ノ3月31日),ヒカエ メイジ 29ネン サル11ガツ 1ニチ ヨリ ドウジ30ネン トリノトシドウイタル31ネン イヌノ3ガツ 31ニチ,090:1:井65,明治29年申11月1日より同自30年酉ノ年同至31年戌ノ3月31日,1896-1898,木谷長義,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/10741a5e-022d-6586-583b-6ab7cd289a23.json,10741a5e-022d-6586-583b-6ab7cd289a23,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/10741a5e-022d-6586-583b-6ab7cd289a23,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/dc811f9e1cdb44c7d8e5e53e44306ba781ce2fff.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406710,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0065,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/10741a5e-022d-6586-583b-6ab7cd289a23/manifest,,,,,295
日賀恵(明治31年戌4月1日より同32年亥1月1日より至同午1月31日[同12月31日]),ヒカエ メイジ 31ネン イヌ 4ガツ ツイタチ ヨリ ドウ 32ネン イ 1ガツ ツイタチ ヨリ イタル ドウ ウマ 1ガツ 31ニチ ドウ 12ガツ 31ニチ,090:1:井66,明治31年戌4月1日より同32年亥1月1日より至同午1月31日[同12月31日],1898-1899,木谷長義,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0c0cc1ee-1f79-8b6d-124a-d0cdf4e91a9d.json,0c0cc1ee-1f79-8b6d-124a-d0cdf4e91a9d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/0c0cc1ee-1f79-8b6d-124a-d0cdf4e91a9d,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0a607be1b9a801ecbdca2fa3e509a9f79aed8b5a.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406709,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0066,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0c0cc1ee-1f79-8b6d-124a-d0cdf4e91a9d/manifest,,,,,301
日賀恵(明治33年子1月1日より明治34年丑1月1日より12月終迠),ヒカエ メイジ 33ネン ネ 1ガツ ツイタチ ヨリ メイジ 34ネン ウシ 1ガツ ツイタチ ヨリ 12ガツ オマデ,090:1:井67,明治33年子1月1日より明治34年丑1月1日より12月終迠,1900-1901,木谷長義 巻末にビラの貼り込みあり,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/2e54804c-6ad8-755a-455b-95acc33f9e8d.json,2e54804c-6ad8-755a-455b-95acc33f9e8d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/2e54804c-6ad8-755a-455b-95acc33f9e8d,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b0201c1d53173f7bdab9288ec542f098cc6d905b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406708,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0067,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/2e54804c-6ad8-755a-455b-95acc33f9e8d/manifest,,,,,307
飛歌恵(安政6年未9月吉日),ヒカエ アンセイ 6ネン ヒツジ 9ガツ キチジツ,090:1:井68,安政6年未9月吉日,1859,竹長子,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/225d766b-085d-003e-93df-c829b2228818.json,225d766b-085d-003e-93df-c829b2228818,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/225d766b-085d-003e-93df-c829b2228818,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5c862cdffe1b1c8bc8425a792aab1fc12d16f6cc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406707,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0068,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/225d766b-085d-003e-93df-c829b2228818/manifest,,,,,8
