タイトル,タイトル（ヨミ）,請求記号,刊行年月日（和暦）,刊行年（西暦）,注記,iiif viewer,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,viewingDirection,viewingHint,コレクション,ソート用項目,IIIFマニフェストURI,IIIF Search API URI,アノテーション付きIIIFマニフェストURI,Link to TAPAS Project,Text with Rich Text Format,# of media
dcterms:title,dcndl:titleTranscription,dcndl:callNumber,dcterms:issued,uterms:year,dcterms:description,iiif viewer,bibo:identifier,dcterms:isPartOf,dcterms:relation,dcterms:rights,foaf:thumbnail,rdfs:seeAlso,sc:attributionLabel,sc:viewingDirection,sc:viewingHint,uterms:databaseLabel,uterms:sort,uterms:manifestUri,uterms:searchApiUri,uterms:annotedManifest,uterms:linkToTapas,uterms:rtf,7055
竹本筑後掾之画,タケモトチクゴノジョウノエ,090:1:85,,,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/75dcc7e1-3ed6-090f-2351-158fd14f913b.json,75dcc7e1-3ed6-090f-2351-158fd14f913b,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/75dcc7e1-3ed6-090f-2351-158fd14f913b,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/7d87c77dab081ef7aec9e4c02fb8f7d313a4fdb9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1258150,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/75dcc7e1-3ed6-090f-2351-158fd14f913b/manifest,,,,,2
飛可恵(ひかえ)長(嘉永3年9月9日),ヒカエチョウ カエイ 3ネン 9ガツ 9ニチ,090:1:井1,嘉永3年9月9日,1850,竹小くま,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c7c71b15-6fa5-6acf-8955-59558dd7815f.json,c7c71b15-6fa5-6acf-8955-59558dd7815f,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/c7c71b15-6fa5-6acf-8955-59558dd7815f,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6afe4d90374fc8ff9d74febf466f38738ed93dca.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406773,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0002,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c7c71b15-6fa5-6acf-8955-59558dd7815f/manifest,,,,,34
諸事控(嘉永5年4月),ショジ ヒカエ カエイ 5ネン 4ガツ,090:1:井2,嘉永5年4月,1852,竹本長子太夫(16才),http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/16282577-60f5-92a1-7b19-3a631f522ada.json,16282577-60f5-92a1-7b19-3a631f522ada,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/16282577-60f5-92a1-7b19-3a631f522ada,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/557a7d0ebcad92e5eb23c93c549ec2f808655072.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406772,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0003,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/16282577-60f5-92a1-7b19-3a631f522ada/manifest,,,,,69
諸事控(嘉永5年10月),ショジ ヒカエ カエイ 5ネン 10ガツ,090:1:井3,嘉永5年10月,1852,竹本長子太夫(16才),http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8e84dd4b-86af-1bd5-2f73-e2d2491d699d.json,8e84dd4b-86af-1bd5-2f73-e2d2491d699d,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/8e84dd4b-86af-1bd5-2f73-e2d2491d699d,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ca533e6ef580c56edda175bfa8cffb0ca83a7b5e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406771,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0004,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8e84dd4b-86af-1bd5-2f73-e2d2491d699d/manifest,,,,,34
日記帳(嘉永5年11月),ニッキチョウ カエイ 5ネン 11ガツ,090:1:井4,嘉永5年11月,1852,竹本長子太夫(16才),http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/31d1a7d6-5ca2-13e7-518d-7281f8f4a283.json,31d1a7d6-5ca2-13e7-518d-7281f8f4a283,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/31d1a7d6-5ca2-13e7-518d-7281f8f4a283,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d87cc2345988eea3d39fe30897d88acddbcd1d4d.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406770,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0005,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/31d1a7d6-5ca2-13e7-518d-7281f8f4a283/manifest,,,,,75
日記帳(嘉永6年6月~嘉永7年),ニッキチョウ カエイ 6ネン 6ガツ カエイ 7ネン,090:1:井5,嘉永6年6月~嘉永7年,1852-1853,竹本長子太夫 虫食,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ce5d8069-4c0c-4417-3dda-7e930618a0db.json,ce5d8069-4c0c-4417-3dda-7e930618a0db,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/ce5d8069-4c0c-4417-3dda-7e930618a0db,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/1816e324e52d8063e7d3ea3b36c5b207ff94ebb1.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406769,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0006,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ce5d8069-4c0c-4417-3dda-7e930618a0db/manifest,,,,,87
世呂津飛可恵(よろづひかえ)長(嘉永6年11月),ヨロズ ヒカエチョウ カエイ 6ネン 11ガツ,090:1:井6,嘉永6年11月,1852,大坂幸町 嶋傳,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5ec3e25f-52e6-963e-71e3-22c602a70ae6.json,5ec3e25f-52e6-963e-71e3-22c602a70ae6,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/5ec3e25f-52e6-963e-71e3-22c602a70ae6,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ccfe0b9ca4419051a0c2223ad0642fbd1af419f9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406768,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0007,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5ec3e25f-52e6-963e-71e3-22c602a70ae6/manifest,,,,,17
[諸事控帳](安政元年),ショジ ヒカエチョウ アンセイ ガンネン,090:1:井7,安政元年,1854,書名は整理者による,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/3431191c-4b33-0ed2-0ec0-79d6e2a65a6c.json,3431191c-4b33-0ed2-0ec0-79d6e2a65a6c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/3431191c-4b33-0ed2-0ec0-79d6e2a65a6c,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/d274236f58a4e829e479af8086908be6270d5d28.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406767,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0008,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/3431191c-4b33-0ed2-0ec0-79d6e2a65a6c/manifest,,,,,43
地震大津浪記(安政元年),ジシン オオツナミキ アンセイ ガンネン,090:1:井9,安政元年,1854,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a5ff1ab1-27e7-60db-0b84-f7adecfd6ac4.json,a5ff1ab1-27e7-60db-0b84-f7adecfd6ac4,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/a5ff1ab1-27e7-60db-0b84-f7adecfd6ac4,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a58f9344dd056798269252795ef842b69e1f7215.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406766,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0009,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a5ff1ab1-27e7-60db-0b84-f7adecfd6ac4/manifest,,,,,34
手飛歌恵(手ひかえ)(安政5年10月),テヒカエ アンセイ 5ネン 10ガツ,090:1:井10,安政5年10月,1858,長子,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5592f232-6bde-45bb-6bfb-66b7cf6389b1.json,5592f232-6bde-45bb-6bfb-66b7cf6389b1,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/5592f232-6bde-45bb-6bfb-66b7cf6389b1,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4bef1d0f17366da006b0f1c95eb505bbbf2b7d38.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406765,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0010,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5592f232-6bde-45bb-6bfb-66b7cf6389b1/manifest,,,,,41
亭飛歌恵(てひかえ)(安政5年12月),テヒカエ アンセイ 5ネン 12ガツ,090:1:井11,安政5年12月,1858,長子,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/b82636f9-21ba-0291-27d9-c9e8f9e609f0.json,b82636f9-21ba-0291-27d9-c9e8f9e609f0,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/b82636f9-21ba-0291-27d9-c9e8f9e609f0,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8befb5a0f649e0ab80edac48db6b589e74dbd264.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406764,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0011,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b82636f9-21ba-0291-27d9-c9e8f9e609f0/manifest,,,,,29
和泉より紀刕行 貞飛歌恵(てひかえ)(安政5年),イズミ ヨリ キシュウ テヒカエ アンセイ 5ネン,090:1:井12,安政5年,1858,長子,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/36cecdd3-62e2-a1e2-9b81-40e889387b22.json,36cecdd3-62e2-a1e2-9b81-40e889387b22,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/36cecdd3-62e2-a1e2-9b81-40e889387b22,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0220975a9d4c7f501667c1c969d8f5ad0ce91ce9.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406763,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0012,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/36cecdd3-62e2-a1e2-9b81-40e889387b22/manifest,,,,,24
飛歌恵(安政6年),ヒカエ アンセイ 6ネン,090:1:井13,安政6年,1859,長子,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/acec65f6-012a-089c-4123-4d6d499587ca.json,acec65f6-012a-089c-4123-4d6d499587ca,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/acec65f6-012a-089c-4123-4d6d499587ca,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f0951009cba01e9fdcd434a1bb2eb16b895af6da.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406762,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0013,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/acec65f6-012a-089c-4123-4d6d499587ca/manifest,,,,,26
京都より近江行旅日記 日賀恵(ひかえ)(安政6年),キョウト ヨリ オウミ コウ タビ ニッキ ヒカエ アンセイ 6ネン,090:1:井14,安政6年,1859,,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d886ce31-2bd3-609c-6f84-4991b41420ca.json,d886ce31-2bd3-609c-6f84-4991b41420ca,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/d886ce31-2bd3-609c-6f84-4991b41420ca,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/133075ff08957218eb6a45609fcad06f9de23acc.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406761,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0014,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d886ce31-2bd3-609c-6f84-4991b41420ca/manifest,,,,,20
阿波行記(萬延元年2月),アワコウキ マンエン ガンネン 2ガツ,090:1:井15,萬延元年2月,1860,虫食,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/996f66d5-3442-27e0-1607-8423e8878385.json,996f66d5-3442-27e0-1607-8423e8878385,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/996f66d5-3442-27e0-1607-8423e8878385,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ecf08b67a720db7c2fe00ab3a7f431b84b2ee156.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406760,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0015,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/996f66d5-3442-27e0-1607-8423e8878385/manifest,,,,,38
飛歌恵(ひかえ)(万延元年2月),ヒカエ マンエン ガンネン 2ガツ,090:1:井16,万延元年2月,1860,竹本長子大夫,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d0a4c2f4-811c-8960-9027-14f8ff4739b5.json,d0a4c2f4-811c-8960-9027-14f8ff4739b5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/d0a4c2f4-811c-8960-9027-14f8ff4739b5,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/c5916e4d3e0581284fc2ec18c298f3f0e76b90be.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406759,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0016,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d0a4c2f4-811c-8960-9027-14f8ff4739b5/manifest,,,,,16
小對□居 飛歌恵(ひかえ)(万延元年2月),コ[ヅカ]イ ヒカエ マンエン ガンネン 2ガツ,090:1:井17,万延元年2月,1860,名賀光 虫食 資料名□部分は番または香カ,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/252919a5-7291-93f2-5f90-6ceee5bc598c.json,252919a5-7291-93f2-5f90-6ceee5bc598c,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/252919a5-7291-93f2-5f90-6ceee5bc598c,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8f372b6bce87fb8064917ffaf88b27f1a9db34c6.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406758,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0017,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/252919a5-7291-93f2-5f90-6ceee5bc598c/manifest,,,,,17
諸事日賀恵(ひかえ)(万延9年~2年正月),ショジ ヒカエ マンエン ガンネン 2ネン ショウガツ,090:1:井18,万延元年~2年正月,1860-1961,い津(づ)ゝや傳治郎 虫食,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e958ef08-2fd3-31e6-8987-2aad8809a114.json,e958ef08-2fd3-31e6-8987-2aad8809a114,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/e958ef08-2fd3-31e6-8987-2aad8809a114,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/901fcc780c4052ffd28360cbffcabdcb25274482.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406757,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0018,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e958ef08-2fd3-31e6-8987-2aad8809a114/manifest,,,,,92
道仲日記帳(文久2年5月12日),ドウチュウ ニッキチョウ ブンキュウ 2ネン 5ガツ 12ニチ,090:1:井19,文久2年5月12日,1862,井筒傳糸 井20と合綴,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e7c7789c-1afc-2535-4bbe-a20a7f2b9771.json,e7c7789c-1afc-2535-4bbe-a20a7f2b9771,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/e7c7789c-1afc-2535-4bbe-a20a7f2b9771,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/33e5e07f009d86c186019ef785b0099236fb3a62.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406756,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0019,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e7c7789c-1afc-2535-4bbe-a20a7f2b9771/manifest,,,,,41
諸㕝日記帳 (文久2年戊5月),ショジ ニッキチョウ ブンキュウ 2ネン イヌ 5ガツ,090:1:井20,文久2年戊5月,1862,井筒傳糸 井19に合綴,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/72f1a93c-52a8-7c71-0a16-e27c661792f2.json,72f1a93c-52a8-7c71-0a16-e27c661792f2,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/72f1a93c-52a8-7c71-0a16-e27c661792f2,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6a823e9ca4e1655be8d863dec301b0772cfa09c7.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406755,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0020,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/72f1a93c-52a8-7c71-0a16-e27c661792f2/manifest,,,,,24
諸㕝日記控帳(文久3年正月),ショジ ニッキ ヒカエチョウ ブンキュウ 3ネン ショウガツ,090:1:井21,文久3年正月,1863,[井筒屋傳治郎],http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/45776263-a18b-69b6-25aa-0639a6891208.json,45776263-a18b-69b6-25aa-0639a6891208,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/45776263-a18b-69b6-25aa-0639a6891208,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/419a9a04e752679fd47c7da9adafbe825ac429e4.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406754,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0021,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/45776263-a18b-69b6-25aa-0639a6891208/manifest,,,,,86
諸㕝日記飛歌恵(ひかえ)(文久3年),ショジ ニッキ ヒカエ ブンキュウ 3ネン,090:1:井22,文久3年,1863,井筒屋傳治郎,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f9b83aca-8874-5383-2a76-c57847dc56db.json,f9b83aca-8874-5383-2a76-c57847dc56db,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/f9b83aca-8874-5383-2a76-c57847dc56db,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ef74cc9af9ffb19db9710508f15894b4ac8acb5b.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406753,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0022,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f9b83aca-8874-5383-2a76-c57847dc56db/manifest,,,,,63
諸㕝日記控(元治元年正月),ショジ ニッキ ヒカエ ゲンジ ガンネン ショウガツ,090:1:井23,元治元年正月,1864,竹 名賀光 虫食,http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/6ce05176-12d3-4a04-4d17-905769b64ea5.json,6ce05176-12d3-4a04-4d17-905769b64ea5,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani,https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kitani/document/6ce05176-12d3-4a04-4d17-905769b64ea5,https://www.lib.u-tokyo.ac.jp/ja/library/komaba/user-guide/special-use/archives-data,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bb6e393a89c8e9875c1401a14f6437107bcdda2e.jpg,https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/1406752,"東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN",http://iiif.io/api/presentation/2#rightToLeftDirection,,木谷文庫,0023,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6ce05176-12d3-4a04-4d17-905769b64ea5/manifest,,,,,16
