資料名	資料名冒頭ヨミ	成立年次1	数量	成立年次2（複数年にわたる場合）	トップフォルダ	階層記号	階層名	iiif viewer	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
dcterms:title	dcndl:titleTranscription	dcterms:date	dcterms:extent	archiveshub:dates	archiveshub:folder	archiveshub:level	archiveshub:scopecontent	iiif viewer	bibo:identifier	dcterms:isPartOf	dcterms:relation	dcterms:rights	foaf:thumbnail	rdfs:seeAlso	sc:attributionLabel	sc:viewingDirection	sc:viewingHint	uterms:databaseLabel	uterms:sort	uterms:year	uterms:manifestUri	uterms:searchApiUri	uterms:annotedManifest	uterms:linkToTapas	uterms:rtf	1249
徳育について	トクイク		1枚		第一高等学校関係文書	一高01	一高関係草稿(一)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/81c23893-9cbd-1145-0878-f24955c810ce.json	81c23893-9cbd-1145-0878-f24955c810ce	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/81c23893-9cbd-1145-0878-f24955c810ce	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/eef9a9fd353239de2f7c9d7311b1c2bb6923b998.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539037	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0001		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/81c23893-9cbd-1145-0878-f24955c810ce/manifest					4
学生の兵役に関する文書	ガクセイ		8枚		第一高等学校関係文書	一高01	一高関係草稿(一)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c9e6b399-61d2-2f90-69a8-2c1d6c590286.json	c9e6b399-61d2-2f90-69a8-2c1d6c590286	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/c9e6b399-61d2-2f90-69a8-2c1d6c590286	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/347a86f205d1b09fee9e2834d41a4051fbe28dee.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539038	東京大学工学・情報理工学図書館工3号館図書室 Engineering Bldg. 3 Library, Libraries for Engineering and Information Science & Technology, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0002		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c9e6b399-61d2-2f90-69a8-2c1d6c590286/manifest					16
プッチールの銅像寄付に際しての謝辞 付・プッチールの略歴	プッチール	1902.11.09	3枚		第一高等学校関係文書	一高01	一高関係草稿(一)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/78ec8305-7465-915e-96f7-53f13cda2460.json	78ec8305-7465-915e-96f7-53f13cda2460	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/78ec8305-7465-915e-96f7-53f13cda2460	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/eed8b88122d76b7d8d3f7308662aafc7bc373f30.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539039	東京大学工学・情報理工学図書館工3号館図書室 Engineering Bldg. 3 Library, Libraries for Engineering and Information Science & Technology, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0003		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/78ec8305-7465-915e-96f7-53f13cda2460/manifest					3
菊池謙二郎送別会の案内状草稿と会の出欠表	キクチケンジロウ		1枚		第一高等学校関係文書	一高01	一高関係草稿(一)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5fe5f99f-7706-2338-9130-94b967ab4693.json	5fe5f99f-7706-2338-9130-94b967ab4693	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/5fe5f99f-7706-2338-9130-94b967ab4693	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2bcee404509e6cb0f04824e4db14ba0ff19f2a19.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539040	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0004		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5fe5f99f-7706-2338-9130-94b967ab4693/manifest					2
入学式式辞(一)	ニュウガクシキ	1904	4枚		第一高等学校関係文書	一高02	一高関係草稿(二)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ef7a8e25-9832-437b-608a-11dac678245b.json	ef7a8e25-9832-437b-608a-11dac678245b	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/ef7a8e25-9832-437b-608a-11dac678245b	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0a3eaebcae3cf9b571e692ee29ccecad69dcf3cf.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539041	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0005		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ef7a8e25-9832-437b-608a-11dac678245b/manifest					8
入学式式辞(二)	ニュウガクシキ		1綴		第一高等学校関係文書	一高02	一高関係草稿(二)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/63013625-4cb3-496b-58f4-cf1d0dd36219.json	63013625-4cb3-496b-58f4-cf1d0dd36219	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/63013625-4cb3-496b-58f4-cf1d0dd36219	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/880792a94254db57ac5d832733bf6492f2e72c92.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539042	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0006		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/63013625-4cb3-496b-58f4-cf1d0dd36219/manifest					12
入学式式辞(三)	ニュウガクシキ	1899	1綴		第一高等学校関係文書	一高02	一高関係草稿(二)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c934a73c-3caa-2b17-2ff0-27e98285883a.json	c934a73c-3caa-2b17-2ff0-27e98285883a	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/c934a73c-3caa-2b17-2ff0-27e98285883a	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f1a4e80f29c846e202c1cd76d94fde73b14432d4.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539043	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0007		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c934a73c-3caa-2b17-2ff0-27e98285883a/manifest					6
卒業式式辞(一)	ソツギョウシキ	1900	1巻		第一高等学校関係文書	一高02	一高関係草稿(二)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bbb1ad23-7b93-5935-636b-10495095233b.json	bbb1ad23-7b93-5935-636b-10495095233b	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/bbb1ad23-7b93-5935-636b-10495095233b	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f81e811fdf7ed55244b6da7b8754165321236410.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539044	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0008		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bbb1ad23-7b93-5935-636b-10495095233b/manifest					7
卒業式式辞(二)	ソツギョウシキ	1902	1綴		第一高等学校関係文書	一高02	一高関係草稿(二)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/775cacac-5c8a-8d81-1f81-18f08bfe433c.json	775cacac-5c8a-8d81-1f81-18f08bfe433c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/775cacac-5c8a-8d81-1f81-18f08bfe433c	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/4cb9af6d5085752783a458579f7174469669d5f7.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539045	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0009		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/775cacac-5c8a-8d81-1f81-18f08bfe433c/manifest					8
卒業式式辞(三)	ソツギョウシキ		1枚		第一高等学校関係文書	一高02	一高関係草稿(二)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1eb4b8f3-126b-8327-1ba0-21e97ee75ee8.json	1eb4b8f3-126b-8327-1ba0-21e97ee75ee8	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/1eb4b8f3-126b-8327-1ba0-21e97ee75ee8	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/69c712bef01511326056cf5a1c6b2723e1c3c183.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539046	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0010		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1eb4b8f3-126b-8327-1ba0-21e97ee75ee8/manifest					4
卒業式式辞(四)	ソツギョウシキ		1枚		第一高等学校関係文書	一高02	一高関係草稿(二)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/bfa5985b-2d8a-40bd-84ad-cad3f9274805.json	bfa5985b-2d8a-40bd-84ad-cad3f9274805	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/bfa5985b-2d8a-40bd-84ad-cad3f9274805	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/cba65fa7865dbeb05156c11edc069b197202fd00.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539047	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0011		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/bfa5985b-2d8a-40bd-84ad-cad3f9274805/manifest					2
第二臨時教員養成所第二回卒業式式辞	ダイニリンジ		1枚		第一高等学校関係文書	一高02	一高関係草稿(二)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/31b8c53f-9689-a523-7f4c-25cd12035a37.json	31b8c53f-9689-a523-7f4c-25cd12035a37	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/31b8c53f-9689-a523-7f4c-25cd12035a37	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b2dbee4d897f37b4fdf6e87e420fe038ca92caf9.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539048	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0012		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/31b8c53f-9689-a523-7f4c-25cd12035a37/manifest					2
旅順開城祝捷式典式辞	リョジュン	1905.01.11	1枚		第一高等学校関係文書	一高02	一高関係草稿(二)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8869680f-5acf-6c45-0895-14b39cf712ef.json	8869680f-5acf-6c45-0895-14b39cf712ef	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/8869680f-5acf-6c45-0895-14b39cf712ef	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2ebaadbabce575d8a301d0a648277da4b946274f.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539049	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0013		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8869680f-5acf-6c45-0895-14b39cf712ef/manifest					1
寄宿寮紀念式典式辞	キシュクリョウ	1901.03.01	1枚		第一高等学校関係文書	一高02	一高関係草稿(二)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/c09cbfe4-7b7b-1295-390a-e5ee7da20225.json	c09cbfe4-7b7b-1295-390a-e5ee7da20225	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/c09cbfe4-7b7b-1295-390a-e5ee7da20225	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/daf9e6bb187537c90e33413546269c99625f4f2b.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539050	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0014		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/c09cbfe4-7b7b-1295-390a-e5ee7da20225/manifest					3
告諭	コクユ		2種3枚		第一高等学校関係文書	一高02	一高関係草稿(二)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/4b68a417-0749-5d77-52a7-2a4a588d97e0.json	4b68a417-0749-5d77-52a7-2a4a588d97e0	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/4b68a417-0749-5d77-52a7-2a4a588d97e0	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/ff66ce49ebbc6d9b6bd7ac3686b9ae375b65e984.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539051	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0015		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4b68a417-0749-5d77-52a7-2a4a588d97e0/manifest					2
告諭	コクユ		2種3枚		第一高等学校関係文書	一高02	一高関係草稿(二)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1b5bbb3d-2f40-771a-6bba-6c73b777941f.json	1b5bbb3d-2f40-771a-6bba-6c73b777941f	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/1b5bbb3d-2f40-771a-6bba-6c73b777941f	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8e8b1ce74bf0a58ce711bde214ffbd58b0d96374.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539052	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0016		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/1b5bbb3d-2f40-771a-6bba-6c73b777941f/manifest					2
講演「学校共同生活に関して」	コウエン		1巻		第一高等学校関係文書	一高02	一高関係草稿(二)	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/7112795c-7162-4a89-59c4-c232cff55b03.json	7112795c-7162-4a89-59c4-c232cff55b03	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/7112795c-7162-4a89-59c4-c232cff55b03	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/0c5b0889edb6ad3582e2432b15ba6ded1b493f21.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539053	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0017		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/7112795c-7162-4a89-59c4-c232cff55b03/manifest					8
一高関係メモ類	イチコウカンケイ				第一高等学校関係文書	一高03	一高関係メモ類	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/f8f06bff-65a0-6201-8d06-f7b68f94354c.json	f8f06bff-65a0-6201-8d06-f7b68f94354c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/f8f06bff-65a0-6201-8d06-f7b68f94354c	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/f9375b2d38ba3ae9684bfbbc8f6ee0d041bbe74c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539054	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0018		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f8f06bff-65a0-6201-8d06-f7b68f94354c/manifest					14
一高関係メモ類	イチコウカンケイ				第一高等学校関係文書	一高03	一高関係メモ類	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/be0cac22-a437-17d3-71ae-c5e8ad9ba430.json	be0cac22-a437-17d3-71ae-c5e8ad9ba430	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/be0cac22-a437-17d3-71ae-c5e8ad9ba430	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8943119255755acde3856df64e508a80fe182673.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539055	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0019		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/be0cac22-a437-17d3-71ae-c5e8ad9ba430/manifest					22
一高関係メモ類	イチコウカンケイ				第一高等学校関係文書	一高03	一高関係メモ類	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/a21748c8-7d95-625c-9fe3-83a7cc0941aa.json	a21748c8-7d95-625c-9fe3-83a7cc0941aa	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/a21748c8-7d95-625c-9fe3-83a7cc0941aa	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/92bd086fd153b4c2977a8dc49ece00f67c55e927.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539056	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0020		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/a21748c8-7d95-625c-9fe3-83a7cc0941aa/manifest					13
一高関係メモ類	イチコウカンケイ				第一高等学校関係文書	一高03	一高関係メモ類	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/d7d4127c-6093-a446-8eb9-f271636c41c0.json	d7d4127c-6093-a446-8eb9-f271636c41c0	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/d7d4127c-6093-a446-8eb9-f271636c41c0	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/feabcecccbbaa900612be96e87f2f7022ebe76cc.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539057	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0021		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/d7d4127c-6093-a446-8eb9-f271636c41c0/manifest					14
一高関係メモ類	イチコウカンケイ				第一高等学校関係文書	一高03	一高関係メモ類	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/8038fc49-8119-6505-5da1-83a3f9a17dca.json	8038fc49-8119-6505-5da1-83a3f9a17dca	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/8038fc49-8119-6505-5da1-83a3f9a17dca	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/50ee9faffef7fd8c63ba3cfbdf61a1d3137c778e.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539058	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0022		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/8038fc49-8119-6505-5da1-83a3f9a17dca/manifest					13
一高関係メモ類	イチコウカンケイ				第一高等学校関係文書	一高03	一高関係メモ類	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e59a1911-1bfc-14d1-9912-62d793655003.json	e59a1911-1bfc-14d1-9912-62d793655003	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/e59a1911-1bfc-14d1-9912-62d793655003	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/46dc42f17ea9fa309db9c2133b26bd922d20509b.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539059	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0023		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e59a1911-1bfc-14d1-9912-62d793655003/manifest					8
一高関係メモ類	イチコウカンケイ				第一高等学校関係文書	一高03	一高関係メモ類	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/0c9ab5ef-a52a-2424-68c7-2b3246a1208f.json	0c9ab5ef-a52a-2424-68c7-2b3246a1208f	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/0c9ab5ef-a52a-2424-68c7-2b3246a1208f	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/3c6c78284084ccf6427b3e7f0c4ea738e94a58d1.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539060	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0024		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0c9ab5ef-a52a-2424-68c7-2b3246a1208f/manifest					5
一高関係メモ類	イチコウカンケイ				第一高等学校関係文書	一高03	一高関係メモ類	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ed55b803-507a-6f79-4f6e-94f26a0e291f.json	ed55b803-507a-6f79-4f6e-94f26a0e291f	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kanok/document/ed55b803-507a-6f79-4f6e-94f26a0e291f	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/90bbe65570dfb79b6980c76af9a612009f711bbb.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/539061	東京大学駒場図書館 Komaba Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		狩野亨吉文書	0025		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ed55b803-507a-6f79-4f6e-94f26a0e291f/manifest					7
