タイトル	請求記号	タイトルヨミ	別タイトル	著者	出版社	出版年（西暦）	出版年（和暦）	著作の構成	刊写の別	大きさ（縦×横）	注記	言語	種別	公開コレクション名	iiif viewer	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	viewingHint	コレクション	ソート用項目	西暦	IIIFマニフェストURI	IIIF Search API URI	アノテーション付きIIIFマニフェストURI	Link to TAPAS Project	Text with Rich Text Format	# of media
dcterms:title	dcndl:callNumber	dcndl:titleTranscription	dcterms:alternative	dcterms:creator	dcterms:publisher	dcterms:issued	dcterms:date	bibo:numVolumes	dcterms:type	dcterms:extent	dcterms:description	dcterms:language	dcndl:materialType	uterms:bunko	iiif viewer	bibo:identifier	dcterms:isPartOf	dcterms:relation	dcterms:rights	foaf:thumbnail	rdfs:seeAlso	sc:attributionLabel	sc:viewingDirection	sc:viewingHint	uterms:databaseLabel	uterms:sort	uterms:year	uterms:manifestUri	uterms:searchApiUri	uterms:annotedManifest	uterms:linkToTapas	uterms:rtf	6768
柳南鯨記	A00:5849	リュウナン ゲイキ	鯨族譜	谷村柳南編	不明	不明	不明	1冊	写	大	分類:動物マイクロフィルム番号:3-5-4	日本語	和古書		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/1f2ed9da-a2cf-4033-2086-2d3e3fb09386.json	1f2ed9da-a2cf-4033-2086-2d3e3fb09386	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koten/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koten/document/1f2ed9da-a2cf-4033-2086-2d3e3fb09386	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/fc6ea3a39309083a5a5dc560ec23b335773f77bc.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/171970	東京大学総合図書館 General Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		総合図書館所蔵古典籍	48		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/171970/manifest					49
孝行録	A00:5871	コウコウロク			不明	不明	不明	1帙	写	大	"印記 : 南葵文庫分類:教訓
マイクロフィルム番号:3-5-13"	日本語	和古書	南葵文庫	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/5778a1c4-1b8f-1dfc-24b5-38be7fcc1dab.json	5778a1c4-1b8f-1dfc-24b5-38be7fcc1dab	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koten/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koten/document/5778a1c4-1b8f-1dfc-24b5-38be7fcc1dab	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/a6dd15f17241b3ef620f27aeb5b3b5f1b20263dd.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/171990	東京大学総合図書館 General Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		総合図書館所蔵古典籍	49		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/171990/manifest					41
曽我物語	A00:5796	ソガ  モノガタリ			不明	不明	不明	12冊	刊	大	"古活字版分類:軍記物語
マイクロフィルム番号:6-9-2"	日本語	和古書		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/78ae6f7f-5f09-8d58-9f56-366dfa599642.json	78ae6f7f-5f09-8d58-9f56-366dfa599642	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koten/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koten/document/78ae6f7f-5f09-8d58-9f56-366dfa599642	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/8b7027d541111447fd97b1074b1db765aff1c1e7.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/172019	東京大学総合図書館 General Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		総合図書館所蔵古典籍	5		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/172019/manifest					630
藻芥	A00:6390	モクズ		中院通茂著	[京都]	不明	不明	2冊	写	大	"自筆稿本印記 : 萩野本内藤耻叟の蔵書印あり奥書ニ「右中院通茂公自筆歌集二冊自貞享四年●至宝永二年●全備後宝永七年三月二十一日薨年八十云 此出明治二十八年頃得之於東京下谷文明堂可珍 内藤耻叟書之」トアリ分類:歌集
マイクロフィルム番号:3-13-10"	日本語	和古書		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ecdb69c8-a18d-42d5-3df7-f2f4bccf096a.json	ecdb69c8-a18d-42d5-3df7-f2f4bccf096a	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koten/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koten/document/ecdb69c8-a18d-42d5-3df7-f2f4bccf096a	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/930f1a8036aea151b20a78e6b1c644f61277f02b.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/171999	東京大学総合図書館 General Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		総合図書館所蔵古典籍	50		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/171999/manifest					171
今は昔	A00:4089	イマ ワ ムカシ	今物語		不明	不明	不明	1冊	写	大	"書写者 : 黒澤翁満印記 : ●居蔵書書後ニ「これの物語ふみもしの誤いと多くて中にはことの心わきかたきさへ●あなる然はあれとも今写すにいささかもさかしらをましへすあやまりけに見ゆるふしくはもしの形をさへに●がままに物し待るなりつきくかうかんたしなむ物● もんせうのむとせといふとしの平翁満きさらきのつこもりかた」トアリ黒澤翁満自筆本。表紙ニ「今物語」トモ並記アルモ信実ノソレトハ違ル、「今は昔」トハ巻頭ノ文句ニアリテ表紙ニモ(翁満筆ナラム)アリ。コノ書ト同内容ノモノノ版本(「世継物語」ト題セル由)アル由。分類:物語
マイクロフィルム番号:3-14-21"	日本語	和古書		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ca9dfffb-8019-569c-7af5-b0e1e79422c1.json	ca9dfffb-8019-569c-7af5-b0e1e79422c1	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koten/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koten/document/ca9dfffb-8019-569c-7af5-b0e1e79422c1	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6ef82bc6e7c96d3eb0d4c497276d794d54cabf51.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/171976	東京大学総合図書館 General Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		総合図書館所蔵古典籍	51		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/171976/manifest					30
和清人魏惟度八居韻	A00:6412	シンジン ギユイド ハッキョ ノ イン ニ ワス	和清人八居韻	新井白石著	江戸	不明	不明	1冊	写	中	"印記 : 萩野本奥書ニ「白石先生手書由之印」トアリ分類:漢詩
マイクロフィルム番号:3-31-13"	日本語	和古書		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/ed146214-5a40-5419-7770-bdb8f8ef4ae2.json	ed146214-5a40-5419-7770-bdb8f8ef4ae2	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koten/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koten/document/ed146214-5a40-5419-7770-bdb8f8ef4ae2	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/b985b95f5fbe4de37b93709d7af99ff43d1f07ee.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/172028	東京大学総合図書館 General Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		総合図書館所蔵古典籍	52		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/172028/manifest					15
島原御影供紋日	A00:4253	シマバラ ミエク ノ モンビ	かはりとよかつしまばらみゑくのもん日		不明	不明	不明	1冊	刊	中	"題簽は島原御影供紋日 分類:浄瑠璃
マイクロフィルム番号:3-33-7"	日本語	和古書		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/cc0ebcb2-3979-67e7-712b-9e1f2a688361.json	cc0ebcb2-3979-67e7-712b-9e1f2a688361	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koten/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koten/document/cc0ebcb2-3979-67e7-712b-9e1f2a688361	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/deba1d4284cccb95802cfa268ae5476bf09cc2b3.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/171983	東京大学総合図書館 General Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		総合図書館所蔵古典籍	53		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/171983/manifest					12
犬筑波集	A00:4294	イヌツクバシュウ	新撰犬筑波集	山崎宗鑑著	不明	不明	不明	1冊	刊	小	"印記 : ダルマヤ五一印記 : 坂田文庫印記 : 南葵文庫分類:俳諧
マイクロフィルム番号:4-9-24"	日本語	和古書	南葵文庫	http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/276ad5b5-9b59-9035-1912-c22ddbf56cd5.json	276ad5b5-9b59-9035-1912-c22ddbf56cd5	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koten/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koten/document/276ad5b5-9b59-9035-1912-c22ddbf56cd5	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/5b0f5c443e81eb74a59493c0673b0f5c33e586c3.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/171977	東京大学総合図書館 General Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		総合図書館所蔵古典籍	54		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/171977/manifest					44
麞説	A00:5841	ショウセツ		栗本瑞仙院(丹洲)著	不明	1819	文政3	1冊	写	大	"丹波元●題字、森枳園自筆奥書印記 : 田中本森氏の朱印あり奥書ニ「此一冊三葉丹洲君手書明治丙子三月二十五棟庵大淵君●贈写 古稀翁枳園 立之」トアリ分類:動物
マイクロフィルム番号:4-11-12"	日本語	和古書		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/101a903c-9a91-226d-2b7a-f1b5853d1d6d.json	101a903c-9a91-226d-2b7a-f1b5853d1d6d	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koten/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koten/document/101a903c-9a91-226d-2b7a-f1b5853d1d6d	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/de530a20ea2c07f1b518c88537f40ff729aa95e6.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/172015	東京大学総合図書館 General Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		総合図書館所蔵古典籍	55		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/172015/manifest					6
其砧	A00:6433	ソノ キヌタ		富岡有佐著 ; 平砂編	江戸 ; 京都 : 西村源六 : 西村市郎右衛門	1741	寛保1	2巻2冊(1帙入)	刊	23 cm	分類:俳諧マイクロフィルム番号:4-11-8	日本語	和古書		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/e260ea9c-6ee4-18ef-6895-c2540d0b84d6.json	e260ea9c-6ee4-18ef-6895-c2540d0b84d6	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koten/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koten/document/e260ea9c-6ee4-18ef-6895-c2540d0b84d6	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/14fce2cb5b22d61c895129f84aefe5d8a48e9e2c.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/172020	東京大学総合図書館 General Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		総合図書館所蔵古典籍	56		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/172020/manifest					72
くずは道心	A00:4247	クズハ ドウシン			京都	1674	延宝2	1冊	刊	中	分類:浄瑠璃マイクロフィルム番号:4-13-10	日本語	和古書		http://tify.sub.uni-goettingen.de/demo.html?manifest=https://archdataset.dl.itc.u-tokyo.ac.jp/manifest/720ab3e9-54b3-12b4-50d2-59de91f43e87.json	720ab3e9-54b3-12b4-50d2-59de91f43e87	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koten/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koten/document/720ab3e9-54b3-12b4-50d2-59de91f43e87	https://www.lib.u-tokyo.ac.jp/ja/library/contents/archives-top/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/2babbf17f822cdaa2752873e2456ed87a9d0b229.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/171995	東京大学総合図書館 General Library, The University of Tokyo, JAPAN	http://iiif.io/api/presentation/2#rightToLeftDirection		総合図書館所蔵古典籍	57		https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/171995/manifest					19
