タイトル	年月日	本文タイトル（原本）	巻頭目録タイトル（原本）	本文タイトル（標点本）	巻頭目録タイトル（標点本）	冊	巻	条	画像（開始コマ）	請求記号	類	目	影印本	標点本	Date Created	ID	ウェブサイトURL	アイテムURL	利用条件	サムネイル	機械可読ドキュメント	帰属	viewingDirection	コレクション	IIIFマニフェストURI	ソート用項目	西暦	# of media
dcterms:title	dcterms:date	koumin:titleD	koumin:titleB	koumin:titleC	koumin:titleA	bibo:numVolumes	bibo:volume	koumin:jyo	dcterms:identifier	dcndl:callNumber	koumin:rui	koumin:moku	koumin:facsimile	koumin:mark	dcterms:created	bibo:identifier	dcterms:isPartOf	dcterms:relation	dcterms:rights	foaf:thumbnail	rdfs:seeAlso	sc:attributionLabel	sc:viewingDirection	uterms:databaseLabel	uterms:manifestUri	uterms:sort	uterms:year	3792
過失殺人絞罪收贖鈔三十三貫六伯文銅錢八貫四百文例	成化1.7.14	過失殺人絞罪收贖鈔三十三貫六伯文銅錢八貫四百文例	過失殺人絞罪收贖鈔三十三貫六伯文銅錢八貫四百文例/前件成化元年七月十四日陳言事	過失殺人絞罪收贖鈔三十三貫六佰文銅錢八貫四百文例	過失殺人絞罪收贖鈔三十三貫六佰文銅錢八貫四百文例/前件成化元年七月十四日陳言事	第1冊	卷1	第1條	0001-00016	A00:6290:1	五刑類	五刑	上-6上表	乙4-6(1-1)	1465-070-14	920de018-cf14-4586-9f1b-771a4130c187	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/920de018-cf14-4586-9f1b-771a4130c187	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/100869/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99286	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/920de018-cf14-4586-9f1b-771a4130c187/manifest			6
贖罪通行收鈔不准例	成化1.8.4	贖罪通行收鈔不准例	贖罪通行收鈔不准例/前件成化元年八月初四日建言民情利便事	贖罪通行收鈔不准例	贖罪通行收鈔不准例/前件成化元年八月初四日建言民情利便事	第1冊	卷1	第2條	0001-00021	A00:6290:1	五刑類	五刑	上-8下表	乙4-10(1-2)	1465-080-04	9fa3d3a0-014c-437d-b6f0-3a55db977a61	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/9fa3d3a0-014c-437d-b6f0-3a55db977a61	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/104281/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99287	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9fa3d3a0-014c-437d-b6f0-3a55db977a61/manifest			2
在京雜犯死罪幷徒流笞杖納豆則例	成化2.2.8	在京雜犯死罪幷徒流笞杖納豆則例	在京雜犯罪徒流笞杖納豆則例/前件成化二年二月初八日思患預防事	在京雜犯死罪幷徒流笞杖納豆則例	在京雜犯[死]罪[幷]徒流笞杖納豆則例/前件成化二年二月初八日思患預防事	第1冊	卷1	第3條	0001-00023	A00:6290:1	五刑類	五刑	上-9下表	乙4-11(1-3)	1466-020-08	9186261a-1499-4ea0-aa7a-855857aef158	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/9186261a-1499-4ea0-aa7a-855857aef158	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/103844/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99288	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9186261a-1499-4ea0-aa7a-855857aef158/manifest			2
有力囚人般運水和炭例	成化2.2.12	有力囚人般運水和炭例	有力囚人搬運水和炭例/前件成化二年二月十二日急缺物料事	有力囚人搬運水和炭例	有力囚人搬運水和炭例/前件成化二年二月十二日急缺物料事	第1冊	卷1	第4條	0001-00025	A00:6290:1	五刑類	五刑	上-10下表	乙4-13(1-4)	1466-020-12	aedd46ef-7ef7-48fe-9b4b-0dc6b29912d3	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/aedd46ef-7ef7-48fe-9b4b-0dc6b29912d3	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/103762/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99289	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/aedd46ef-7ef7-48fe-9b4b-0dc6b29912d3/manifest			2
法司審定有力囚犯問擬運磚運項不許捏稱無力奏要改撥做工例	成化3.3.20	法司審定有力囚犯問擬運磚運項不許捏稱無力奏要改撥做工例	法司審定有力囚犯問發運礙等項不許捏稱無力奏要改撥做工例/前件成化三年三月二十日乞恩事	法司審定有力囚犯問擬運磚(運)[等]項不許捏稱無力奏要改撥做工例	法司審定有力囚犯問擬運磚等項不許捏稱無力奏要改撥做工例/前件成化三年三月二十日乞恩事	第1冊	卷1	第5條	0001-00027	A00:6290:1	五刑類	五刑	上-11下表	乙4-14(1-5)	1467-030-20	ac722b79-6e60-470c-98c4-7361a38399b0	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/ac722b79-6e60-470c-98c4-7361a38399b0	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/102581/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99290	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ac722b79-6e60-470c-98c4-7361a38399b0/manifest			2
納馬贖罪照原運灰脚價折納例	成化2.3.23	納馬贖罪照原運灰脚價折納例	納馬贖罪照原灰脚慣折納例/前件成化二年三月二十三日區畫馬政事	納馬贖罪照原運灰脚價折納例	納馬贖罪照[運]原灰脚(慣)[價]折納例/前件成化二年三月二十三日區畫馬政事	第1冊	卷1	第6條	0001-00029	A00:6290:1	五刑類	五刑	上-12下表	乙4-15(1-6)	1466-030-23	9b29941f-9478-4885-9d12-948b6adf9e2d	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/9b29941f-9478-4885-9d12-948b6adf9e2d	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/104101/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99291	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/9b29941f-9478-4885-9d12-948b6adf9e2d/manifest			3
有力囚人折納紙箚例	成化2.4.23	有力囚人折納紙箚例	有力囚人折納紙箚例/前件成化二年四月二十三日公用紙箚事	有力囚人折納紙箚例	有力囚人折納紙箚例/前件成化二年四月二十三日公用紙箚事	第1冊	卷1	第7條	0001-00031	A00:6290:1	五刑類	五刑	上-13下表	乙4-17(1-7)	1466-040-23	e300a6c5-5705-4db7-a799-fe3396ac8818	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/e300a6c5-5705-4db7-a799-fe3396ac8818	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/104206/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99292	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/e300a6c5-5705-4db7-a799-fe3396ac8818/manifest			2
有力囚人運石則例	成化4.3.7	有力囚人運石則例	有力囚人運石則例/前件成化四年三月初七日運石事	有力囚人運石則例	有力囚人運石則例/前件成化四年三月初七日運石事	第1冊	卷1	第8條	0001-00032	A00:6290:1	五刑類	五刑	上-14上表	乙4-18(1-8)	1468-030-07	44b5c4a5-17c2-4df7-a65e-3ade186658f5	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/44b5c4a5-17c2-4df7-a65e-3ade186658f5	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/103837/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99293	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/44b5c4a5-17c2-4df7-a65e-3ade186658f5/manifest			2
在外問擬雜犯死罪以下囚犯有力愿納米者不分官吏軍民人等定擬就近倉分上納例	成化4.7.4	在外問擬雜犯死罪以下囚犯有力愿納米者不分官吏軍民人等定擬就近倉分上納例	在外問擬雜犯死罪以下囚犯有力愿納米者不分官吏軍民人等定撥就近倉分上納例/前件成化四年七月初四日納米贖罪事	在外問擬雜犯死罪以下囚犯有力願納米者不分官吏軍民人等定撥就近倉分上納例	在外問擬雜犯死罪以下囚犯有力願納米者不分官吏軍民人等定(擬)[撥]就近倉分上納例/前件成化四年七月初四日納米贖罪事	第1冊	卷1	第9條	0001-00034	A00:6290:1	五刑類	五刑	上-15上表	乙4-20(1-9)	1468-070-04	163b5185-a7c5-454e-8aa2-ab5986960495	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/163b5185-a7c5-454e-8aa2-ab5986960495	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/104180/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99294	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/163b5185-a7c5-454e-8aa2-ab5986960495/manifest			3
納粟贖罪則例	成化6.12.10	納粟贖罪則例	納粟贖罪則例/前件成化六年十二月初十日處置救荒恤民事	納粟贖罪則例	納粟贖罪則例/前件成化六年十二月初十日處置救荒恤民事	第1冊	卷1	第10條	0001-00036	A00:6290:1	五刑類	五刑	上-16上表	乙4-21(1-10)	1470-120-10	ce876ea2-be1b-4bd7-8331-1c86eaebf6b0	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/ce876ea2-be1b-4bd7-8331-1c86eaebf6b0	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/101326/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99295	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ce876ea2-be1b-4bd7-8331-1c86eaebf6b0/manifest			5
操官總小旗等免罰紙	成化10.4.8	操官總小旗等免罰紙	操官總小旗等免罰紙/前件成化十年四月初八日處置條例事	操官總小旗等免罰紙	操官總小旗等免罰紙/前件成化十年四月初八日處置條例事	第1冊	卷1	第11條	0001-00040	A00:6290:1	五刑類	五刑	上-18上表	乙4-25(1-11)	1474-040-08	5c08c5ba-771c-4b47-b494-0fbb09bd4fec	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/5c08c5ba-771c-4b47-b494-0fbb09bd4fec	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/101020/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99296	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/5c08c5ba-771c-4b47-b494-0fbb09bd4fec/manifest			2
軍職不係滿徒仍還職管事例	成化10.4.8	軍職不係滿徒仍還職管事例	軍職不係滿徒仍還職管事例/前件成化十年四月初八日處置條例事	軍職不係滿徒仍還職管事例	軍職不係滿徒仍還職管事例/前件成化十年四月初八日處置條例事	第1冊	卷1	第12條	0001-00041	A00:6290:1	五刑類	五刑	上-18下表	乙4-25(1-12)	1474-040-08	0223c70b-7500-4878-b49f-87e510e34364	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/0223c70b-7500-4878-b49f-87e510e34364	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/101277/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99297	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0223c70b-7500-4878-b49f-87e510e34364/manifest			2
太常寺廚役納鈔贖罪其犯奸盜詐僞及有誤供祀等項照舊的決做工改撥光祿寺應役例	成化10.閏6.11	太常寺廚役納鈔贖罪其犯奸盜詐僞及有誤供祀等項照舊的決做工改撥光祿寺應役例	大常寺廚役納鈔贖罪其犯姦盜詐僞及有悞供祀等項照舊的決做工改撥光祿寺應役例/前件成化十年閏六月十一日廚役贖罪事	太常寺廚役納鈔贖罪其犯姦盜詐僞及有誤供祀等項照舊的決做工改撥光祿寺應役例	太常寺廚役納鈔贖罪其犯姦盜詐僞及有誤供祀等項照舊的決做工改(擬)[撥]光祿寺應役例/前件成化十年閏六月十一日廚役贖罪事	第1冊	卷1	第13條	0001-00042	A00:6290:1	五刑類	五刑	上-19上表	乙4-26(1-13)	1474-065-11	f5b4f7a4-56ff-4987-94a5-25da8f35f92d	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/f5b4f7a4-56ff-4987-94a5-25da8f35f92d	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/101097/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99298	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/f5b4f7a4-56ff-4987-94a5-25da8f35f92d/manifest			2
內外問刑衙門遇有在京衞分委官把總軍吏人等前去通州倉關糧通同作弊巡倉御史備由送法司提問連灰做工等項發落其通州等衞幷在京府衞所屬官舍軍民人等逃移各處幷買賣之人有犯雜犯死罪以下俱照在外事例一體納米哨嘹擺站等項發妖言等項重情仍解法司例	成化13.8.7	內外問刑衙門遇有在京衞分委官把總軍吏人等前去通州倉關糧通同作弊巡倉御史備由送法司提問連灰做工等項發落其通州等衞幷在京府衞所屬官舍軍民人等逃移各處幷買賣之人有犯雜犯死罪以下俱照在外事例一體納米哨嘹擺站等項發妖言等項重情仍解法司例	內外問刑衙門遇有在京衞分委官把總官吏人等前去通州倉關糧通同作弊巡倉御史備由送法司提問運灰做工等項發落其通州等衞幷在京府衞所屬官舍軍民人等逃移各處居住幷買賣之人有犯雜犯死罪以下俱照在外事例一體納米哨嘹擺站等項發落妖言等項重情仍解法司例/前件成化十三年八月初七日陳言發落罪囚事	內外問刑衙門遇有在京衞分委官把總官吏人等前去通州倉關糧通同作弊巡倉御史備由送法司提問運灰做工等項發落其通州等衞幷在京府衞所屬官舍軍民人等逃移各處居住幷買賣之人有犯雜犯死罪以下俱照在外事例一體納米哨瞭擺站等項發[落]妖言等項重情仍解法司例	內外問刑衙門遇有在京衞分委官把總官吏人等前去通州倉關糧通同作弊巡倉御史備由送法司提問運灰做工等項發落其通州等衞幷在京府衞所屬官舍軍民人等逃移各處居住幷買賣之人有犯雜犯死罪以下俱照在外事例一體納米哨瞭擺站等項發落妖言等項重情仍解法司例/前件成化十三年八月初七日陳言發落罪囚事	第1冊	卷1	第14條	0001-00044	A00:6290:1	五刑類	五刑	上-20上表	乙4-27(1-14)	1477-080-07	6ae8fcc7-3206-4679-97b0-48e36fb76f65	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/6ae8fcc7-3206-4679-97b0-48e36fb76f65	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/103930/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99299	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/6ae8fcc7-3206-4679-97b0-48e36fb76f65/manifest			4
運磚運灰炭等項囚犯無力監追半年之上未完者改撥做工例	成化15.2.14	運磚運灰炭等項囚犯無力監追半年之上未完者改撥做工例	運磚運灰運炭等項囚犯無力監追半年之上未完者改撥做工例/前件成化十五年二月十四日陳言事	運磚運灰[運]炭等項囚犯無力監追半年之上未完者改撥做工例	運磚運灰運炭等項囚犯無力監追半年之上未完者改(擬)[撥]做工例/前件成化十五年二月十四日陳言事	第1冊	卷1	第15條	0001-00047	A00:6290:1	五刑類	五刑	上-21下表	乙4-30(1-15)	1479-020-14	ccd47445-7970-4826-bb15-0437b492ccd6	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/ccd47445-7970-4826-bb15-0437b492ccd6	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/101792/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99300	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ccd47445-7970-4826-bb15-0437b492ccd6/manifest			3
笞杖罪囚例該做工者出備工價修理監牆廳庫例	成化15.8.24	笞杖罪囚例該做工者出備工價修理監牆廳庫例	笞罪囚例該做工者備出工價修理監牆廳庫例/前件成化十五年八月二十四日修理監牆等事	笞杖罪囚例該做工者出備工價修理監牆廳庫例	笞杖罪囚例該做工者出備工價修理監牆廳庫例/前件成化十五年八月二十四日修理監牆等事	第1冊	卷1	第16條	0001-00049	A00:6290:1	五刑類	五刑	上-22下表	乙4-32(1-16)	1479-080-24	b348f1c7-70f6-4f94-a84b-32ec7afef398	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/b348f1c7-70f6-4f94-a84b-32ec7afef398	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/101801/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99301	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/b348f1c7-70f6-4f94-a84b-32ec7afef398/manifest			3
問發運灰炭等項囚犯監追半年之上無力完納者改撥做工例	成化16.4.16	問發運灰炭等項囚犯監追半年之上無力完納者改撥做工例	問發運灰炭等項囚犯監追半年之上無力完納者改撥做工例/前件成化十六年四月十六日分豁事	問發運灰炭等項囚犯監追半年之上無力完納者改撥做工例	問發運灰炭等項囚犯監追半年之上無力完納者改(擬)[撥]做工例/前件成化十六年四月十六日分豁事	第1冊	卷1	第17條	0001-00051	A00:6290:1	五刑類	五刑	上-23下表	乙4-33(1-17)	1480-040-16	87b095d2-28ae-47b8-b13d-dccc8dbd69ef	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/87b095d2-28ae-47b8-b13d-dccc8dbd69ef	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/102936/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99302	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/87b095d2-28ae-47b8-b13d-dccc8dbd69ef/manifest			3
各處沿邊沿海旗軍舍餘幷邊民雜犯死罪竊盜掏摸搶奪盜家畜犯該徒流罪者俱准杖一百廳總兵官査撥守哨如截殺等不在就行彼処巡撫巡按或分巡官査撥例	成化17.9.17	各處沿邊沿海旗軍舍餘幷邊民雜犯死罪竊盜掏摸搶奪盜家畜犯該徒流罪者俱准杖一百廳總兵官査撥守哨如截殺等不在就行彼処巡撫巡按或分巡官査撥例	各處沿邊沿海旗軍舍餘幷邊民雜犯死罪竊盜掏摸搶奪盜官畜犯該徒流罪者俱決杖一百聽總兵官査撥守哨如截殺等不在就行本處巡撫巡按或分巡官査撥例/前件成化十七年九月十七日使鹽獄囚事	各處沿邊沿海旗軍舍餘幷邊民雜犯死罪竊盜掏摸搶奪盜官畜產犯該徒流罪者俱(准)[決]杖一百聽總兵官査撥守哨如截殺等不在就行(彼)[本]處巡撫巡按或分巡官査撥例	各處沿邊沿海旗軍舍餘幷邊民雜犯死罪竊盜掏摸搶奪盜官畜產犯該徒流罪者俱決杖一百聽總兵官査撥守哨如截殺等不在就行本處巡撫巡按或分巡官査撥例/前件成化十七年九月十七日(使鹽)[便益]獄(辦)[囚]事	第1冊	卷1	第18條	0001-00053	A00:6290:1	五刑類	五刑	上-24下表	乙4-35(1-18)	1481-090-17	0747a361-ae8c-490e-853d-9618d08247ee	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/0747a361-ae8c-490e-853d-9618d08247ee	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/100885/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99303	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/0747a361-ae8c-490e-853d-9618d08247ee/manifest			2
南京刑部都察院問過囚犯送南京戶部納米	成化19.12.25	南京刑部都察院問過囚犯送南京戶部納米	南京刑部都察院問過囚犯送南京戶部納米/前件成化十九年十二月二十五日申明舊制事	南京刑部都察院問過囚犯送南京戶部納米	南京刑部都察院問過囚犯送南京戶部納米/前件成化十九年十二月二十五日申明舊制事	第1冊	卷1	第19條	0001-00054	A00:6290:1	五刑類	五刑	上-25上表	乙4-37(1-19)	1483-120-25	993d5822-c4f6-4ef7-beab-211a24d7d9de	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/993d5822-c4f6-4ef7-beab-211a24d7d9de	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/102183/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99304	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/993d5822-c4f6-4ef7-beab-211a24d7d9de/manifest			3
永平等府衞囚犯問發運廣寧等倉糧數	成化20.2.5	永平等府衞囚犯問發運廣寧等倉糧數	永平等府衞囚犯問發運廣寧等倉糧數/前件成化二十年二月初五日陳言邊儲事	永平等府衞囚犯問發運廣寧等倉糧數	永平等府衞囚犯問發運廣寧等倉糧數/前件成化二十年二月初五日陳言邊儲事	第1冊	卷1	第20條	0001-00057	A00:6290:1	五刑類	五刑	上-26下表	乙4-39(1-20)	1484-020-05	df298e94-cc10-44e3-8d3a-3614551a156c	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/df298e94-cc10-44e3-8d3a-3614551a156c	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/103571/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99305	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/df298e94-cc10-44e3-8d3a-3614551a156c/manifest			4
囚人贖罪米穀於本處預備倉上納	成化21.2.11	囚人贖罪米穀於本處預備倉上納	囚人贖罪米穀於本處預備倉上納/前件成化二十一年二月十二日	囚人贖罪米穀於本處預備倉上納	囚人贖罪米穀於本處預備倉上納/前件成化二十一年二月十二日	第1冊	卷1	第21條	0001-00060	A00:6290:1	五刑類	五刑	上-28上表	乙4-41(1-21)	1485-020-11	aca61cb9-07d1-4705-aea1-aadf5f770ee5	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/koumin/document/aca61cb9-07d1-4705-aea1-aadf5f770ee5	https://www.lib.u-tokyo.ac.jp/ja/library/general/reuse	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/101180/full/200,151/0/default.jpg	https://iiif.dl.itc.u-tokyo.ac.jp/repo/api/items/99306	東京大学総合図書館 General Library in the University of Tokyo, JAPAN		皇明條法事類纂デジタルアーカイブ	https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/aca61cb9-07d1-4705-aea1-aadf5f770ee5/manifest			2
